group_key,priority,group_size,jp_type,rep_section,rep_index,rep_id_hex,rep_slot,ja,ja_tpl,ja_clean,locks,kr_tpl
だね。だからシノノンは、あのお姉さんと一緒にオシュトルを護ってあげて,120,3,normal,17,50,7E20646A,text4,\x81\x86だね。だからシノノンは、あのお姉さんと一緒にオシュトルを護ってあげて,{{L000}}{{L001}}だね。だからシノノンは、あのお姉さんと一緒にオシュトルを護ってあげて,だね。だからシノノンは、あのお姉さんと一緒にオシュトルを護ってあげて,"[""\\x81"", ""\\x86""]",{{L000}}{{L001}}だね。だからシノノンは、あのお姉さんと一緒にオシュトルを護ってあげて
、事態を未だ把握し切れていないはずだ。強引に押し切る事も可能かもしれぬ,120,3,normal,17,233,926197CF,text4,\x81\xB0、事態を未だ把握し切れていないはずだ。強引に押し切る事も可能かもしれぬ,{{L000}}{{L001}}、事態を未だ把握し切れていないはずだ。強引に押し切る事も可能かもしれぬ,、事態を未だ把握し切れていないはずだ。強引に押し切る事も可能かもしれぬ,"[""\\x81"", ""\\xB0""]",{{L000}}{{L001}}、事態を未だ把握し切れていないはずだ。強引に押し切る事も可能かもしれぬ
とはどうかよろしくお願い致します。最後までご一緒できず申し訳ありません,120,3,normal,17,311,BDA62300,text4,\x81\x93とはどうかよろしくお願い致します。最後までご一緒できず申し訳ありません,{{L000}}{{L001}}とはどうかよろしくお願い致します。最後までご一緒できず申し訳ありません,とはどうかよろしくお願い致します。最後までご一緒できず申し訳ありません,"[""\\x81"", ""\\x93""]",{{L000}}{{L001}}とはどうかよろしくお願い致します。最後までご一緒できず申し訳ありません
モノ。 故ニニ敗北ハ許サレヌ。 コノ武ニ汚レガアッテハナラヌノダ！,120,3,normal,18,68,58214679,text4,\x82\xBFモノ。　故ニ<我:われ>ニ敗北ハ許サレヌ。　コノ武ニ汚レガアッテハナラヌノダ！,{{L000}}{{L001}}モノ。　故ニ{{L002}}ニ敗北ハ許サレヌ。　コノ武ニ汚レガアッテハナラヌノダ！,モノ。　故ニニ敗北ハ許サレヌ。　コノ武ニ汚レガアッテハナラヌノダ！,"[""\\x82"", ""\\xBF"", ""<我:われ>""]",{{L000}}{{L001}}モノ。　故ニ{{L002}}ニ敗北ハ許サレヌ。　コノ武ニ汚レガアッテハナラヌノダ！
汚したことは謝罪しよう。 それを良しとしなかったのは、我が甘さ故。,120,3,normal,18,79,A81DCE2B,text4,\x80\x81汚したことは謝罪しよう。　それを良しとしなかったのは、我が甘さ故。,{{L000}}{{L001}}汚したことは謝罪しよう。　それを良しとしなかったのは、我が甘さ故。,汚したことは謝罪しよう。　それを良しとしなかったのは、我が甘さ故。,"[""\\x80"", ""\\x81""]",{{L000}}{{L001}}汚したことは謝罪しよう。　それを良しとしなかったのは、我が甘さ故。
だった。 藪の中から巨大な何かが飛び出し、 近くにいた男の前で巨大なのようなモノが交差する。,120,2,normal,0,70,F2534E9B,text3,"\x81\xA8だった。
藪の中から巨大な何かが飛び出し、
近くにいた男の前で巨大な<鋏:ハサミ>のようなモノが交差する。","{{L000}}{{L001}}だった。
藪の中から巨大な何かが飛び出し、
近くにいた男の前で巨大な{{L002}}のようなモノが交差する。","だった。
藪の中から巨大な何かが飛び出し、
近くにいた男の前で巨大なのようなモノが交差する。","[""\\x81"", ""\\xA8"", ""<鋏:ハサミ>""]","{{L000}}{{L001}}だった。
藪の中から巨大な何かが飛び出し、
近くにいた男の前で巨大な{{L002}}のようなモノが交差する。"
青になってガタガタ震えていたな。いや、実際青くなっていたかどうかは化粧でわからないが,120,2,normal,2,23,D2582C3D,text3,\xA3青になってガタガタ震えていたな。いや、実際青くなっていたかどうかは化粧でわからないが,{{L000}}青になってガタガタ震えていたな。いや、実際青くなっていたかどうかは化粧でわからないが,青になってガタガタ震えていたな。いや、実際青くなっていたかどうかは化粧でわからないが,"[""\\xA3""]",{{L000}}青になってガタガタ震えていたな。いや、実際青くなっていたかどうかは化粧でわからないが
いいから、マロにもこのことを話して欲しかったでおじゃる。何だが信頼されていないみたいで悲しいでおじゃるよ,120,2,normal,2,25,0401CF20,text3,\x82いいから、マロにもこのことを話して欲しかったでおじゃる。何だが信頼されていないみたいで悲しいでおじゃるよ,{{L000}}いいから、マロにもこのことを話して欲しかったでおじゃる。何だが信頼されていないみたいで悲しいでおじゃるよ,いいから、マロにもこのことを話して欲しかったでおじゃる。何だが信頼されていないみたいで悲しいでおじゃるよ,"[""\\x82""]",{{L000}}いいから、マロにもこのことを話して欲しかったでおじゃる。何だが信頼されていないみたいで悲しいでおじゃるよ
が悪ィんスよぉ？ いくらあの女がお頭好みだからって、ホイホイ信じちまうから……どうせあの乳が目当てだったんでしょ？,120,2,normal,2,34,FEB50618,text3,\xADが悪ィんスよぉ？　いくらあの女がお頭好みだからって、ホイホイ信じちまうから……どうせあの乳が目当てだったんでしょ？,{{L000}}が悪ィんスよぉ？　いくらあの女がお頭好みだからって、ホイホイ信じちまうから……どうせあの乳が目当てだったんでしょ？,が悪ィんスよぉ？　いくらあの女がお頭好みだからって、ホイホイ信じちまうから……どうせあの乳が目当てだったんでしょ？,"[""\\xAD""]",{{L000}}が悪ィんスよぉ？　いくらあの女がお頭好みだからって、ホイホイ信じちまうから……どうせあの乳が目当てだったんでしょ？
だったじゃん。あの乳娘、こんなとこに隠し通路があるとは夢にも思わねェだろヨ,120,2,normal,2,38,8977C663,text3,\xB5だったじゃん。あの乳娘、こんなとこに隠し通路があるとは夢にも思わねェだろヨ,{{L000}}だったじゃん。あの乳娘、こんなとこに隠し通路があるとは夢にも思わねェだろヨ,だったじゃん。あの乳娘、こんなとこに隠し通路があるとは夢にも思わねェだろヨ,"[""\\xB5""]",{{L000}}だったじゃん。あの乳娘、こんなとこに隠し通路があるとは夢にも思わねェだろヨ
今はどうにか逃げ切って、後でこの礼はタップリさせてもらうぜ、あの乳に！！,120,2,normal,2,41,78656890,text3,\x81\x9A今はどうにか逃げ切って、後でこの礼はタップリさせてもらうぜ、あの乳に#@－－#！！,{{L000}}{{L001}}今はどうにか逃げ切って、後でこの礼はタップリさせてもらうぜ、あの乳に{{L002}}！！,今はどうにか逃げ切って、後でこの礼はタップリさせてもらうぜ、あの乳に！！,"[""\\x81"", ""\\x9A"", ""#@－－#""]",{{L000}}{{L001}}今はどうにか逃げ切って、後でこの礼はタップリさせてもらうぜ、あの乳に{{L002}}！！
そう言えば、どこかで聞いたような…… いったい……ていうか、誰だっけ……,120,2,normal,6,27,A9694EFD,text3,"\x80\x80そう言えば、どこかで聞いたような……
いったい……ていうか、誰だっけ……","{{L000}}{{L001}}そう言えば、どこかで聞いたような……
いったい……ていうか、誰だっけ……","そう言えば、どこかで聞いたような……
いったい……ていうか、誰だっけ……","[""\\x80"", ""\\x80""]","{{L000}}{{L001}}そう言えば、どこかで聞いたような……
いったい……ていうか、誰だっけ……"
ュトルの知り合いで、この雰囲気というか存在感。 ただ者じゃ無いってことは判るが。,120,2,normal,6,31,2C8EF9B3,text3,"\x82\xB7ュトルの知り合いで、この雰囲気というか存在感。
ただ者じゃ無いってことは判るが。","{{L000}}{{L001}}ュトルの知り合いで、この雰囲気というか存在感。
ただ者じゃ無いってことは判るが。","ュトルの知り合いで、この雰囲気というか存在感。
ただ者じゃ無いってことは判るが。","[""\\x82"", ""\\xB7""]","{{L000}}{{L001}}ュトルの知り合いで、この雰囲気というか存在感。
ただ者じゃ無いってことは判るが。"
んてことになったら一大事だ。 そんなことになったら確実に首が飛ぶ。,120,2,normal,6,68,967AB94B,text3,"\x81\xAAんてことになったら一大事だ。
そんなことになったら確実に首が飛ぶ。","{{L000}}{{L001}}んてことになったら一大事だ。
そんなことになったら確実に首が飛ぶ。","んてことになったら一大事だ。
そんなことになったら確実に首が飛ぶ。","[""\\x81"", ""\\xAA""]","{{L000}}{{L001}}んてことになったら一大事だ。
そんなことになったら確実に首が飛ぶ。"
の帝都で活動していた盗賊だ。私とオウギの二人で攻め落とすには、それくらいの覚悟がいる,120,2,normal,8,6,526CC11B,text3,\x81\x93の帝都で活動していた盗賊だ。私とオウギの二人で攻め落とすには、それくらいの覚悟がいる,{{L000}}{{L001}}の帝都で活動していた盗賊だ。私とオウギの二人で攻め落とすには、それくらいの覚悟がいる,の帝都で活動していた盗賊だ。私とオウギの二人で攻め落とすには、それくらいの覚悟がいる,"[""\\x81"", ""\\x93""]",{{L000}}{{L001}}の帝都で活動していた盗賊だ。私とオウギの二人で攻め落とすには、それくらいの覚悟がいる
分手広く荒らして回ったようでな。それをお前の手でってなれば、御上もそれくらいの慈悲は見せるだろ,120,2,normal,8,15,EB86E9BB,text3,\x9A\x8F分手広く荒らして回ったようでな。それをお前の手でってなれば、御上もそれくらいの慈悲は見せるだろ,{{L000}}{{L001}}分手広く荒らして回ったようでな。それをお前の手でってなれば、御上もそれくらいの慈悲は見せるだろ,分手広く荒らして回ったようでな。それをお前の手でってなれば、御上もそれくらいの慈悲は見せるだろ,"[""\\x9A"", ""\\x8F""]",{{L000}}{{L001}}分手広く荒らして回ったようでな。それをお前の手でってなれば、御上もそれくらいの慈悲は見せるだろ
回ったようでな。それをお前の手でってなれば、御上もそれくらいの慈悲は見せるだろ,120,2,normal,8,16,F41BCAAF,text3,\xA6回ったようでな。それをお前の手でってなれば、御上もそれくらいの慈悲は見せるだろ,{{L000}}回ったようでな。それをお前の手でってなれば、御上もそれくらいの慈悲は見せるだろ,回ったようでな。それをお前の手でってなれば、御上もそれくらいの慈悲は見せるだろ,"[""\\xA6""]",{{L000}}回ったようでな。それをお前の手でってなれば、御上もそれくらいの慈悲は見せるだろ
るのは気が咎めるが、身から出た錆、ということで勘弁してもらおう,120,2,normal,8,21,DD0AE3B8,text3,\x81\x9Bるのは気が咎めるが、身から出た錆、ということで勘弁してもらおう,{{L000}}{{L001}}るのは気が咎めるが、身から出た錆、ということで勘弁してもらおう,るのは気が咎めるが、身から出た錆、ということで勘弁してもらおう,"[""\\x81"", ""\\x9B""]",{{L000}}{{L001}}るのは気が咎めるが、身から出た錆、ということで勘弁してもらおう
しておかないとな。何せ、帝都で暴れまわった盗賊団の砦だ。財を運び出すにも、相応の用意が必要だろう,120,2,normal,8,33,AF3420F1,text3,\x82\x92しておかないとな。何せ、帝都で暴れまわった盗賊団の砦だ。財を運び出すにも、相応の用意が必要だろう,{{L000}}{{L001}}しておかないとな。何せ、帝都で暴れまわった盗賊団の砦だ。財を運び出すにも、相応の用意が必要だろう,しておかないとな。何せ、帝都で暴れまわった盗賊団の砦だ。財を運び出すにも、相応の用意が必要だろう,"[""\\x82"", ""\\x92""]",{{L000}}{{L001}}しておかないとな。何せ、帝都で暴れまわった盗賊団の砦だ。財を運び出すにも、相応の用意が必要だろう
都で暴れまわった盗賊団の砦だ。財を運び出すにも、相応の用意が必要だろう,120,2,normal,8,34,2E4C7A8D,text3,\x9D都で暴れまわった盗賊団の砦だ。財を運び出すにも、相応の用意が必要だろう,{{L000}}都で暴れまわった盗賊団の砦だ。財を運び出すにも、相応の用意が必要だろう,都で暴れまわった盗賊団の砦だ。財を運び出すにも、相応の用意が必要だろう,"[""\\x9D""]",{{L000}}都で暴れまわった盗賊団の砦だ。財を運び出すにも、相応の用意が必要だろう
:ウォプタル>に、荷止めの縄も必要だな。こりゃ、忙しくなるぞ……！,120,2,normal,8,35,E510A928,text3,\x83\x9E:ウォプタル>に、荷止めの縄も必要だな。こりゃ、忙しくなるぞ……！,{{L000}}{{L001}}:ウォプタル>に、荷止めの縄も必要だな。こりゃ、忙しくなるぞ……！,:ウォプタル>に、荷止めの縄も必要だな。こりゃ、忙しくなるぞ……！,"[""\\x83"", ""\\x9E""]",{{L000}}{{L001}}:ウォプタル>に、荷止めの縄も必要だな。こりゃ、忙しくなるぞ……！
、商人の仕入れのコツってのは、 盗賊の目利きと代わり映えしねえじゃんよ。,120,2,normal,8,63,2945C7AB,text3,"\xA4\x96、商人の仕入れのコツってのは、
盗賊の目利きと代わり映えしねえじゃんよ。","{{L000}}{{L001}}、商人の仕入れのコツってのは、
盗賊の目利きと代わり映えしねえじゃんよ。","、商人の仕入れのコツってのは、
盗賊の目利きと代わり映えしねえじゃんよ。","[""\\xA4"", ""\\x96""]","{{L000}}{{L001}}、商人の仕入れのコツってのは、
盗賊の目利きと代わり映えしねえじゃんよ。"
この家業に精を出してきたが、 いつまでも危ねえ橋は渡ってられねえしな。 ここらが、潮時かもしれねえじゃん。,120,2,normal,8,80,41921C88,text3,"\x93この家業に精を出してきたが、
いつまでも危ねえ橋は渡ってられねえしな。
ここらが、潮時かもしれねえじゃん。","{{L000}}この家業に精を出してきたが、
いつまでも危ねえ橋は渡ってられねえしな。
ここらが、潮時かもしれねえじゃん。","この家業に精を出してきたが、
いつまでも危ねえ橋は渡ってられねえしな。
ここらが、潮時かもしれねえじゃん。","[""\\x93""]","{{L000}}この家業に精を出してきたが、
いつまでも危ねえ橋は渡ってられねえしな。
ここらが、潮時かもしれねえじゃん。"
、最近好きな女が出来たんっすよ！ もうすっかり諦めてたけど、告白とかしちまおうかな！？,120,2,normal,8,97,4160F666,text3,"\xBA、最近好きな女が出来たんっすよ！
もうすっかり諦めてたけど、告白とかしちまおうかな！？","{{L000}}、最近好きな女が出来たんっすよ！
もうすっかり諦めてたけど、告白とかしちまおうかな！？","、最近好きな女が出来たんっすよ！
もうすっかり諦めてたけど、告白とかしちまおうかな！？","[""\\xBA""]","{{L000}}、最近好きな女が出来たんっすよ！
もうすっかり諦めてたけど、告白とかしちまおうかな！？"
う！ 何言ってるかわかんねえが、とにかくタダじゃおかねえ！ その程度の人数で、俺たちを相手にするとはお笑いじゃんよ。,120,2,normal,8,147,EC1D9738,text3,"\x9Dう！　何言ってるかわかんねえが、とにかくタダじゃおかねえ！
その程度の人数で、俺たちを相手にするとはお笑いじゃんよ。","{{L000}}う！　何言ってるかわかんねえが、とにかくタダじゃおかねえ！
その程度の人数で、俺たちを相手にするとはお笑いじゃんよ。","う！　何言ってるかわかんねえが、とにかくタダじゃおかねえ！
その程度の人数で、俺たちを相手にするとはお笑いじゃんよ。","[""\\x9D""]","{{L000}}う！　何言ってるかわかんねえが、とにかくタダじゃおかねえ！
その程度の人数で、俺たちを相手にするとはお笑いじゃんよ。"
ハクたち。 あわれモズヌは、ノスリの替え玉として引っ立てられていく。,120,2,normal,8,164,F46C9CFE,text3,"\x9Fハクたち。
あわれモズヌは、ノスリの替え玉として引っ立てられていく。","{{L000}}ハクたち。
あわれモズヌは、ノスリの替え玉として引っ立てられていく。","ハクたち。
あわれモズヌは、ノスリの替え玉として引っ立てられていく。","[""\\x9F""]","{{L000}}ハクたち。
あわれモズヌは、ノスリの替え玉として引っ立てられていく。"
る帝と、傍に控える女性。 それはミトとホノカであり、ハクはすんでのところで言葉を飲み込む。,120,2,normal,8,176,0FB26F41,text3,"\x81\x99る帝と、傍に控える女性。
それはミトとホノカであり、ハクはすんでのところで言葉を飲み込む。","{{L000}}{{L001}}る帝と、傍に控える女性。
それはミトとホノカであり、ハクはすんでのところで言葉を飲み込む。","る帝と、傍に控える女性。
それはミトとホノカであり、ハクはすんでのところで言葉を飲み込む。","[""\\x81"", ""\\x99""]","{{L000}}{{L001}}る帝と、傍に控える女性。
それはミトとホノカであり、ハクはすんでのところで言葉を飲み込む。"
いつく限りやってみたけど、 全部徒労に終わったよ。 悔しいけど……,120,2,normal,13,91,1C9643FC,text3,"\x80\x9Dいつく限りやってみたけど、
全部徒労に終わったよ。　悔しいけど……","{{L000}}{{L001}}いつく限りやってみたけど、
全部徒労に終わったよ。　悔しいけど……","いつく限りやってみたけど、
全部徒労に終わったよ。　悔しいけど……","[""\\x80"", ""\\x9D""]","{{L000}}{{L001}}いつく限りやってみたけど、
全部徒労に終わったよ。　悔しいけど……"
うなではね。 足元をわれてオシュトルに敗北するのは当然かな。,120,2,normal,17,8,5C36A364,text3,"\x82\x88うな<輩:やから>ではね。
足元を<掬:すく>われてオシュトルに敗北するのは当然かな。","{{L000}}{{L001}}うな{{L002}}ではね。
足元を{{L003}}われてオシュトルに敗北するのは当然かな。","うなではね。
足元をわれてオシュトルに敗北するのは当然かな。","[""\\x82"", ""\\x88"", ""<輩:やから>"", ""<掬:すく>""]","{{L000}}{{L001}}うな{{L002}}ではね。
足元を{{L003}}われてオシュトルに敗北するのは当然かな。"
もない辺境の地だが、周囲を山々に囲まれた、天然の城砦となっている,120,2,normal,17,187,B7D790A8,text3,\xBD\x95もない辺境の地だが、周囲を山々に囲まれた、天然の城砦となっている,{{L000}}{{L001}}もない辺境の地だが、周囲を山々に囲まれた、天然の城砦となっている,もない辺境の地だが、周囲を山々に囲まれた、天然の城砦となっている,"[""\\xBD"", ""\\x95""]",{{L000}}{{L001}}もない辺境の地だが、周囲を山々に囲まれた、天然の城砦となっている
