group_key,priority,group_size,jp_type,rep_offset,rep_end,ja,ja_tpl,ja_clean,locks,kr_tpl
なに俺様を見てやがる！！ ……まさかテメェ、俺様に気が……！？,70,1,normal,52180,52272,"なに俺様を見てやがる！！
……まさかテメェ、俺様に気が……！？","なに俺様を見てやがる！！
……まさかテメェ、俺様に気が……！？","なに俺様を見てやがる！！
……まさかテメェ、俺様に気が……！？",[],"뭘 그렇게 쳐다보는 거야!!
……너, 나한테 마음이……!?"
しかし、ルルティエがあんなに大きな声を出すなんて…… 珍しいな……,70,1,normal,52752,52850,"しかし、ルルティエがあんなに大きな声を出すなんて……
珍しいな……","しかし、ルルティエがあんなに大きな声を出すなんて……
珍しいな……","しかし、ルルティエがあんなに大きな声を出すなんて……
珍しいな……",[],"루루티에가 저렇게 큰소리를 내다니……
드문 일이네……"
どうか逃げないでください… この子の事をじっくり教えて差し上げたいのです。,70,1,normal,53855,53965,"どうか逃げないでください…
この子の事をじっくり教えて差し上げたいのです。","どうか逃げないでください…
この子の事をじっくり教えて差し上げたいのです。","どうか逃げないでください…
この子の事をじっくり教えて差し上げたいのです。",[],"도망치지 말아 주세요…
이 아이에 대해 차근히 알려드리겠습니다."
シャバでバカ騒ぎしたかったのによ！ ぶっとばしてやるじゃん！,70,1,normal,54683,54772,"シャバでバカ騒ぎしたかったのによ！
ぶっとばしてやるじゃん！","シャバでバカ騒ぎしたかったのによ！
ぶっとばしてやるじゃん！","シャバでバカ騒ぎしたかったのによ！
ぶっとばしてやるじゃん！",[],"안그래도 근질근질 했는데 말이지!
한 방 먹여 주겠어!"
私の弓は、遠く離れた敵に有効です。 ですので、前衛はお任せします！,70,1,normal,55338,55436,"私の弓は、遠く離れた敵に有効です。
ですので、前衛はお任せします！","私の弓は、遠く離れた敵に有効です。
ですので、前衛はお任せします！","私の弓は、遠く離れた敵に有効です。
ですので、前衛はお任せします！",[],"제 활은 원거리의 적에게 효과적입니다.
전위는 맡기겠습니다!"
早く皇女さんを連れ戻さないと…… 大事になった場合を考えると、恐ろしすぎる！,70,1,normal,57041,57154,"早く皇女さんを連れ戻さないと……
大事になった場合を考えると、恐ろしすぎる！","早く皇女さんを連れ戻さないと……
大事になった場合を考えると、恐ろしすぎる！","早く皇女さんを連れ戻さないと……
大事になった場合を考えると、恐ろしすぎる！",[],"어서 황녀님을 모셔 와야……
큰일이 났을 때를 생각하면, 너무 무서워!"
それにしても……オシュトル？ どこかで聞いたことがある名だな…？,70,1,normal,58121,58216,"それにしても……オシュトル？
どこかで聞いたことがある名だな…？","それにしても……オシュトル？
どこかで聞いたことがある名だな…？","それにしても……オシュトル？
どこかで聞いたことがある名だな…？",[],"그런데…… 오슈토르?
어디선가 들어본 이름 같은데…?"
いいのです。 こんなのはタダのわがまま、 茶番なのです……！,70,1,normal,58546,58633,"いいのです。
こんなのはタダのわがまま、
茶番なのです……！","いいのです。
こんなのはタダのわがまま、
茶番なのです……！","いいのです。
こんなのはタダのわがまま、
茶番なのです……！",[],"괜찮습니다.
이건 그저 제 고집,
한낱 연극일 뿐……!"
ええ、さすがは姉上。 力任せの魅力に思わず見とれてしまいました。,70,1,normal,59906,60001,"ええ、さすがは姉上。
力任せの魅力に思わず見とれてしまいました。","ええ、さすがは姉上。
力任せの魅力に思わず見とれてしまいました。","ええ、さすがは姉上。
力任せの魅力に思わず見とれてしまいました。",[],"에에, 역시 언니.
힘으로 밀어붙이는 매력에 넋을 잃었어요."
有難うございます、姉上。 ですが姉上の魅力には、まだまだ遠く及びません。,70,1,normal,60369,60476,"有難うございます、姉上。
ですが姉上の魅力には、まだまだ遠く及びません。","有難うございます、姉上。
ですが姉上の魅力には、まだまだ遠く及びません。","有難うございます、姉上。
ですが姉上の魅力には、まだまだ遠く及びません。",[],"감사합니다, 언니.
하지만 언니의 매력에는 아직 한참 못 미쳐요."
もうちょっとで、仲間と一緒に織物屋がぁ……！ こんな所で、夢を諦める訳にはいかねぇ！！,70,1,normal,62851,62979,"もうちょっとで、仲間と一緒に織物屋がぁ……！
こんな所で、夢を諦める訳にはいかねぇ！！","もうちょっとで、仲間と一緒に織物屋がぁ……！
こんな所で、夢を諦める訳にはいかねぇ！！","もうちょっとで、仲間と一緒に織物屋がぁ……！
こんな所で、夢を諦める訳にはいかねぇ！！",[],"조금만 더 가면, 동료들과 직물가게가……!
이런 데서 꿈을 포기할 순 없어!!"
（仕方ない…… こうなれば行くとこまで行ってしまおう……！）,70,1,normal,63412,63504,"（仕方ない……
　こうなれば行くとこまで行ってしまおう……！）","（仕方ない……
　こうなれば行くとこまで行ってしまおう……！）","（仕方ない……
　こうなれば行くとこまで行ってしまおう……！）",[],"(어쩔 수 없지……
이렇게 된 이상 끝까지 가 보자……!)"
デコポンポ様！ 早く逃げなければ、 蟲たちに気付かれてしまいますぞ！？,70,1,normal,64092,64194,"デコポンポ様！
早く逃げなければ、
蟲たちに気付かれてしまいますぞ！？","デコポンポ様！
早く逃げなければ、
蟲たちに気付かれてしまいますぞ！？","デコポンポ様！
早く逃げなければ、
蟲たちに気付かれてしまいますぞ！？",[],"데코폼포님!
어서 도망치지 않으면,
벌레들이 눈치채고 맙니다!!"
無駄口叩いてる暇があったら、 早くあの像を取り返すにゃも！！,70,1,normal,64544,64633,"無駄口叩いてる暇があったら、
早くあの像を取り返すにゃも！！","無駄口叩いてる暇があったら、
早くあの像を取り返すにゃも！！","無駄口叩いてる暇があったら、
早くあの像を取り返すにゃも！！",[],"쓸데없는 소리하지 말고,
어서 조각상을 되찾는거다냐모!!"
そうだな。 こんなところ、長居は無用だ。 さっさと決めるぜ！ あんちゃん！,70,1,normal,65049,65159,"そうだな。　こんなところ、長居は無用だ。
さっさと決めるぜ！　あんちゃん！","そうだな。　こんなところ、長居は無用だ。
さっさと決めるぜ！　あんちゃん！","そうだな。　こんなところ、長居は無用だ。
さっさと決めるぜ！　あんちゃん！",[],"그러게. 이런 데 오래 있을 필요 없어.
얼른 끝내자고! 형씨!"
どー見ても大丈夫じゃないにゃもッ！！ ボコイナンテ！ おみゃあがしっかり儂を守らないからにゃもよ！！,70,1,normal,65722,65869,"どー見ても大丈夫じゃないにゃもッ！！
ボコイナンテ！
おみゃあがしっかり儂を守らないからにゃもよ！！","どー見ても大丈夫じゃないにゃもッ！！
ボコイナンテ！
おみゃあがしっかり儂を守らないからにゃもよ！！","どー見ても大丈夫じゃないにゃもッ！！
ボコイナンテ！
おみゃあがしっかり儂を守らないからにゃもよ！！",[],"어떻게 봐도 괜찮을 리가 없다냐모!!
보코이나은테!
네가 제대로 지켜주지 않아서다냐모!!"
ボコイナンテッ！ 何ぼさっとしてるにゃもかッ！？ さっさとあいつらを、片づけるにゃも～～～ッ！！,70,1,normal,66504,66647,"ボコイナンテッ！　何ぼさっとしてるにゃもかッ！？
さっさとあいつらを、片づけるにゃも～～～ッ！！","ボコイナンテッ！　何ぼさっとしてるにゃもかッ！？
さっさとあいつらを、片づけるにゃも～～～ッ！！","ボコイナンテッ！　何ぼさっとしてるにゃもかッ！？
さっさとあいつらを、片づけるにゃも～～～ッ！！",[],"보코이나은테! 뭐 하고 멍하니 있냐모까!!
어서 저놈들을 치워버리는거다냐모～～～!!"
アンちゃんも、あんときよりは力がついてるはずだ！ いけるぞ！,70,1,normal,67332,67421,"アンちゃんも、あんときよりは力がついてるはずだ！
いけるぞ！","アンちゃんも、あんときよりは力がついてるはずだ！
いけるぞ！","アンちゃんも、あんときよりは力がついてるはずだ！
いけるぞ！",[],"형씨도 그때보단 힘이 붙었을 거야!
할 수 있어!"
ま、今回はマロロじゃなくてウコンがついてくれてるし、 なんとかなるだろ！,70,1,normal,67537,67644,"ま、今回はマロロじゃなくてウコンがついてくれてるし、
なんとかなるだろ！","ま、今回はマロロじゃなくてウコンがついてくれてるし、
なんとかなるだろ！","ま、今回はマロロじゃなくてウコンがついてくれてるし、
なんとかなるだろ！",[],"뭐, 이번엔 마로로가 아니라 우콘이 있으니,
어떻게든 되겠지!"
ハッハッハッハッ！ その調子だアンちゃん！ いい線いってるぜ！,70,1,normal,67883,67973,"ハッハッハッハッ！
その調子だアンちゃん！
いい線いってるぜ！","ハッハッハッハッ！
その調子だアンちゃん！
いい線いってるぜ！","ハッハッハッハッ！
その調子だアンちゃん！
いい線いってるぜ！",[],"하하하하하!
그 기세다, 형씨!
꽤 하는데!"
こいつを見ると、 アンちゃんと出会った頃のことを思い出すな！,70,1,normal,68755,68844,"こいつを見ると、
アンちゃんと出会った頃のことを思い出すな！","こいつを見ると、
アンちゃんと出会った頃のことを思い出すな！","こいつを見ると、
アンちゃんと出会った頃のことを思い出すな！",[],"이놈을 보면,
형씨랑 처음 만났을 때가 떠오르네!"
あぁ、全くだ！ こいつにはもう会いたくないと思っていたが、 こんなに早くお目にかかれるとはね！,70,1,normal,68966,69104,"あぁ、全くだ！
こいつにはもう会いたくないと思っていたが、
こんなに早くお目にかかれるとはね！","あぁ、全くだ！
こいつにはもう会いたくないと思っていたが、
こんなに早くお目にかかれるとはね！","あぁ、全くだ！
こいつにはもう会いたくないと思っていたが、
こんなに早くお目にかかれるとはね！",[],"아아, 맞아!
이놈은 다시는 만나고 싶지 않았는데,
이렇게 빨리 또 보게 될 줄이야!"
（自然と戦えている…。 これでも、だいぶ強くなったってことか？）,70,1,normal,69277,69375,"（自然と戦えている…。
　これでも、だいぶ強くなったってことか？）","（自然と戦えている…。
　これでも、だいぶ強くなったってことか？）","（自然と戦えている…。
　これでも、だいぶ強くなったってことか？）",[],"(자연스럽게 싸우고 있어…
이래도 꽤 강해졌다는 건가?)"
アンちゃん、怪我はねぇか？ 危なくなったら遠慮なく回復してくれ！,70,1,normal,69649,69744,"アンちゃん、怪我はねぇか？
危なくなったら遠慮なく回復してくれ！","アンちゃん、怪我はねぇか？
危なくなったら遠慮なく回復してくれ！","アンちゃん、怪我はねぇか？
危なくなったら遠慮なく回復してくれ！",[],"형씨, 다친 데 없지?
위험해지면 사양 말고 회복해!"
くっ、コイツらどこから……！ 剣奴は使えん、後続の兵を呼べぇ！,70,1,normal,71394,71486,"くっ、コイツらどこから……！
剣奴は使えん、後続の兵を呼べぇ！","くっ、コイツらどこから……！
剣奴は使えん、後続の兵を呼べぇ！","くっ、コイツらどこから……！
剣奴は使えん、後続の兵を呼べぇ！",[],"크윽, 이놈들……!
검노는 쓸모없다, 후속 병력을 불러라!"
わたしには、ココポがついています。 それに……お役に立ちたいんです。,70,1,normal,72243,72344,"わたしには、ココポがついています。
それに……お役に立ちたいんです。","わたしには、ココポがついています。
それに……お役に立ちたいんです。","わたしには、ココポがついています。
それに……お役に立ちたいんです。",[],"저에겐 코코포가 함께 있어요.
그리고…… 도움이 되고 싶어요."
うひひ、優しいおにーさんやぇ。 でも、危ないのはおにーさんの方かもしれへんよ？,70,1,normal,73267,73383,"うひひ、優しいおにーさんやぇ。
でも、危ないのはおにーさんの方かもしれへんよ？","うひひ、優しいおにーさんやぇ。
でも、危ないのはおにーさんの方かもしれへんよ？","うひひ、優しいおにーさんやぇ。
でも、危ないのはおにーさんの方かもしれへんよ？",[],"히히, 다정한 오빠네.
근데 위험한 건 오빠 쪽일지도 몰라요?"
早くそいつらを殺せ！ でないとどうなるか、わかってるだろうな！！,70,1,normal,74514,74609,"早くそいつらを殺せ！
でないとどうなるか、わかってるだろうな！！","早くそいつらを殺せ！
でないとどうなるか、わかってるだろうな！！","早くそいつらを殺せ！
でないとどうなるか、わかってるだろうな！！",[],"어서 놈들을 죽여라!
안 그러면 어찌 될지, 알고 있겠지!!"
いつも前線に駆り出されてるだけあって手ごわいぞ！ ひとりで突っかかるとやられる！ 皆で攻撃するんだ！,70,1,normal,75249,75396,"いつも前線に駆り出されてるだけあって手ごわいぞ！
ひとりで突っかかるとやられる！
皆で攻撃するんだ！","いつも前線に駆り出されてるだけあって手ごわいぞ！
ひとりで突っかかるとやられる！
皆で攻撃するんだ！","いつも前線に駆り出されてるだけあって手ごわいぞ！
ひとりで突っかかるとやられる！
皆で攻撃するんだ！",[],"늘 전선에 끌려나오는 놈들답게 만만치 않아!
혼자 덤비면 당해!
다 같이 공격해!"
ええい、たかが一人に何をしている！？ 突撃せよ、押しつぶせぃ！！,70,1,normal,76056,76151,"ええい、たかが一人に何をしている！？
突撃せよ、押しつぶせぃ！！","ええい、たかが一人に何をしている！？
突撃せよ、押しつぶせぃ！！","ええい、たかが一人に何をしている！？
突撃せよ、押しつぶせぃ！！",[],"에에잇, 한놈 상대로 뭘 하는 거냐!?
돌격하라, 짓눌러!!"
民を護る為、小生、 悪鬼羅刹となりて、阻むものを蹴散らさん。,70,1,normal,77151,77240,"民を護る為、小生、
悪鬼羅刹となりて、阻むものを蹴散らさん。","民を護る為、小生、
悪鬼羅刹となりて、阻むものを蹴散らさん。","民を護る為、小生、
悪鬼羅刹となりて、阻むものを蹴散らさん。",[],"백성을 위해, 소생,
악귀나찰이 되어,  쓸어버리리다."
くっ、なにをやっておるのだ！？ ええい、逃げ戻るものに命は不要！！ 重兵！ つき進め！！,70,1,normal,77879,78008,"くっ、なにをやっておるのだ！？
ええい、逃げ戻るものに命は不要！！
重兵！　つき進め！！","くっ、なにをやっておるのだ！？
ええい、逃げ戻るものに命は不要！！
重兵！　つき進め！！","くっ、なにをやっておるのだ！？
ええい、逃げ戻るものに命は不要！！
重兵！　つき進め！！",[],"큭, 뭐 하는 거냐!?
도망자에겐 목숨 따위 필요 없다!!
중병! 진격하라!!"
（この者の目…… 既に決死の覚悟の上、 この戦いに臨んでいる……）,70,1,normal,78220,78322,"（この者の目……
　既に決死の覚悟の上、
　この戦いに臨んでいる……）","（この者の目……
　既に決死の覚悟の上、
　この戦いに臨んでいる……）","（この者の目……
　既に決死の覚悟の上、
　この戦いに臨んでいる……）",[],"(이 자의 눈……
결사의 각오로,
이 싸움에 임하고 있다……)"
ならば応えねばなるまい…… 某の全身全霊をもって、お相手致す……！,70,1,normal,78494,78592,"ならば応えねばなるまい……
某の全身全霊をもって、お相手致す……！","ならば応えねばなるまい……
某の全身全霊をもって、お相手致す……！","ならば応えねばなるまい……
某の全身全霊をもって、お相手致す……！",[],"그렇다면 응해야겠지……
나의 전력을 다해 상대해 주마……!"
数多くの同胞が散った…… されど、この信念は未だ揺るぐことはない。,70,1,normal,78744,78842,"数多くの同胞が散った……
されど、この信念は未だ揺るぐことはない。","数多くの同胞が散った……
されど、この信念は未だ揺るぐことはない。","数多くの同胞が散った……
されど、この信念は未だ揺るぐことはない。",[],"수많은 동포가 쓰러졌다……
허나 이 신념은 흔들리지 않는다."
皇の元に再び集い、 ウズールッシャは必ずや復活する！ そして、この地を取り戻す！！,70,1,normal,78970,79090,"皇の元に再び集い、
ウズールッシャは必ずや復活する！
そして、この地を取り戻す！！","皇の元に再び集い、
ウズールッシャは必ずや復活する！
そして、この地を取り戻す！！","皇の元に再び集い、
ウズールッシャは必ずや復活する！
そして、この地を取り戻す！！",[],"황제의 곁에서,
우즈울샤는 반드시 부활한다!
그리고 이 땅을 되찾겠다!!"
ムッ…！？ 耐えるか……！ 敵ながら凄まじい闘気…… しかし、譲るわけにはいかぬ！ 参られよ！！,70,1,normal,79383,79524,"ムッ…！？　耐えるか……！
敵ながら凄まじい闘気……
しかし、譲るわけにはいかぬ！　参られよ！！","ムッ…！？　耐えるか……！
敵ながら凄まじい闘気……
しかし、譲るわけにはいかぬ！　参られよ！！","ムッ…！？　耐えるか……！
敵ながら凄まじい闘気……
しかし、譲るわけにはいかぬ！　参られよ！！",[],"뭣…!? 버텨내는가……!
적이지만 엄청난 투기……
하지만 양보할 수는 없다! 덤벼라!!"
ここからだ……！ 我はウズールッシャの戦士ゼグニ！ 渾身の力をもって、貴様を討つ！！,70,1,normal,79755,79878,"ここからだ……！
我はウズールッシャの戦士ゼグニ！
渾身の力をもって、貴様を討つ！！","ここからだ……！
我はウズールッシャの戦士ゼグニ！
渾身の力をもって、貴様を討つ！！","ここからだ……！
我はウズールッシャの戦士ゼグニ！
渾身の力をもって、貴様を討つ！！",[],"지금부터다……!
나는 우즈울샤의 전사 제그니!
전력으로, 네놈을 쓰러뜨리겠다!!"
負けるわけにはいかぬ！ 右近衛大将オシュトル！ いざ参る！！,70,1,normal,80072,80161,"負けるわけにはいかぬ！
右近衛大将オシュトル！　いざ参る！！","負けるわけにはいかぬ！
右近衛大将オシュトル！　いざ参る！！","負けるわけにはいかぬ！
右近衛大将オシュトル！　いざ参る！！",[],"질 수는 없다!
우근위대장 오슈토르! 자, 간다!!"
ちょっと、寝覚めがわるかっただけだ…… ま、なんとか戦えるだろ……,70,1,normal,81200,81298,"ちょっと、寝覚めがわるかっただけだ……
ま、なんとか戦えるだろ……","ちょっと、寝覚めがわるかっただけだ……
ま、なんとか戦えるだろ……","ちょっと、寝覚めがわるかっただけだ……
ま、なんとか戦えるだろ……",[],"그냥 잠이 좀 덜 깼어……
뭐, 어떻게든 싸울 수 있겠지……"
色々と悩む所もあるだろうけど…… 今は生き延びる事を優先してほしいかな。,70,1,normal,82767,82874,"色々と悩む所もあるだろうけど……
今は生き延びる事を優先してほしいかな。","色々と悩む所もあるだろうけど……
今は生き延びる事を優先してほしいかな。","色々と悩む所もあるだろうけど……
今は生き延びる事を優先してほしいかな。",[],"여러모로 고민이 많겠지만…
지금은 살아남는 걸 우선해 줬으면 해."
クソ……！ ただでさえ厄介なのに…… こんな大きくなったら手がつけられないぞ！,70,1,normal,83120,83234,"クソ……！
ただでさえ厄介なのに……
こんな大きくなったら手がつけられないぞ！","クソ……！
ただでさえ厄介なのに……
こんな大きくなったら手がつけられないぞ！","クソ……！
ただでさえ厄介なのに……
こんな大きくなったら手がつけられないぞ！",[],"젠장……!
원래도 성가신데……
이렇게 커져 버리면 손쓸 수가 없잖아!"
目的はあくまで管の破壊だ。 無理に戦って、身を危険に晒す必要はないぞ！,70,1,normal,85215,85319,"目的はあくまで管の破壊だ。
無理に戦って、身を危険に晒す必要はないぞ！","目的はあくまで管の破壊だ。
無理に戦って、身を危険に晒す必要はないぞ！","目的はあくまで管の破壊だ。
無理に戦って、身を危険に晒す必要はないぞ！",[],"목표는 어디까지나 관의 파괴.
무리해서 위험한 일 할 필요 없어!"
急ごしらえにしてはうまくいった。 でも手間の割には、大人数を運べるわけでもない…… これっきりの手品だろうな……,70,1,normal,87770,87935,"急ごしらえにしてはうまくいった。
でも手間の割には、大人数を運べるわけでもない……
これっきりの手品だろうな……","急ごしらえにしてはうまくいった。
でも手間の割には、大人数を運べるわけでもない……
これっきりの手品だろうな……","急ごしらえにしてはうまくいった。
でも手間の割には、大人数を運べるわけでもない……
これっきりの手品だろうな……",[],"급조한 것치곤 잘 됐어.
하지만 고생만큼 많은 인원을 옮길 수도 없고……
한 번뿐인 속임수겠지……"
今回の目的は物資を奪うことだ。 早く目的を果たして、ずらかるぞ！,70,1,normal,89790,89885,"今回の目的は物資を奪うことだ。
早く目的を果たして、ずらかるぞ！","今回の目的は物資を奪うことだ。
早く目的を果たして、ずらかるぞ！","今回の目的は物資を奪うことだ。
早く目的を果たして、ずらかるぞ！",[],"이번 목적은 물자를 빼앗는 거다.
빨리 해결하고, 튀자!"
あのクロウとかいう男、ヤバすぎるな…… 防御に自信の無い奴は下がった方がいい！,70,1,normal,92325,92441,"あのクロウとかいう男、ヤバすぎるな……
防御に自信の無い奴は下がった方がいい！","あのクロウとかいう男、ヤバすぎるな……
防御に自信の無い奴は下がった方がいい！","あのクロウとかいう男、ヤバすぎるな……
防御に自信の無い奴は下がった方がいい！",[],"저 크로우라는 남자, 위험하군……
방어에 자신 없는 녀석은 뒤로 빠져!"
（何と迂闊な…… 小生は何時からこのような慢心をするようになった……）,70,1,normal,93401,93508,"（何と迂闊な……
　小生は何時からこのような慢心をするようになった……）","（何と迂闊な……
　小生は何時からこのような慢心をするようになった……）","（何と迂闊な……
　小生は何時からこのような慢心をするようになった……）",[],"(경솔했다……
소생은 언제부터 이렇게 자만하게 되었단 말인가……)"
（強い……！！ これまでのどの立ち合いと比べても、まさに別格……！！）,70,1,normal,93904,94011,"（強い……！！
　これまでのどの立ち合いと比べても、まさに別格……！！）","（強い……！！
　これまでのどの立ち合いと比べても、まさに別格……！！）","（強い……！！
　これまでのどの立ち合いと比べても、まさに別格……！！）",[],"(강하다……!!
지금까지 싸워 본 중에서도,  격이 다르다……!!)"
（よもやこの地に、これほどの漢がいようとは…… だがしかし、ここで倒れるわけにはいかぬ…！！）,70,1,normal,94172,94315,"（よもやこの地に、これほどの漢がいようとは……
　だがしかし、ここで倒れるわけにはいかぬ…！！）","（よもやこの地に、これほどの漢がいようとは……
　だがしかし、ここで倒れるわけにはいかぬ…！！）","（よもやこの地に、これほどの漢がいようとは……
　だがしかし、ここで倒れるわけにはいかぬ…！！）",[],"(설마 이 땅에, 이토록 뛰어난 자가 있었다니……
허나 여기서 쓰러질 수는 없다…!!)"
（…フッ、見透かされているか…… だが、小生には今この場を守りきる義務がある…！！）,70,1,normal,94986,95114,"（…フッ、見透かされているか……
　だが、小生には今この場を守りきる義務がある…！！）","（…フッ、見透かされているか……
　だが、小生には今この場を守りきる義務がある…！！）","（…フッ、見透かされているか……
　だが、小生には今この場を守りきる義務がある…！！）",[],"(…후, 간파당했나……

하지만, 소생은 지금 이곳을 지켜내야만 하오…!!)"
怪しい気配を放ってるじゃない…… 旦那、せいぜい気をつけるこった。,70,1,normal,95569,95667,"怪しい気配を放ってるじゃない……
旦那、せいぜい気をつけるこった。","怪しい気配を放ってるじゃない……
旦那、せいぜい気をつけるこった。","怪しい気配を放ってるじゃない……
旦那、せいぜい気をつけるこった。",[],"수상한 기운을 풀풀 풍기잖아……
아저씨, 각별히 조심하라고."
強いって話だったが…… チッ、こいつは聞いてたよりやばいじゃない。,70,1,normal,96420,96518,"強いって話だったが……
チッ、こいつは聞いてたよりやばいじゃない。","強いって話だったが……
チッ、こいつは聞いてたよりやばいじゃない。","強いって話だったが……
チッ、こいつは聞いてたよりやばいじゃない。",[],"강하다고 듣긴 했지만……
쳇, 이건 생각보다 훨씬 위험하잖아."
ぐっ！？ なんだコイツら、手ごたえが変だ…… ヤクトワルト、本当にコイツらは……,70,1,normal,96660,96777,"ぐっ！？
なんだコイツら、手ごたえが変だ……
ヤクトワルト、本当にコイツらは……","ぐっ！？
なんだコイツら、手ごたえが変だ……
ヤクトワルト、本当にコイツらは……","ぐっ！？
なんだコイツら、手ごたえが変だ……
ヤクトワルト、本当にコイツらは……",[],"으윽!?
뭐야, 이놈들… 손맛이……
야쿠토와루토, 정말 이놈들은……"
なんて身軽な……思ったより速い！ 一気に近づかれないよう気を付けて！,70,1,normal,97136,97237,"なんて身軽な……思ったより速い！
一気に近づかれないよう気を付けて！","なんて身軽な……思ったより速い！
一気に近づかれないよう気を付けて！","なんて身軽な……思ったより速い！
一気に近づかれないよう気を付けて！",[],"정말 몸이 가볍네…… 생각보다 빨라!
접근당하지 않게 조심해!"
とどめをさしたのに、血が一滴も出ないとは…… なかなか面白くなってきましたね。,70,1,normal,97650,97766,"とどめをさしたのに、血が一滴も出ないとは……
なかなか面白くなってきましたね。","とどめをさしたのに、血が一滴も出ないとは……
なかなか面白くなってきましたね。","とどめをさしたのに、血が一滴も出ないとは……
なかなか面白くなってきましたね。",[],"마무리를 지었는데 피 한 방울 나오지 않다니……
점점 재미있어지네요."
