start_offset_hex,start_offset_dec,byte_budget,ref_count,ja,locks,kr
0x1744,5956,145,22,やれやれ、犠牲者どころか、大きな怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,[],
0x17D5,6101,28,4,ハク、左腕を見せて,[],
0x17F8,6136,67,220,側に来ていたクオンが、そっと手を取ってくる。,[],
0x183B,6203,22,3,痛ゥ……？,[],
0x1851,6225,64,15,いつの間にか二の腕を浅く切り裂かれていた。,[],
0x1891,6289,148,99,牙がかすったか、どこかに引っかけたのか、痛みがなかったのでクオンに手を取られるまで気付かなかった。,[],
0x1925,6437,19,4,そのまま、ね,[],
0x1938,6456,106,30,するとクオンは躊躇う事無く傷口に唇をあて、そこから血を吸い出し始めた。,[],
0x19A2,6562,25,10,んく……ペッ……,[],
0x19BB,6587,34,14,んな━━！？　何を……,[],
0x19DD,6621,67,306,毒が入り込んだかもしれないから。念のためだよ,[],
0x1A20,6688,34,11,いや、何もそこまで……,[],
0x1A4F,6735,91,32,チラリと、クオンと目が合う。気のせいか、その目が笑っている。,[],
0x1AAA,6826,34,14,何だこのイヤな予感……,[],
0x1ACC,6860,82,333,ヂュゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0x1B1E,6942,37,13,いだだだだだだだだッ！？,[],
0x1B43,6979,13,3,ペッ……,[],
0x1B50,6992,76,24,あはは、男子たるもの、この位で声を上げては駄目だよ,[],
0x1B9C,7068,43,11,おま……今の絶対にわざとだろ,[],
0x1BC7,7111,130,243,そんな批難を他所に、クオンは手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。,[],
0x1C49,7241,46,11,ハイ、お終い。これで大丈夫かな,[],
0x1C77,7287,16,1,いッ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0x1C87,7303,70,15,そしてトドメとばかりに、そこを軽く叩いてきた。,[],
0x1CD7,7383,79,59,文句を言ってやりたいが、クオンの笑顔にその気も失せた,[],
0x1D26,7462,76,6,笑顔にはこちらが無事だった安堵がこもっていたから。,[],
0x1D72,7538,25,1,そうだ、コイツを,[],
0x1D8B,7563,61,4,戦いの前に借りた鉄扇をクオンに差し出す。,[],
0x1DC8,7624,46,3,おかげで助かった、ありがとうな,[],
0x1DF6,7670,58,2544,……いいよ。それはまだ、ハクが持ってて,[],
0x1E3A,7738,85,6,何も持ってないと不便だろうし、もう少しハクに預けておくね,[],
0x1E8F,7823,46,5,いいのか？　大切な物なんだろう,[],
0x1EBD,7869,82,72,うん、とっても大切なものかな。とっても、とってもね……,[],
0x1F0F,7951,64,5,そこまでなのか？　そんなものを何でまた……,[],
0x1F4F,8015,76,4,今はハクが必要としているから。だからハクが持ってて,[],
0x1F9B,8091,76,6,……そうか。そこまで言うなら、ありがたく借りとくよ,[],
0x1FE7,8167,79,184,うん。貸すだけだから、何時かちゃんと返してもらうから,[],
0x2036,8246,79,8,ハク殿ハク殿、マロの呪法を見てくれたでおじゃるか！？,[],
0x208F,8335,106,8,マロの呪法にかかれば、あんなギギリなんてチョチョイのチョイでおじゃるよ,[],
0x20F9,8441,160,59,介抱したせいか、妙に懐かれたな。この男に別に含むものは無いが、こうも纏わり付かれると少々うっとうしい,[],
0x2199,8601,100,12,どうでぃ、アンちゃん。やけに不安がってたが、大したこと無かったろ？,[],
0x21FD,8701,58,61,指示を終えたウコンが、声を掛けてきた。,[],
0x2237,8759,79,11,そうだぜ、ついコッチまで不安になっちまったじゃねぇか,[],
0x2286,8838,40,4,「「ワハハハハハ{{LOCK_AT_DASH}}」」,"[""{{LOCK_AT_DASH}}""]",
0x22AE,8878,46,4,男達から一斉に笑い声が上がる。,[],
0x22DC,8924,67,51,いや、あれは……何て言うか、勘違いというかな,[],
0x231F,8991,13,1,勘違い？,[],
0x232C,9004,130,21,少し前に、アレよりもっともっとデカイ奴に襲われたんだ。まぁ、その時は間一髪で助かったが,[],
0x23AE,9134,55,9,つい、その巨大なヤツだと勘違いしてな,[],
0x23E5,9189,91,67,こんなヤツ等だと知ってたら、ここまで慎重にはならかった{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0x2440,9280,52,9,……ん？　何か急に空気が変わった？,[],
0x2474,9332,25,6,……何……だと？,[],
0x248D,9357,52,9,今……もっと巨大なヤツと言ったか？,[],
0x24C1,9409,76,56,あ、ああ、同じような外見でもっと巨大なヤツだが……,[],
0x250D,9485,73,14,もしかして、胴が甲羅の様に硬そうじゃなかったか？,[],
0x2556,9558,19,3,そうだな……,[],
0x2569,9577,124,21,そう言われれば胴体は全体的に黒く光っていたような？　うん、いかにも硬そうに見えたな,[],
0x25E5,9701,64,48,あと、もっと角は長かった気がしたんだがなぁ,[],
0x2625,9765,49,8,オイ！　だとしたらヤベエぞ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0x2656,9814,34,7,ああ、こんな感じの……,[],
0x2682,9858,64,11,キヒィィィィィィィィィィィィィィィィィ！？,[],
0x26C2,9922,165,55,"突然のことだった。
藪の中から巨大な何かが飛び出し、
近くにいた男の前で巨大な鋏のようなモノが交差する。",[],
0x2767,10087,88,10,動くことも、声を掛ける間も無く、ナニカが宙に舞い上がった。,[],
0x27BF,10175,79,67,ぅ……うわぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁッ！！,[],
0x280E,10254,13,2,何だ……,[],
0x281B,10267,43,6,うわっ、小さいのも来るぞ！！,[],
0x2846,10310,31,3,何が起こっている……,[],
0x2865,10341,89,9,"距離を取れ！
体勢を立て直してから、全員で一斉にかかるぞ！！",[],
0x28BE,10430,64,11,ウコンの号令に、何人かの男達が武器を取る。,[],
0x28FE,10494,83,61,"だが{{LOCK_AT_DASH}}、
辺りから次から次へとギギリが這いでてきた。","[""{{LOCK_AT_DASH}}""]",
0x2951,10577,67,11,き、気をつけろ、コイツ等{{LOCK_AT_DASH}}ガァァァッ！？,"[""{{LOCK_AT_DASH}}""]",
0x2994,10644,95,18,"皆が武器を構える余裕もなく、
追い回され、襲われていく。",[],
0x29F3,10739,13,3,ハク！！,[],
0x2A00,10752,13,50,ッ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0x2A0D,10765,28,6,悪い、助かった……,[],
0x2A29,10793,115,17,ハァ……道理で話が噛み合わないと思った。ハクが言ってたのはアレだったんだ……,[],
0x2A9C,10908,64,9,こいつは、もしかしなくてもマズイ……のか？,[],
0x2ADC,10972,34,3,でりゃあああああッ！！,[],
0x2AFE,11006,129,53,"テメェ等、一旦退くぞっ！！
まだ無事な奴は、動けない奴を担いで逃げろ！！
今すぐにだ！！",[],
0x2B7F,11135,46,3,二人とも何してる、早く逃げろ！,[],
0x2BAD,11181,22,4,あ、ああ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0x2BC3,11203,16,1,う……お？,[],
0x2BD3,11219,52,55,ひ……ひ……はひ……はひぃぃぃ……,[],
0x2C07,11271,85,7,…………なっ！？　オイ、なに人の足にしがみついてんだ！！,[],
0x2C5C,11356,37,4,あわわ……あわわわわ……,[],
0x2C81,11393,100,12,う、動けん！？　何してる、はやく自分の足で立て！　逃げられんだろ！,[],
0x2CE5,11493,100,266,むむむむ無理でおぢゃる、腰が抜けて動けないでおじゃるよ#@～～～#ッ！,[],
0x2D49,11593,94,11,こっちはお前がしがみついてるから動けないんだ！　いいから立て！,[],
0x2DA7,11687,118,330,いいいイヤでおじゃる、願いでおじゃる、置いてかないでほしいでおじゃるぅぅぅ！！,[],
0x2E1D,11805,70,10,だから立てと言ってるだろうが、死にたいのか！！,[],
0x2E63,11875,46,5,クソ、これじゃあ身動きがとれん,[],
0x2E91,11921,67,7,アンちゃん、何を遊んでいやがる、早くしろ！！,[],
0x2ED4,11988,64,473,どう見たらこれが遊んでるようにみえるんだ！,[],
0x2F14,12052,46,4,……あらら、囲まれちゃったかな,[],
0x2F42,12098,67,3,やけに落ち着いてるが、何か手立てがあるのか？,[],
0x2F85,12165,100,11,手立てというか、私だけ逃げるなら、どうとでもなるかなって,[],
0x2FE9,12265,25,162,クオンだけなら？,[],
0x3002,12290,40,6,うん、私だけなら,[],
0x302A,12330,16,36,コッチは？,[],
0x303A,12346,34,3,…………困っちゃったね,[],
0x305C,12380,79,9,オォイ、まさか見捨てて逃げるとか言わないだろうな！？,[],
0x30AB,12459,109,96,あはは、大丈夫だよ。このくらいで見捨てるのなら、とっくに見限ってたってば,[],
0x3118,12568,52,9,でもホント、どうしたらいいかな……,[],
0x314C,12620,28,5,…………ここまでか,[],
0x3168,12648,58,5,ちっ、しょうがねぇ。気は進まねぇが……,[],
0x31A2,12706,172,508,アンちゃん、ネェちゃん、少し頼みがある。ここは俺がなんとかするから、他の連中を率いて、できるだけ遠くに離れてくれ。,[],
0x324E,12878,19,2,何をする気だ,[],
0x3261,12897,43,5,……ちょっと待ってほしいかな,[],
0x328C,12940,82,11,最期の一つだったから、なるべく温存しておきたかったけど,[],
0x32DE,13022,118,175,いいかな？　これから突破口を作るから、合図をしたら一瞬だけ耳を塞いで目を閉じて,[],
0x3354,13140,61,7,そしてその後は、全力で駆け抜けぬけること,[],
0x3391,13201,25,2,それはあの時の？,[],
0x33AA,13226,34,4,そうか、閃光弾か{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0x33CC,13260,61,87,な、何でおじゃる？　どうするでおじゃる？,[],
0x3409,13321,40,7,やるよ。三……二……一……,[],
0x3431,13361,25,4,今だ、走れッ！！,[],
0x344A,13386,67,4,ほぎゃ{{LOCK_AT_DASH}}ッ、目がっ、目が{{LOCK_AT_DASH}}っ！？,"[""{{LOCK_AT_DASH}}""]",
0x348D,13453,46,3,ああ、コイツを蹴落としたい……,[],
0x3654,13908,158,17,"命からがら逃げてきたハクたち。
安堵するも束の間、蟲を引き連れたボロギギリが、血の匂いをたどり追ってきた。",[],
0x36F2,14066,155,173,"このままでは、蟲達を里まで誘き寄せてしまう。
それを防ぐには、何としてもここで食い止めねばならなかった。",[],
0x378D,14221,125,41,"そこでハクは、クオン、ウコンと分かれ、
怯えるマロロと共にボロギギリを待ち伏せする。",[],
0x380A,14346,100,7,そう、ハクが思いついたのは、自らを囮にした捨て身の撃退作戦だった。,[],
0x386E,14446,52,4,おおっ、動いて行くでおじゃるよ！？,[],
0x38A2,14498,34,2,囮に引っかかったな……,[],
0x38C4,14532,53,5,"居た……
雑魚達と上手く離れている。",[],
0x38F9,14585,91,34,ところで、肝心のボロギギリをどうやって誘いだすでおじゃるか？,[],
0x3954,14676,19,1,ぶちかませ。,[],
0x3967,14695,13,1,ほにょ？,[],
0x3974,14708,76,4,あの呪法ってヤツを、全力でボロギギリにぶちかませ。,[],
0x39C0,14784,73,29,上手くいけば、アイツだけ釣り上げることが出来る。,[],
0x3A09,14857,37,3,マ、マロがでおじゃるか？,[],
0x3A2E,14894,116,8,"他に誰が居るんだ。
急げ、グズグズしてたら囮になった連中が喰われる羽目になる。",[],
0x3AA2,15010,110,27,"しししかし、そんなことをしたら、
マロに向かってくるのではおじゃらぬか！？",[],
0x3B10,15120,64,4,…………心配するな、その為に自分達がいる。,[],
0x3B50,15184,80,5,"今の間は……。
ホントに、ホントに大丈夫でおじゃるか？",[],
0x3BA0,15264,34,2,ああ、自分達を信じろ。,[],
0x3BC2,15298,16,1,ハク殿……,[],
0x3BD2,15314,119,443,"そう……そうでおじゃるよ。
親友を信じずして何を信じるというのでおじゃる。",[],
0x3C49,15433,56,4,"判ったでおじゃる。
やるでおじゃるよ！",[],
0x3C81,15489,25,1,いるだけだがな。,[],
0x3C9A,15514,67,4,まぁ、何かあったらウコン達が何とかするだろ。,[],
0x3CDD,15581,25,2,にゅおおおおお。,[],
0x3CF6,15606,76,68,ううぅ……くらうでおじゃる、にょほぉ{{LOCK_AT_DASH}}んっ！！,"[""{{LOCK_AT_DASH}}""]",
0x3D42,15682,64,4,……術を出す時の掛け声は何とかならんのか？,[],
0x3D82,15746,31,2,どうだ、来るか{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0x3DA1,15777,52,2,何匹か一緒に来る……巻き込んだか。,[],
0x3DD5,15829,37,3,だが、あれくらいなら……,[],
0x3DFA,15866,64,23,みんな、作戦通り無理をせず引きつけてくれ。,[],
0x3E3A,15930,16,1,やった……,[],
0x3E4A,15946,40,3,いや、まだだぜ、アンちゃん,[],
0x3E72,15986,40,6,なんて、しぶといでおじゃる,[],
0x3E9A,16026,37,5,残念、これで終わりだよ！,[],
0x3EBF,16063,22,4,……来たかッ！,[],
0x3ED5,16085,58,29,ただいまっと。ハク、怪我とかしてない？,[],
0x3F0F,16143,55,7,いや、こっちよりそっちは大丈夫なのか,[],
0x3F46,16198,67,10,平気だよ。言ったでしょ、逃げるのは得意だって,[],
0x3F89,16265,82,9,やれやれ、あんなのを連れて来るたぁ、大したネェちゃんだ,[],
0x3FF4,16372,22,139,終わったな……,[],
0x400A,16394,28,4,ああ、終わった……,[],
0x4026,16422,28,3,………ハァ、疲れた,[],
0x4042,16450,104,14,"ハク殿、やったでおじゃるか！？
マロ達、死なないですむでおじゃるか！？",[],
0x40AA,16554,104,115,"ああ、これで終わりだ。
だからそんなに引っ付くな、鬱陶しい。",[],
0x4112,16658,82,9,やったでおじゃる、マロ達はやったでおじゃるよ、ハク殿！,[],
0x4164,16740,49,5,いや、分かったから離れてくれ……,[],
0x4195,16789,143,31,"それじゃあハク、帰ろっか。　戻ったら宴が待ってるから。
お酒にご馳走、あとはやっぱりお風呂もね。",[],
0x4224,16932,91,14,クオンの一言が、満身創痍のみんなに生きてることを実感させた。,[],
0x427F,17023,97,12,歓喜の声が広がっていき、それは勝鬨へと変わっていった。,[],
0x464C,17996,91,11,ボロギギリを倒したことで、ウコンに一目置かれたハクとクオン。,[],
0x46A7,18087,97,28,ウコン、マロロと共に、働き口を探すため帝都を目指すこととなった。,[],
0x4708,18184,128,14,"布を被った謎の二人組や、
辺境の姫君であるルルティエとの出会いもあり、一行の旅は続く。",[],
0x4788,18312,125,28,"道中、ノスリとモズヌが率いる山賊に襲撃を受け、
帝への献上品をすべて奪われてしまう。",[],
0x4805,18437,103,9,だがそれは、ノスリと通じモズヌの本拠を暴き出すウコンの計略であった。,[],
0x486C,18540,46,5,モズヌ討伐に向かうウコン一行。,[],
0x489A,18586,158,25,"一方、その場に残りルルティエを守る役を請け負ったハクは、
楽な仕事とばかりに呑気にくつろいでいたのだが……",[],
0x4938,18744,119,12,"ウコンは仲間達を引き連れ、
討伐衆と合流するため、山道の奥へと分け入っていった。",[],
0x49AF,18863,40,5,半刻ほども経っただろうか。,[],
0x49D7,18903,149,36,"やがて遠くから、何かが激しくぶつかり合うような音と、
大勢の男達のあげる鬨の声が聞こえてきた。",[],
0x4A6C,19052,25,2,始まったか……。,[],
0x4A85,19077,79,9,音の大きさから察して、戦いはかなりの規模みたいだな。,[],
0x4AD4,19156,88,297,あんなものに巻き込まれていたら、命がいくつあっても足りん。,[],
0x4B2C,19244,19,1,……ハク様。,[],
0x4B3F,19263,16,1,うおっ！？,[],
0x4B59,19289,37,2,い、いや……何でもない。,[],
0x4B7E,19326,76,4,あいかわらず、この巨大い鳥には慣れないな……,[],
0x4BCA,19402,19,1,それで何か？,[],
0x4BDD,19421,100,493,あ……はい。本当にごめんなさい。こんなことに巻き込んでしまって……,[],
0x4C41,19521,100,6,こんなこと？　ああ、ここに残ってルルティエを護ることになったことか,[],
0x4CA5,19621,49,5,いや……別に気にしなくてもいいさ,[],
0x4CD6,19670,103,19,あの合戦に駆り出されなくてすむんだ。こっちの方が断然マシというものだ,[],
0x4D3D,19773,124,8,しかも、ウコン直々の頼みだからな。気兼ねすること無く、こうして高みの見物でいられる,[],
0x4DB9,19897,76,18,ルルティエの方こそ怖かっただろうに。大丈夫なのか？,[],
0x4E05,19973,112,6,山賊たちにはウコンの手の者が混じっていたとはいえ、万が一ということもあった,[],
0x4E75,20085,28,2,だ、大丈夫です……,[],
0x4E91,20113,85,4,クオン様がいてくれましたし……も、もちろん、ハク様も……,[],
0x4EE6,20198,112,19,そう言ってくれるのは嬉しいが、自分がいたところで何ができたかは怪しいもんだ,[],
0x4F56,20310,73,5,立派だな、ルルティエは。さすがはお姫様ってとこか,[],
0x4F9F,20383,64,3,そ、そんな……っ！　お姫様なんて、私は……,[],
0x4FDF,20447,58,48,はて、そんな恥ずかしいことを言ったか？,[],
0x5019,20505,103,7,しかし、まあ……結果的にはウコン達に付いてきて良かったかもしれないな,[],
0x5080,20608,55,5,ふふん、こんな大変な目にあったのに？,[],
0x50B7,20663,145,24,ああ。もしウコン達に同行しないで、クオンと二人で旅をしていたとしても、やはりこの道は通ったはずだ,[],
0x5148,20808,70,4,そしたら、あの山賊たちに襲われていたかもしれん,[],
0x518E,20878,97,5,そうなった時、今みたいに無事に切り抜けられたかどうか判らんからな,[],
0x51EF,20975,124,20,いくら向こうにウコンの協力者がいるとはいえ、関係ない旅人まで助けてくれるとは限らん,[],
0x526B,21099,91,5,山賊達の信頼を得るために、あえて……って可能性もないではない,[],
0x52C6,21190,88,19,だから、ウコンについてきたのは正解だった。そう思っただけだ,[],
0x533E,21310,49,2,そうそう、そのとおりでおじゃるよ,[],
0x536F,21359,16,1,ぬおっ！？,[],
0x537F,21375,64,4,マロ達とハク殿は、一蓮托生の仲でおじゃるよ,[],
0x53BF,21439,103,21,マ、マロロ？　お前、何でここにいる？　ウコン達と一緒に行ったんじゃ？,[],
0x5426,21542,148,8,何を言うでおじゃる。ハク殿を残して行くのが心配で、ウコン殿に頼んでここに残してもらったでおじゃるよ,[],
0x54D0,21712,52,16,確かに、マロロの呪術は頼りになる。,[],
0x55CA,21962,160,12,そういえばコイツ、真っ青になってガタガタ震えていたな。いや、実際青くなっていたかどうかは化粧でわからないが,[],
0x5695,22165,175,11,少しだけでもいいから、マロにもこのことを話して欲しかったでおじゃる。何だが信頼されていないみたいで悲しいでおじゃるよ,[],
0x5744,22340,94,2,仕方ないかな。こういうのは相手に勘付かれたらそこでお終いだから,[],
0x57C4,22468,91,11,とにかく、ここで待機して、ウコン達が帰ってくるのを待つだけだ,[],
0x583C,22588,145,1,クソがッ！　ったく、見張りは何をしてやがったんだよォ！　あの隠れ家がバレるはずはねぇってのにヨ！,[],
0x58CD,22733,115,11,お頭……やっぱアレじゃねェですかい？　あのノスリって小娘が裏切ったんじゃ……,[],
0x59FF,23039,118,32,うるっせェな仕方ねェだろバカ、おめェらだって見たろあの乳！　ありゃ反則じゃん！,[],
0x5AB6,23222,139,14,ククッ……だが残念だったじゃん。あの乳娘、こんなとこに隠し通路があるとは夢にも思わねェだろヨ,[],
0x5BF6,23542,31,12,な、何でおじゃる！？,[],
0x5C40,23616,52,4,テ、テメェら……何でこんな所に！？,[],
0x5C74,23668,40,2,か、頭ぁ、どうしやすか！？,[],
0x5C9C,23708,107,22,"へヘッ、馬鹿かオメエは。
こんな奴等、蹴散らしちまえばいい話じゃねえの。",[],
0x5D07,23815,104,5,"しかも、コイツはとんだ土産が出来たぜ。
飛んで火に入る何とやらじゃん。",[],
0x5D79,23929,64,3,ウヒェヒヒヒヒ、たっぷり可愛がってやんよ。,[],
0x5DB9,23993,77,16,"よしテメェ等、女を取り押さえろ。
男は袋にしちまえ！",[],
0x5E06,24070,40,2,{{LOCK_AT_DASH}}ルルティエ、下がれ！,"[""{{LOCK_AT_DASH}}""]",
0x5E2E,24110,16,1,ひぅ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0x5E3E,24126,22,1,コココココ……,[],
0x5E54,24148,37,2,ぁ……ダメ、ココポ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0x5E79,24185,49,3,コカコココココ……コルルルル……,[],
0x5EAA,24234,37,2,に、に、逃げて下さい……,[],
0x5ECF,24271,76,23,何言ってる、ルルティエを置いてけるわけないだろうが,[],
0x5F1B,24347,37,3,ちが……ちがうんです……,[],
0x5F44,24388,70,4,おねがいです……そこの方達……逃げて下さい……,[],
0x5F91,24465,34,2,……あ？　何言ってんの,[],
0x5FB3,24499,133,27,このコ……このコ……普段大人しいですけど……怒るととっても凶暴になるんですっ、だから……,[],
0x6038,24632,55,3,ヘッ、そんな脅し、通用するとでも……,[],
0x607C,24700,16,1,グエッ！！,[],
0x608C,24716,19,1,ヒギャア！！,[],
0x609F,24735,19,1,…………え？,[],
0x60B2,24754,19,1,…………へ？,[],
0x60C5,24773,25,2,そういうこと……,[],
0x60DE,24798,43,16,コォォォォォォォォォォッ！！,[],
0x6109,24841,188,10,"モズヌ一家を討ち倒したハク一行はヤマトの将、オシュトルと出会う。
彼の放つ清廉な威厳は、まさに大人物を感じさせるものであった。",[],
0x61C5,25029,46,3,やがて、一行は無事帝都へ到着。,[],
0x61F3,25075,113,18,"帝の膝元である大都市の威容に圧倒されながら、
オシュトルの屋敷に案内される。",[],
0x6264,25188,185,20,"オシュトルの帰りを待っていたのは、可愛らしい妹、ネコネ。
彼女はその幼い容姿とは裏腹に、最年少で殿試に合格した才媛であった。",[],
0x631D,25373,55,3,さらに……衝撃の事実が明らかとなる。,[],
0x6354,25428,103,6,無頼の徒ウコンは、かの右近衛大将オシュトルが世を忍ぶ仮の姿であった。,[],
0x63BB,25531,115,150,彼の半ば強引な誘いに乗ったクオンに従い、ハクは共に隠密として働くこととなる。,[],
0x6B44,27460,98,6,"昼下がりの大通り。
あきらかに何時もより人集りと喧騒が増していた。",[],
0x6BA6,27558,74,5,"っと、何か妙に混んでないか？
歩くのも一苦労だぞ。",[],
0x6BF0,27632,31,7,ルルティエ、大丈夫？,[],
0x6C0F,27663,70,2,はい……大丈夫で……あっ、ご、ごめんなさい……,[],
0x6CE1,27873,74,6,"ハイです。
あれを……ちょうど来たみたいなのです。",[],
0x6DE6,28134,149,17,"金銀のきらびやかな装飾の施された、大きな車。
その後にも同じように飾られた荷車がいくつも続いている。",[],
0x6E7B,28283,170,8,"もうすぐ姫殿下の聖誕祭があるです。
その祝儀のため、諸国より皇や貴族の子息達が、帝都に上京してくるです。",[],
0x6FF1,28657,92,11,"ただ頭を下げる為だけに、
わざわざ遠いところからご苦労様だな。",[],
0x704D,28749,86,6,"否定はしないですが、
それ以上は止めといた方がいいのです。",[],
0x70AA,28842,88,12,皆が兄さ……オシュトル様と同じではないのです。,[],
