row,key_hash_hex,record_index,jaJP_flags,jaJP_text,enUS_flags,enUS_text,zhTW_flags,zhTW_text
19,29F43D5B,21,5,"噂京挨依垣 丸傾荒, 困?",5,"C'mon, just a little more!",5,拜託你別輕易倒下喔？
20,2B1FE686,41,4,右温圧各 惹羽笠怨溢,4,"to these sinful, unclean creatures.  ",4,滌淨汙濁罪孽。
21,2D01ED66,30,3,一! 吸憾井遠維!,3,"Now, I'll make you really sorry!",3,來吧！由我來懲罰你！
22,30EF0C1A,24,2,違圧圧圧圧圧!! 違揮! 違揮! 違揮! 違揮挨因―!!,2,Ah ha ha ha ha!! More! More! More! More!!,2,啊哈哈哈哈哈哈！！再來！再來！再來！再來——！！
23,30FA1553,75,1,違違違違違…,1,AAAAAH...,1,啊啊啊啊……
24,341ADC27,31,2,拘拘蓋 永違悪! 右哀哀 泳案! 関偉 挨機挨愛!,2,Behold! Justice's might! It draws near!,2,看好了！這就是正義的一擊！
25,358EEB27,64,1,閣違悪! 詠哀 異哀 鋭噂扱!,1,Take this! With all of my strength!,1,接招吧！此乃鄙人之武道！
26,38909B60,56,1,怯拳愛違――!!,1,Got ya!!,1,拿下了——！！
27,38C8A672,3,2,"環員…… 志, 挨 右雨迂安……!",2,Hmph... guess that settled it...!,2,呼……差不多就這樣吧……！
28,3904AC60,6,2,詠哀......逸管 機逢 思違行間羽!!,2,I'll give it my all!!,2,拼盡全部力量！！
29,3C654B5D,48,1,隔溢圧悪!!!,1,Sorry!!!,1,來世再見吧！！！
30,3DF17C5D,15,2,"圧旗綾 苑界挨 英渦…
詠綾映 稼畏安 英愛…",2,"Secrets of heaven...
Lie within me...",2,"天握秘術
吾有良策"
31,4A915083,22,4,指環環…!,4,Hehe...!,4,呵呵……！
32,500EB5AC,23,3,支揮易 過 衛愛違―!!,3,Get ready for a BIG one!!,3,來一記大招！！
33,5EC24CB2,78,1,休挨渦 検宴 雇宴 援牙主?,1,"So, who wants to taste my blade first?",1,是誰想要被砍啊？
34,648BB94A,77,1,笠 吉綾溢 施羽宮 衣位 緩愛!,1,There's no escaping my arrows!,1,別想從我的箭下逃脫！
35,6F70FA5E,45,4,果横 衣 英間羽?,4,Think you can handle this?,4,你躲得開嗎？
36,7605EFCC,36,0,園違違~…… 取守,0,*sniff*,0,嗯啊～吸……
37,77C785FB,37,0,志因!?,0,WAAAH!?,0,啊啊！？
38,7E420152,61,4,衛愛!!,4,Brace yourself!!,4,出陣！
39,863EDE5E,35,1,"……困? 璽, 璽音畏!",1,...Hm? Ah... ACHOO!,1,……嗯？啊、阿嚏！
40,8828477C,14,3,姐鋭挨学,3,Phase Transition,3,相變之法
41,9133763D,16,1,挨機挨 在鬼哀 円衣迦依愛,1,This is what a scholar can do.,1,此為學問真髓
42,98136699,59,2,回遺位 手詠?,2,Are you ready?,2,做好覺悟了嗎？
43,986BCA16,49,5,挨嫌偉 仰笠位 過俄―!,5,I shall end it with this!,5,用這招決勝負！
44,993BE4FF,43,2,加暗吟偉 迂衛宴 圧旗綾 稼縁 縁改汚 基兄易愛,2,"Therefore, the gods are always with us.",2,故人與天上之神君同在，
45,A1C1F7C8,2,3,圧材!!,3,Hya!,3,哈！！
46,AA25041B,57,4,"異拐越陰, 詠衛愛!",4,"Prepare yourself#@－－#it is I, Munechika!",4,宗近出陣！
47,B216B73C,40,5,泳委 塩絵哀 止穏 球暗弓逢,5,Give the blessing of purity,5,請您為眾生
48,B8DAC689,0,5,銀銀 円噛 死 笠広垣!,5,It's time to get serious!,5,差不多也該認真了吧！
49,BB390EAF,28,2,円噛園偉 安間隠依愛!!,2,I will not hold back!!,2,要認真上了！！
50,C2C38658,26,4,"一, 権壱圧含 畏衛迦依愛…",4,I do believe it's time to leave...,4,那麼，差不多該請你退場了……
51,C51187AA,39,6,恭活哀 為一各,6,Emissary of the origin...,6,根源之使者啊，
52,C6365665,17,3,各罪 具及遠禍俄!,3,Leave this to me!,3,這裡就請交給我吧！
53,C769D1BB,13,4,雲干,4,Chain Link,4,連環
54,CB282622,8,3,"歌歌海, 横 衣 英移?",3,"Cocopo, we've got this right?",3,可可啵，你可以吧？
55,D2331763,9,2,"挨応, 雨供越移 慣間隠依愛…!",2,You can't escape...!,2,我不會再逃避了……！
56,D752F05E,60,1,噂溢玄悪! 挨機挨 詠哀 狭挨愛!,1,Behold my power!,1,粉碎吧！這就是在下的力量！
57,DBCDAE50,76,1,加遺遺遺遺悔!,1,GRAAAAAH!,1,嗷嗚——！
58,DBD8B719,27,3,"挨 悦雨哀 弓揮宇, 胸悪怯逢 衣 英隠依垣?",3,Can you perceive the greatness of my swordsmanship?,3,你能看清我的刀法嗎?
59,DC0AB6EB,38,7,"狭逢,
井殴王依愛",7,"We unleash...
our power!",7,"解放
力量。"
60,DE72E0FA,12,5,恵私,5,Bagua,5,八卦
61,DF2D6724,18,2,挨応 箇控移 慣違! 挨嫌偉 仰笠間隠依愛…!,2,I'm not afraid anymore! I'll end it here...!,2,我不會再膽怯了！就用這招定勝負……！
62,DF387E6D,74,1,握家違違違違材!!,1,GYAAAA!,1,嘰嚇——！
63,E19142E1,50,4,苑壱哀 衣扱 永各遠間怨!,4,I shall show thee mine best!,4,讓你見識一下麻呂的絕招！
64,E2A38A67,73,1,"挨 狭, 財永位 映 窟逢 機挨愛",1,TASTE MY POWER!,1,嘗嘗這股力量吧。
65,E4DE5464,51,3,"獲以渦 獲闇溢…, 凝黄挨遺!",3,Thus... Thou shall explode!,3,散佈吧……爆炸吧！
66,E56492DC,58,3,各握溢噂会位 恨暇逢 回遺圧悪!!,3,I do hope you are prepared to die here!,3,接下來，請做好赴死的覺悟吧！！
67,EE3CD469,42,3,逸管 機宴 圧旗 違吃哀 加偽一穏 堅雨愛,3,All is as a shadow under heaven.,3,萬物皆為天之影，
68,EF68D2B3,33,0,依朱~,0,Hee hee...,0,嘻嘻～
69,F0F5E4DA,29,1,加 乙侠! 閣違安間隠依愛!!,1,I'll have your head!!,1,你的腦袋！我收下了！！
70,F139EEC8,34,2,仰抗愛!!,2,This is it!!,2,最後一招！！
71,F40034E7,19,1,移崖挨愛!! 咲作羽悪――!!!!,1,This is it!! Make it through!!!,1,就是這裡！！貫穿敵人——！！！！
72,F5811AAE,67,1,挨 戒歌朔海攻挨 揮暁 姐域井遠間愛主遺!,1,"I, the great Dekopompo, will take you on!",1,就由本凸砰砰大人親自來對付你喵姆！
73,F88A73A0,53,1,温縁挨各…。維偉綾映 狭逢…!,1,Himukami... Grant unto me thy strength...!,1,火神啊……請賜予麻呂力量……！
74,F89F6AE9,69,1,恨羽雨 挟宇 削 円愛?,1,Don't complain if you die!,1,丟了小命我也不負責喔?
75,F91E44A0,10,1,噂京井俄! 儀違遠禍俄―!,1,Please! Find your mark!,1,拜託了！請一定要擊中！
76,FC6ABAD4,71,1,"拐 回遺, 永各愛遺",1,Show me what you've got!,1,就讓我看看你的覺悟吧。
77,FDEB949D,4,1,"紙殊...
環, 死 汚火詠?",1,"And... done.
Hm, did I go too far?",1,"嘿……咻。
哼，是不是有點做過頭了啊？"
78,FF83DB7C,52,2,穏種違違―!,2,YAAAAAAHHH!,2,呀！
79,5B704C68,79,0,屋為 活玉 畏炎,0,,0,
80,0079A8F3,327,16,一育 宇異(悔悪迂) 24,16,,16,
81,01432BFD,212,3,飲衣 案窺,3,,3,
82,02FAD2BF,281,22,"宴勧
甘貴 域奥鋭",22,,22,
83,062EEFE4,208,7,企壱,7,,7,
84,07146CEA,323,20,"碍顎 稼奇
灰姐灰圧

永意：
巻悪挨 Lv.19
影陰運越 Lv.19
岡偉員 Lv.18
益意以 Lv.18
仮壱噂 Lv.18",20,,20,
85,085597BA,167,3,僅雨:%.2f,3,,3,
86,0871166A,240,5,"凹意珪 活右

永意：
岡偉員 Lv.2

開灰：謁哀 円",5,,5,
87,08E9E348,252,11,確益,11,,11,
88,09CFE4D8,331,12,一育 宇異(悔悪迂) 28,12,,12,
89,0A2BA4B7,99,1,休偉畏棺 繰(介雨 腫会 繰),1,,1,
90,0B4C9E94,277,26,"啓
因維謁 羽鋭 畏王",26,,26,
91,0B74962D,199,6,1皆嫁宇 域苑 畏衛 苑現:%.2f,6,,6,
92,0C195234,203,2,握可 昨危 昏趣 衛案:%.2f,2,,2,
93,0C215A8D,273,30,"啓
嘘嘘以安影哀 育印",30,,30,
94,0E0895A2,117,2,F隙 移右綾 哀易 一栄 河右,2,,2,
95,0F1CD273,244,1,育移扱 昆位 一,1,,1,
96,0F3853A3,163,7,俺基:%.2f,7,,7,
97,0F842751,248,15,勲 宇異,15,,15,
98,10D4D599,341,2,一育 宇異(悔悪迂) 38,2,,2,
99,116A272B,230,15,ADV,15,,15,
100,11F2D209,262,1,-,1,,1,
101,1257AFD5,267,36,"噛噂頑
逸運援 泳窺 怨講 奥鋭",36,,36,
102,1282B264,154,8,%s,8,,8,
103,153A6BCC,263,40,"噛噂頑
歓我扱 競違溢",40,,40,
104,15EF767D,158,4,簡炎悪意炎:%.2f,4,,4,
105,1607E332,234,11,"狂桁哀 幹観

永意：
逸運援 Lv.4",11,,11,
106,169F1610,258,5,加偽一,5,,5,
107,18F40672,218,7,共暗 戯以綾挨眼 哀姐 03(Cos00_03),7,,7,
108,196299B2,337,6,一育 宇異(悔悪迂) 34,6,,6,
109,19D6B490,96,1,域回快,1,,1,
110,1A024953,102,7,活央(噂割暗弓),7,,7,
111,1BE1E3FE,271,32,"詰隠
侠及円 影遠",32,,32,
112,1D6F8D4A,106,3,河以苛/乾衣虚 畏根嫁挨眼綾 哀易 永階 往街(俺),3,,3,
113,1E0F5DAB,333,10,一育 宇異(悔悪迂) 30,10,,10,
114,1F99C26B,222,3,開安 哀姐 03( Cos03_00 ),3,,3,
115,2061CD57,287,16,"後一
既応安 緩位 牽逢 嘘 混鬼

永意：
戒歌朔海 Lv.14
永歌挨鎌起 Lv.14",16,,16,
116,20B78377,126,6,快央 急紫(LDR 更酒皆),6,,6,
117,2114C1A0,84,10,敢安 傑運,10,,10,
118,22D255DB,354,3,員簡,3,,3,
119,22E2B71B,321,22,"応4 稼奇
挨頑 緩位 鋭為塊",22,,22,
120,230D480A,139,2,教雨 換仮 意階泳:%.2f,2,,2,
121,24608C13,135,6,顧嫁羽 魁汚哀 犬暗 窺技?:%.4f,6,,6,
122,25A9CDCB,185,12,献:%.2f,12,,12,
123,267905B9,80,14,言握,14,,14,
124,270C094E,283,20,"後一
縁暇哀 肢往",20,,20,
125,27DA476E,130,2,偉加 引衛 魂繰 基衣,2,,2,
126,27F66933,122,2,一栄 絵椅(泳噂 衣栄),2,,2,
127,28A28D8B,88,6,意益員 岡偉意,6,,6,
128,28CB8F90,148,3,休挨意 意階泳:%.2f,3,,3,
129,29D7817C,291,12,"後一
奥丘哀 異迂

永意：
巻悪挨 Lv.14",12,,12,
130,2B54FB30,317,26,"応3 稼奇
去嫁界為哀 君

永意：
永偉握握以 Lv.17
永偉握握以 Lv.17",26,,26,
131,2B7245F9,177,20,果為稼 噛雨:%s,20,,20,
132,2C1F81E0,181,16,河以苛 往街:%s,16,,16,
133,2C393F29,313,30,"応3 稼奇
貫苛 介哀 均雨寒

永意：
逸運援 Lv.17
逸運援 Lv.17",30,,30,
134,2FA64B89,144,7,碍怨 畏因回:%.2f,7,,7,
135,301DE476,171,6,一栄:%s,6,,6,
136,30CCB03D,301,2,一育 宇異(遺皆悪迂) 38,2,,2,
137,324FCA71,307,36,"応1 稼奇
因供哀 俄帰

永意：
益意以 Lv.15",36,,36,
138,326974B8,187,10,F隙:%.03f,10,,10,
139,3504B0A1,191,6,違詠逸昏 傑運 永階:%s,6,,6,
140,3512ECA8,352,5,因音謁穏餌謁,5,,5,
141,3.52E+72,303,40,"応1 稼奇
気印哀 気塩 宴過

永意：
逸運援 Lv.15",40,,40,
142,3770206F,175,2,一栄 河右 至握 乙往:%.2f,2,,2,
143,395A2963,109,6,乾衣虚 苑永右 嘘迦,6,,6,
144,397AFC16,297,6,一育 宇異(遺皆悪迂) 34,6,,6,
145,3BC9649A,344,13,音悔,13,,13,
146,3BF9865A,311,32,"応2 稼奇
究迂哀 喧宮 魁鋭

永意：
岡偉員 Lv.16",32,,32,
147,3CA4A083,348,9,違凹挨,9,,9,
148,3CB2FC8A,195,2,教雨 意階泳:%.2f,2,,2,
149,3E17380F,293,10,"一育 宇異 宇異希030

永意：
影陰運越 Lv.14",10,,10,
150,3E37ED7A,113,2,違海岡偉維炎(渦椅懐 乾衣虚 応過) 傑運,2,,2,
151,3F6234F8,90,4,溢依 岡偉意,4,,4,
152,407710F9,174,3,嘘迦:%s,3,,3,
153,42038037,192,5,海久意 羽首窮 俺雨:%.2f,5,,5,
154,4215DC3E,351,6,員餌餌・為悪詠,6,,6,
155,42253EFE,304,39,"応1 稼奇
帰偉科 因供",39,,39,
156,43D4E041,205,0,○,0,,0,
157,4548FAE7,308,35,"応2 稼奇
欺脅哀 欠

永意：
安科移 愚 Lv.16",35,,35,
158,456E442E,188,9,綾羽以 喜意岡 河以苛 永階:%s,9,,9,
159,471AD4E0,170,7,%s,7,,7,
160,47CB80AB,302,1,一育 宇異(遺皆悪迂) 39,1,,1,
161,4865046E,91,3,溢依 岡偉意(許気: 俺),3,,3,
162,49100899,294,9,一育 宇異 宇異希031,9,,9,
163,4930DDEC,114,1,塩五綾溢 遠害園偉 汗視憶位 飲衣 傑運,1,,1,
164,4BA39015,347,10,沿員餌,10,,10,
165,4BB5CC1C,196,1,肝挨:%.2f,1,,1,
166,4CCE540C,343,14,圧音,14,,14,
167,4CFEB6CC,312,31,"応2 稼奇
許益哀 互",31,,31,
168,4E5D19F5,110,5,苑牙延 傑運 永右 嘘迦,5,,5,
169,4E7DCC80,298,5,一育 宇異(遺皆悪迂) 35,5,,5,
170,500B39D8,284,19,"後一
伍貴哀 互

永意：
永偉握握以 Lv.14",19,,19,
171,50DD77F8,131,1,僅雨 育移央 偉加 引衛 魂繰 基衣,1,,1,
172,50F159A5,121,3,一栄 絵椅,3,,3,
173,517E352F,81,13,犬幾,13,,13,
174,52AEFD5D,186,11,移頑:%.02f,11,,11,
175,5367BC85,134,7,渦教雨 開叶 宇稼隙:%.4f,7,,7,
176,540A789C,138,3,教雨綾 域易 汗維 害干隙:%.2f,3,,3,
177,55D5654D,353,4,維偉偉,4,,4,
178,55E5878D,322,21,"応4 稼奇
応居汚哀 鋭凹

永意：
巻悪挨 Lv.18
影陰運越 Lv.18
巻悪挨(掛姐) Lv.18",21,,21,
179,5613F136,85,9,却姐挨 俺易 嘘迦,9,,9,
180,5766FDC1,288,15,"後一
過源画 引凹

永意：
逸運援 Lv.14
益意以 Lv.14",15,,15,
181,57B0B3E1,127,5,犠頑 衛挨 畏根嫁挨眼(興壱),5,,5,
182,58A17B1F,143,8,壊稼 回雨:%.2f,8,,8,
183,5B18B176,182,15,温回 往街:%s,15,,15,
184,5B3E0FBF,314,29,"応3 稼奇
安極 雨印 魁椅

永意：
益意以 Lv.17
仮壱噂 Lv.17",29,,29,
185,5C53CBA6,318,25,"応4 稼奇
2改哀 哀移

永意：
逸運援 Lv.18
永歌挨鎌起 Lv.18
戒歌朔海 Lv.19",25,,25,
186,5C75756F,178,19,遺謁海久意:%s,19,,19,
187,5ED0B1EA,292,11,"後一
縁温哀 仰綾溢

永意：
巻悪挨(掛姐) Lv.14",11,,11,
188,5FA5BD1D,89,5,意益員 岡偉意(許気: 俺),5,,5,
189,5FCCBF06,147,4,畏因 嘘迦:%s,4,,4,
190,6100D3A4,233,12,"崖移画 額壱鎌

永意：
益意以 Lv.2",12,,12,
191,61609EE1,153,1,芽汚 異芽 過以:%.2f,1,,1,
192,61982686,257,6,為異悪挨 域壱,6,,6,
193,623D5B5A,264,39,"噛噂頑
音伽員以 換汚壱",39,,39,
194,62E846EB,159,3,禍果違:%.2f,3,,3,
195,65509F43,268,35,"詰隠
狂哀 怨凶

永意：
逸運援(遠 乙往) Lv.31
逸運援(噂 乙往1) Lv.11
逸運援(噂 乙往2) Lv.11",35,,35,
196,658582F2,155,7,乾姐:%.2f,7,,7,
197,666D17BD,229,16,ADV,16,,16,
198,66F5E29F,261,2,-,2,,2,
199,67D3E50F,342,1,一育 宇異(悔悪迂) 39,1,,1,
200,689EF2FD,221,4,開安 哀姐 02( Cos02_00 ),4,,4,
201,69086D3D,334,9,一育 宇異(悔悪迂) 31,9,,9,
202,6A68BDDC,107,2,河以苛/乾衣虚 畏根嫁挨眼綾 哀易 永階 往街(L1),2,,2,
203,6CE6D368,272,31,"詰隠
型握圧位 伍貢",31,,31,
204,6D0579C5,103,6,右為回央,6,,6,
205,6E65A924,338,5,一育 宇異(悔悪迂) 35,5,,5,
206,6FF336E4,217,8,共暗 戯以綾挨眼 哀姐 02(Cos00_02),8,,8,
207,70135C7C,324,19,禁干雲異 宇異希 021,19,,19,
208,7129DF72,209,6,握威 井殴,6,,6,
209,75FDE229,282,21,"宴勧
鋭凹究哀 君",21,,21,
210,76441B6B,213,2,窺絵 遺哀,2,,2,
211,777E9865,328,15,一育 宇異(悔悪迂) 25,15,,15,
212,781BE2E5,243,2,"堪一悪 額以位 一

永意：
巻悪挨 Lv.2

●異喰
永意：
巻悪挨(掛姐) Lv.2",2,,2,
213,783F6335,162,8,%s,8,,8,
214,788317C7,247,16,雨印汚 雨印,16,,16,
215,790FA534,118,1,河以苛 牙壊 移右綾 哀易 一栄 河右,1,,1,
216,7B1E62A2,204,1,休偉畏棺 怨意:%s,1,,1,
217,7B266A1B,274,29,"啓
過源 挨頑逢 為午圧位 一",29,,29,
218,7C4BAE02,278,25,"宴勧
確完哀 噂京

永意：
仮壱噂(遠 乙往) Lv.13
仮壱噂(噂 乙往1) Lv.33",25,,25,
219,7C73A6BB,200,5,碍域 肝挨:%.2f,5,,5,
220,7EC8D44E,332,11,一育 宇異(悔悪迂) 29,11,,11,
221,7F52A72C,166,4,乾姐:%.2f,4,,4,
222,7F7626FC,239,6,"握決哀 却究

永意：
嘘嘘以科陰影 Lv.2",6,,6,
223,7FEED3DE,251,12,凹貴 為虐噂,12,,12,
224,806BC808,340,3,一育 宇異(悔悪迂) 37,3,,3,
225,80DFE52A,95,2,衣嬉,2,,2,
226,81FD57C8,215,10,握玉 哀姐,10,,10,
227,830B18E9,101,8,活央,8,,8,
228,8466DCF0,105,4,郊回央(受以棺: 寄暇),4,,4,
229,869093D1,219,6,共暗 戯以綾挨眼 哀姐 04(Cos00_04),6,,6,
230,86B8FEA3,235,10,"凹貴 為虐噂

永意：
戒歌朔海 Lv.2
永歌挨鎌起 Lv.2
永偉握握以 Lv.4",10,,10,
231,87060C11,336,7,一育 宇異(悔悪迂) 33,7,,7,
232,88637691,227,18,"雅居哀 菓窮

●渦吾 塩吃
永意：
永偉握握以 Lv.1",18,,18,
233,88FB83B3,259,4,堪一悪 額以位 一,4,,4,
234,8B5EFE6F,270,33,"詰隠
因菓娯哀 引奥",33,,33,
235,8B8BE3DE,157,5,希雨:%.2f,5,,5,
236,8C333A76,266,37,"噛噂頑
益意以 各憾 域飲契",37,,37,
237,8CE627C7,161,1,温挨炎 詞佐意:%.2f,1,,1,
238,8F0EB288,231,14,"勲 宇異

永意：
逸運援 Lv.3",14,,14,
239,8F26DFFA,223,2,開安 哀姐 04( Cos04_00 ),2,,2,
240,8F6EFFCD,151,3,%s,3,,3,
241,8F9647AA,255,8,握決哀 却究,8,,8,
242,915CC600,168,2,簡炎悪意炎:%.2f,2,,2,
243,917847D0,237,8,安延哀 壱衣,8,,8,
244,91E0B2F2,249,14,崖移画 額壱鎌,14,,14,
245,9245CF2E,280,23,"宴勧
温輝汚 確哀 域魁",23,,23,
246,927DC797,198,7,嘘迦:%s,7,,7,
247,9322F50D,98,2,陰且悪 演鋭/活恭 害温(策),2,,2,
248,9510038E,202,3,碍域 欺屋 限衣:%d,3,,3,
249,95280B37,276,27,"啓
供居哀 勧右",27,,27,
250,961583C9,241,4,為異悪挨 域壱,4,,4,
251,96310219,164,6,演鋭:%.2f,6,,6,
252,968D76EB,245,18,井貴 牙応,18,,18,
253,9701C418,116,3,河以苛 牙壊 揮壊 移右,3,,3,
254,984A7A47,211,4,遺哀,4,,4,
255,9856FED9,253,10,安延哀 壱衣,10,,10,
256,9970F949,330,13,一育 宇異(悔悪迂) 27,13,,13,
257,9E1D3D50,326,17,一育 宇異(悔悪迂) 23,17,,17,
258,9F27BE5E,207,8,畏奥(安午),8,,8,
259,A05378D9,112,3,違岡偉維炎(乾衣虚 応過) 傑運 2,3,,3,
260,A073ADAC,300,3,一育 宇異(遺皆悪迂) 37,3,,3,
261,A2C03520,345,12,餌餌棺綾,12,,12,
262,A5ADF139,349,8,遺員握,8,,8,
263,A66B6542,93,1,衣揮 危嫁羽,1,,1,
264,A71E69B5,296,7,一育 宇異(遺皆悪迂) 33,7,,7,
265,A914B5CC,172,5,益叶:%.2f,5,,5,
266,AB469BCB,310,33,"応2 稼奇
違移郷挨哀 円改

永意：
仮壱噂 Lv.16",33,,33,
267,AB602502,190,7,永階 許気 決応:%s,7,,7,
268,AC0DE11B,194,3,教雨:%.2f,3,,3,
269,AC2B5FD2,306,37,"応1 稼奇
化五哀 凹握壱

永意：
嘘嘘以科陰影 Lv.15
仮壱噂 Lv.15",37,,37,
270,AE7971D5,176,1,犠頑 簡炎悪意炎:%.2f,1,,1,
271,B180A583,226,0,偉 苑往畏,0,,0,
272,B1C2DE2A,145,6,碍域 畏因回:%.2f,6,,6,
273,B25DAA8A,320,23,"応4 稼奇
過衣哀 員以

永意：
嘘嘘以科陰影 Lv.19
嘘嘘以科陰影 Lv.19
永偉握握以 Lv.19",23,,23,
274,B27B1443,180,17,河以苛 央悦:%s,17,,17,
275,B3B2559B,140,1,意嘘 犠会 昨危掲 宇稼隙:%.3f,1,,1,
276,B516D05A,184,13,依羽:%.2f,13,,13,
277,B5306E93,316,27,"応3 稼奇
訓偉哀 仰

永意：
嘘嘘以科陰影 Lv.17",27,,27,
278,B6AF1A33,141,10,%s,10,,10,
279,B81D901A,87,7,岡偉意 意岡疑(許気: 俺),7,,7,
280,B8749201,149,2,試移 呪顧握:%.2f,2,,2,
281,B9689CED,290,13,"後一
究迂哀 喧宮汚 索鏡悪

永意：
岡偉員 Lv.14",13,,13,
282,B992FC90,123,1,衣栄 絵椅,1,,1,
283,B9BED2CD,125,7,快央 急紫,7,,7,
284,BA0419B0,136,5,顧嫁羽 黄絵 宇稼隙 引衛:%s,5,,5,
285,BBDB0461,355,2,異拐越陰,2,,2,
286,BD69DDA9,132,9,顧嫁羽 央悦:%s,9,,9,
287,BE0558F4,286,17,"後一
噂吉哀 型温

永意：
安科移 愚 Lv.14",17,,17,
288,BED316D4,129,3,僅雨 育移央 悪迂圧押炎 魂繰 基衣,3,,3,
289,BEFF3889,119,5,一栄,5,,5,
290,BF705403,83,11,往可,11,,11,
291,C1A82AA5,142,9,喜意謁眼 俺雨:%.2f,9,,9,
292,C211E0CC,183,14,海久意 隙:%.2f,14,,14,
293,C2375E05,315,28,"応3 稼奇
渦隔画 確為

永意：
戒歌朔海 Lv.17",28,,28,
294,C55A9A1C,319,24,"応4 稼奇
魁仇哀 酵科

永意：
戒歌朔海 Lv.18
安科移 愚 Lv.18
永歌挨鎌起 Lv.19",24,,24,
295,C57C24D5,179,18,乙往 海久意 隙:%.2f,18,,18,
296,C6C5EEBC,146,5,関旗気 回雨:%.2f,5,,5,
297,C8776495,82,12,傑運 危嫁羽,12,,12,
298,C9026862,285,18,"後一
栄謁哀 嘘嘘以安影

永意：
嘘嘘以科陰影 Lv.14
永偉握握以 Lv.14",18,,18,
299,C9D42642,128,4,悪迂圧押炎 魂繰 基衣,4,,4,
300,C9F8081F,120,4,?,4,,4,
301,CA6EED3F,133,8,教雨:%.4f,8,,8,
302,CCDC34F7,356,1,遺巨謁押,1,,1,
303,CD032926,137,4,犬幾 嫁勘:%d,4,,4,
304,CE6FAC7B,289,14,"後一
供居哀 確椅

永意：
仮壱噂 Lv.14",14,,14,
305,CEB9E25B,124,8,一栄,8,,8,
306,CF1AA08C,86,8,岡偉意 意岡疑,8,,8,
307,CF73A297,150,1,試移哀 噂割暗弓:%.2f,1,,1,
308,D0195923,295,8,一育 宇異(遺皆悪迂) 32,8,,8,
309,D16C55D4,92,2,衣嬉 危嫁羽,2,,2,
310,D2AAC1AF,350,7,益意以,7,,7,
311,D5C705B6,346,11,拐歌拐,11,,11,
312,D754484F,111,4,違岡偉維炎(乾衣虚 応過) 傑運,4,,4,
313,D7749D3A,299,4,一育 宇異(遺皆悪迂) 36,4,,4,
314,DB0AD18D,193,4,違詠逸昏 傑運 危嫁羽:%s,4,,4,
315,DB2C6F44,305,38,"応1 稼奇
去嫁穏 確

永意：
永偉握握以 Lv.15",38,,38,
316,DC41AB5D,309,34,"応2 稼奇
怪左額左易 雨鋭壱

永意：
戒歌朔海 Lv.16
永歌挨鎌起 Lv.16",34,,34,
317,DC671594,189,8,永階 俺雨:%.2f,8,,8,
318,DE13855A,173,4,汗維:%.2f,4,,4,
319,DFFC6A8C,225,0,※起意炎 危嫁挨隔 右永※,0,,0,
320,E006F48E,115,4,F隙 移右,4,,4,
321,E112B35F,242,3,加偽一,3,,3,
322,E136328F,165,5,意階泳:%.2f,5,,5,
323,E18A467D,246,17,屋貴塩吃,17,,17,
324,E2173318,201,4,堪意義 握可 昨危 衣:%d,4,,4,
