start_offset_hex,start_offset_dec,byte_budget,ref_count,ja,locks,kr
0x981E,38942,112,0,山賊たちにはウコンの手の者が混じっていたとはいえ、万が一ということもあった,[],"산적들 사이에 우콘 쪽 사람이 섞여 있었다곤 해도, 만일이라는 게 있잖아."
0x9891,39057,28,0,だ、大丈夫です……,[],"괘, 괜찮습니다……"
0x9908,39176,112,0,そう言ってくれるのは嬉しいが、自分がいたところで何ができたかは怪しいもんだ,[],"그렇게 말해 주니 기쁘긴 한데, 내가 있었어도 뭘 할 수 있었을지는 의문이야."
0x997B,39291,73,0,立派だな、ルルティエは。さすがはお姫様ってとこか,[],"대단하네, 루루티에. 역시 공주님이구나."
0x9A0A,39434,58,0,はて、そんな恥ずかしいことを言ったか？,[],음? 내가 그렇게 부끄러운 말을 했나?
0x9A47,39495,103,0,しかし、まあ……結果的にはウコン達に付いてきて良かったかもしれないな,[],하지만 뭐…… 결과적으로는 우콘 일행을 따라오길 잘했을지도 모르겠네.
0x9AB1,39601,55,0,ふふん、こんな大変な目にあったのに？,[],"후훗, 이렇게 큰일을 겪었는데도?"
0x9B7F,39807,70,0,そしたら、あの山賊たちに襲われていたかもしれん,[],그랬으면 저 산적들한테 습격당했을지도 몰라.
0x9C2C,39980,124,0,いくら向こうにウコンの協力者がいるとはいえ、関係ない旅人まで助けてくれるとは限らん,[],"저쪽에 우콘의 협력자가 있다 해도, 아무 상관 없는 여행자까지 도와준다는 보장은 없으니까."
0x9D09,40201,88,0,だから、ウコンについてきたのは正解だった。そう思っただけだ,[],그러니까 우콘을 따라온 건 정답이었다. 그냥 그런 생각이 든 거야.
0x9D8A,40330,49,0,そうそう、そのとおりでおじゃるよ,[],"그렇지 그렇지, 그 말이 맞사옵니다요."
0x9DBE,40382,16,0,ぬおっ！？,[],누오!? 
0x9E14,40468,103,0,マ、マロロ？　お前、何でここにいる？　ウコン達と一緒に行ったんじゃ？,[],"마, 마로로? 너, 왜 여기 있어? 우콘 일행이랑 같이 간 거 아니었어?"
0x9F15,40725,22,0,そ、そうか……,[],"그, 그렇군……"
0x9F2E,40750,52,0,確かに、マロロの呪術は頼りになる。,[],확실히 마로로의 주술은 믿음직하다.
0x9F65,40805,76,0,一緒にいてくれるのは心強い。心強いはずなのだが……,[],함께 있어 주는 건 든든해. 든든해야 맞는데……
0x9FB4,40884,46,0,素直に喜べないのは何故だ……？,[],순순히 기뻐할 수가 없는 건 왜지……?
0xA034,41012,160,0,そういえばコイツ、真っ青になってガタガタ震えていたな。いや、実際青くなっていたかどうかは化粧でわからないが,[],"그러고 보니 이 녀석, 새파래져서 덜덜 떨고 있었지. 뭐, 실제로 파랬는지는 화장 때문에 모르겠지만."
0xA105,41221,175,0,少しだけでもいいから、マロにもこのことを話して欲しかったでおじゃる。何だが信頼されていないみたいで悲しいでおじゃるよ,[],"조금이라도 좋으니, 마로에게도 이 일을 말해 줬으면 했사옵니다요. 뭔가 믿지 못하는 것 같아 서운하옵니다요."
0xA218,41496,34,0,まあ、そういうことだな,[],"뭐, 그런 셈이지."
0xA23D,41533,91,0,とにかく、ここで待機して、ウコン達が帰ってくるのを待つだけだ,[],"아무튼, 여기서 대기하면서 우콘 일행이 돌아오길 기다리기만 하면 돼."
0xA29B,41627,13,0,……ん？,[],……에?
0xA2BC,41660,16,0,んんんん？,[],에에에에?
0xA379,41849,115,0,お頭……やっぱアレじゃねェですかい？　あのノスリって小娘が裏切ったんじゃ……,[],두목…… 역시 그거 아닙니까? 저 노스리 꼬마가 배신한 거 아닌지……
0xA3EF,41967,13,0,あァん？,[],어어?
0xA52D,42285,28,0,そりゃあ確かに……,[],그야 확실히……
0xA54C,42316,37,0,そこは同意せざるを得ない,[],그건 인정할 수밖에 없지.
0xA574,42356,139,0,ククッ……だが残念だったじゃん。あの乳娘、こんなとこに隠し通路があるとは夢にも思わねェだろヨ,[],"크큭…… 근데 아쉽게 됐네. 그 젖가슴 계집애는 이런 데 숨은 통로가 있을 줄은 꿈에도 몰랐겠지, 응?"
0xA602,42498,133,0,とりあえず今はどうにか逃げ切って、後でこの礼はタップリさせてもらうぜ、あの乳に{{LOCK_AT_DASH}}！！,"[""{{LOCK_AT_DASH}}""]","일단은 어떻게든 도망치고, 나중에 제대로 보답해 주마. 그 젖가슴에{{LOCK_AT_DASH}}!!"
0xA6D2,42706,16,0,うわぁ！？,[],우왓!?
0xA74A,42826,43,0,こいつら……さっきの山賊！！,[],이 자식들…… 아까 그 산적들!!
0xA7CC,42956,52,0,テ、テメェら……何でこんな所に！？,[],"너, 너희들…… 왜 이런 데가 있냐!?"
0xA85A,43098,40,0,か、頭ぁ、どうしやすか！？,[],"두, 두목! 어떡하실까요!?"
0xAACC,43724,10,0,っ……,[],……
0xAB9B,43931,77,0,"よしテメェ等、女を取り押さえろ。
男は袋にしちまえ！",[],"좋아, 너희들! 여자를 붙잡아!
남자는 포대에 처넣어!"
0xAC77,44151,40,0,{{LOCK_AT_DASH}}ルルティエ、下がれ！,"[""{{LOCK_AT_DASH}}""]","{{LOCK_AT_DASH}}루루티에, 뒤로 물러서!"
0xACA2,44194,16,0,ひぅ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",히우{{LOCK_AT_DASH}}
0xACB5,44213,22,0,コココココ……,[],코코코코코……
0xACCE,44238,37,0,ぁ……ダメ、ココポ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]","아…… 안 돼, 코코포{{LOCK_AT_DASH}}"
0xAD2A,44330,37,0,に、に、逃げて下さい……,[],"도, 도, 도망쳐 주세요……"
0xAD52,44370,76,0,何言ってる、ルルティエを置いてけるわけないだろうが,[],"무슨 소리야, 루루티에를 두고 갈 수 있을 리가 없잖아."
0xADA1,44449,37,0,ちが……ちがうんです……,[],아니…… 아니에요……
0xAE19,44569,7,0,は？,[],뭐?
0xAE23,44579,34,0,……あ？　何言ってんの,[],……어? 무슨 소리야.
0xAE48,44616,133,0,このコ……このコ……普段大人しいですけど……怒るととっても凶暴になるんですっ、だから……,[],이 아이…… 이 아이…… 평소엔 얌전하지만…… 화나면 정말 흉포해져요. 그러니까……
0xAF1A,44826,16,0,グエッ！！,[],그엑!!
0xAF2D,44845,19,0,ヒギャア！！,[],히갸아!!
0xAF43,44867,19,0,…………え？,[],…………어?
0xAF59,44889,19,0,…………へ？,[],…………응?
0xAF6F,44911,25,0,そういうこと……,[],그렇단 말이지……
0xAF8B,44939,43,0,コォォォォォォォォォォッ！！,[],코오오오오오오오오오!!
0xB197,45463,46,0,やがて、一行は無事帝都へ到着。,[],"이윽고, 일행은 무사히 황도에 도착했다."
0xB22C,45612,113,0,"帝の膝元である大都市の威容に圧倒されながら、
オシュトルの屋敷に案内される。",[],"황제의 발아래에 있는 대도시의 위용에 압도된 채,
오슈토르의 저택으로 안내된다."
0xB552,46418,55,0,さらに……衝撃の事実が明らかとなる。,[],그리고…… 충격적인 사실이 밝혀진다.
0xB716,46870,115,0,彼の半ば強引な誘いに乗ったクオンに従い、ハクは共に隠密として働くこととなる。,[],"그의 다소 강압적인 권유를 받아들인 쿠온을 따라, 하쿠는 함께 첩자로 일하게 된다."
0xCA0C,51724,98,0,"昼下がりの大通り。
あきらかに何時もより人集りと喧騒が増していた。",[],"한낮이 지난 대로.
분명 평소보다 인파와 소란이 훨씬 늘어 있었다."
0xCB04,51972,74,0,"っと、何か妙に混んでないか？
歩くのも一苦労だぞ。",[],"어이, 뭔가 이상하게 붐비지 않아?
걷는 것도 한참 힘든데."
0xCC39,52281,70,0,はい……大丈夫で……あっ、ご、ごめんなさい……,[],"네…… 괜찮…… 앗, 죄, 죄송합니다……"
0xCD8A,52618,82,0,この時期ってことは、もしかして何かあったりするのかな。,[],"이 시기라면, 혹시 무슨 행사가 있나?"
0xCE23,52771,74,0,"ハイです。
あれを……ちょうど来たみたいなのです。",[],"네.
저걸…… 마침 온 것 같습니다."
0xD040,53312,25,0,……何だありゃ？,[],……저게 뭐야?
0xD361,54113,113,0,"次の帝となる姫殿下に、
家督を譲られるより前から、忠誠を誓うのです。",[],"다음 황제가 되실 공주 전하께,
가주 자리를 물려받기 전부터 충성을 맹세하는 겁니다."
0xD48B,54411,91,0,へぇ、じゃああれは、その為に来たどこかのボンボンってわけか。,[],"오, 그럼 저건 그걸 하러 온 어딘가의 도련님들이란 거네."
0xD578,54648,92,0,"ただ頭を下げる為だけに、
わざわざ遠いところからご苦労様だな。",[],"고개 숙이러고 일부러 먼 길을 왔다니,
고생도 많다."
0xD663,54883,86,0,"否定はしないですが、
それ以上は止めといた方がいいのです。",[],"부정하진 않지만,
그 이상은 그만두는 게 좋겠습니다."
0xD758,55128,7,0,お？,[],어?
0xD76A,55146,88,0,皆が兄さ……オシュトル様と同じではないのです。,[],모두가 오라버니…… 오슈토르 님과 같은 건 아니니까요.
0xD84C,55372,162,0,"アンジュ姫殿下は、現人神である帝の、
ただ一人の直系である御方。
正真正銘の天子様なのですよ。",[],"앙주 공주 전하는 현인신이신 황제의
유일한 직계 혈통이신 분.
틀림없는 천자이십니다."
0xDB0E,56078,110,0,"オシュトル様なら軽口ということですむことでも、
あまり目に余るようだと……",[],"오슈토르 님이라면 농담으로 넘어갈 일도,
너무 지나치면……"
0xDC25,56357,61,0,ある日……忽然と消えることになるですよ？,[],어느 날…… 갑자기 사라지게 될지도 몰라요?
0xDCCF,56527,22,0,そ、そうか……,[],"그, 그렇구나……"
0xDD03,56579,122,0,"淡々とした口調がかえって恐いというか。
脅しているとかじゃ……ないっぽいな、コレ。",[],"담담한 말투가 오히려 무섭달까.
협박하는 게…… 아닌 것 같은데, 이거."
0xDE53,56915,28,0,しかし、意外だな。,[],근데 의외네.
0xDEA4,56996,16,0,何がです？,[],무엇이요?
0xDF7E,57214,101,0,"顔見知りがある日突然居なくなっていたら、
さすがに夢見が悪いのです。",[],"아는 사람이 어느 날 갑자기 사라지면,
아무래도 잠자리가 나빠지잖아요."
0xE0A0,57504,31,0,……ソ、ソウデスカ。,[],"……그, 그런가요."
0xE167,57703,98,0,"上京してくるのは、
ただ聖誕祭のためだけに来るわけではないのです。",[],"황도로 올라오는 건,
성탄제 때문만은 아닙니다."
0xE23F,57919,158,0,"それがなくとも、もともとこの時期になると有力者達は、
跡継ぎなどを帝都へ送る仕来りになってたです。",[],"그게 없어도 원래 이 시기가 되면 유력자들이
후계자 같은 이들을 황도로 보내는 관례가 있었어요."
0xE39A,58266,88,0,そして、何年かここで過ごさせ、様々なことを学ばせるのです。,[],"그리고 몇 년간 이곳에서 지내게 하며, 여러 가지를 배우게 하죠."
0xE489,58505,104,0,"高名な学士に弟子入りする者がいれば、
学徒となり勉学に励む者も。",[],"명망 높은 학자에게 사사하는 이도 있고,
학도가 되어 학문에 힘쓰는 이도 있습니다."
0xE59A,58778,98,0,"武に秀でた者は軍属になり、
名のある者の舎弟となる道もあるのです。",[],"무예가 뛰어난 이는 군에 들어가고,
이름난 이의 수하가 되는 길도 있어요."
0xE69E,59038,73,0,そうなんですか……皆さんすごいのですね……,[],그렇군요…… 다들 대단하네요……
0xE735,59189,64,0,あの……ルルティエさまもそうなのですけど。,[],저기…… 루루티에 님도 그렇지만요.
0xE7EC,59372,16,0,えっ……？,[],엣……？
0xE80D,59405,61,0,びっくりした様子でルルティエは聞き返す。,[],놀란 듯 루루티에가 되묻는다.
0xE888,59528,61,0,……あの、もしかして知らなかったですか。,[],"……저기, 혹시 몰랐나요?"
0xE906,59654,104,0,"わたしは……名代として、
帝に献上品を届けてきなさいとしか……",[],"저는…… 대리로
황제께 헌상품을 전해 오라는 말만……"
0xEA17,59927,125,0,"それは多分、ルルティエを不安にさせないよう、
親御さんが内緒にしてたんじゃないかな？",[],"아마 루루티에가 불안해하지 않게 하려고,
부모님이 일부러 숨기신 것 아닐까?"
0xEB4D,60237,10,0,あ……,[],아……
0xEB67,60263,49,0,言われると、そんな感じがするな。,[],듣고 보니 그런 것 같네.
0xEC0E,60430,91,0,ルルティエの話だと、とても子煩悩な御方みたいだから。,[],루루티에 말로는 엄청 딸바보인 분 같으니까.
0xED2B,60715,55,0,それにしても、上手く考えられてるね。,[],"그나저나, 정말 잘 생각했네."
0xEDC5,60869,13,0,何がだ？,[],뭘?
0xEF3C,61244,137,0,"絶対的な富と権力を見せつけて叛意をへし折ること。
ここで散財させる事による富や文化の活性化。",[],"절대적인 부와 권력을 보여 줘 반항심을 꺾는 것.
여기서 돈을 쓰게 해서 부와 문화가 활기를 띠게 하는 것."
0xF0B4,61620,73,0,パッと思いつくだけで、これだけの利点があるかな。,[],당장 떠오르는 것만 해도 이런 이점이 있지.
0xF186,61830,86,0,"さすがは姉さまなのです。
この意味に気付いたですか。",[],"역시 누님이네요.
이 의미를 알아차리셨군요."
0xF32F,62255,46,0,いや、何故お前がドヤ顔なんだ。,[],"아니, 너는 왜 뿌듯한 얼굴인데."
0xF39B,62363,52,0,こっちだって、そのくらいは気付く。,[],나도 그 정도는 알아.
0xF417,62487,113,0,"他にも属国への牽制、散財させることによる弱体、
人質とかの意味もあるとかな。",[],"또 속국에 대한 견제라든가, 돈을 쓰게 해서 약화시키는 것,
인질 같은 의미도 있다더라."
0xF553,62803,10,0,ぁ……,[],아……
0xF58B,62859,7,0,ん？,[],응?
0xF59D,62877,46,0,敢えて言わなかったのに……,[],굳이 말 안 했는데……
0xF61D,63005,10,0,む……,[],으음……
0xF638,63032,10,0,へ……,[],헤……
0xF67E,63102,55,0,あ……い、いや、今のは何ていうか……,[],"아, 아뇨, 방금 건 뭐랄까……"
0xF728,63272,116,0,"いえ、わたしは気にしていませんから……
ハクさまもお気になさらないで下さい……",[],"아니에요, 전 신경 쓰지 않습니다……
하쿠 님도 마음에 두지 마세요……"
0xF824,63524,40,0,うぐ、逆に気を使わせた……,[],"으윽, 오히려 신경 쓰게 했네……"
0xF8AA,63658,85,0,そんな話をしていると、例の行列が目の前を通り過ぎていく。,[],"그런 이야기를 나누는 사이, 아까 그 행렬이 눈앞을 지나간다."
0xF982,63874,125,0,"しかし派手だな。　飾られた衣装に煌びやかな装飾。
楽を鳴らして歌って踊って……",[],"근데 화려하긴 하다. 꾸민 의상에 번쩍이는 장식.
음악 울리며 노래하고 춤추고……"
0xFABD,64189,37,0,まるで何かのお祭りだな。,[],완전 무슨 축제 같네.
0xFB21,64289,61,0,自分達がここに来た時とはずいぶん違うな。,[],우리가 여기 왔을 때랑은 분위기가 꽤 다르다.
0xFD2A,64810,107,0,"まぁ、あんな格好をして、
歌って踊りながら練り歩けって言われても困るが。",[],"뭐, 저런 차림을 하고
노래하며 춤추면서 행진하라 하면 곤란하긴 하겠지만."
0xFE4F,65103,137,0,"権力の誇示と名を知らしめる為に、
こうして豪華な飾り付けをして派手に練り歩く家が多いのです。",[],"권력을 과시하고 이름을 알리기 위해
이렇게 호화롭게 꾸미고 요란하게 행진하는 집이 많습니다."
0x100C0,65728,70,0,貴族や豪族達が力を誇示する絶好の機会だからね。,[],귀족이나 호족들이 힘을 과시하기 딱 좋은 기회니까.
0x10612,67090,128,0,"成程ね、ネコネとしては、
こういったギラギラしたのはあまり趣味じゃ無いのか。",[],"그렇구나, 네코네는
저런 번쩍번쩍한 건 취향이 아닌가 보네."
0x10724,67364,76,0,まあ、騒がしいのは苦手そうだから判らんでもないが。,[],"뭐, 시끄러운 걸 싫어하는 것 같으니 이해 못 할 것도 없지."
0x10805,67589,107,0,"しばらくその豪華な行列を眺めていると、
その後から次の行列がやってきた。",[],"한동안 그 호화로운 행렬을 바라보고 있자,
뒤이어 다음 행렬이 다가왔다."
0x1091A,67866,58,0,…………今度のはまた、えらく地味だな。,[],…………이번 건 또 엄청 수수하네.
0x10B11,68369,166,0,ルルティエと運んできた荷車は、派手ではなかったが細かな模様や綺麗な彩色がほどこされていた、品の良いものだった。,[],"루루티에가 가져온 짐수레는 화려하진 않았지만, 섬세한 무늬와 고운 채색이 들어간 품 좋은 물건이었다."
0x110BC,69820,55,0,じゃあ、あのくらい質素なのが好みか？,[],그럼 저 정도로 소박한 게 취향이야?
0x1115A,69978,10,0,ぅ……,[],으……
0x11176,70006,91,0,何故かネコネは、恥ずかしそうにその行列から目を背ける。,[],어째선지 네코네는 부끄러운 듯 행렬에서 시선을 돌린다.
0x11248,70216,28,0,『ネコネさ～ん！』,[],『네코네 씨~!』
0x11285,70277,82,0,不意にどこからか、ネコネの名前を呼ぶ声が聞こえてきた。,[],불쑥 어디선가 네코네의 이름을 부르는 소리가 들려왔다.
0x11364,70500,116,0,"周囲を見回すと、あの地味すぎる車から少年が顔を出し、
こちらに手を振っていた。",[],"주위를 둘러보니, 저 너무 수수한 수레에서 한 소년이 얼굴을 내밀고
이쪽을 향해 손을 흔들고 있었다."
0x1149D,70813,37,0,もしかして、お知り合い？,[],혹시 아는 사이?
0x114E9,70889,13,0,むぅ……,[],으으……
0x11507,70919,64,0,それを見てネコネが少しばかり眉をしかめる。,[],그걸 보자 네코네가 살짝 눈썹을 찌푸린다.
0x11592,71058,85,0,その少年はわざわざ車を降りると、こちらに駆け寄ってきた。,[],"소년은 일부러 수레에서 내려, 이쪽으로 달려왔다."
0x1165D,71261,139,0,お久しぶりですネコネさん。　嬉しいなぁ、まさか帝都に着いたと同時にネコネさんに会えるなんて。,[],"오랜만입니다, 네코네 씨. 기쁘네요. 설마 황도에 도착하자마자 네코네 씨를 만나게 될 줄은."
0x117AF,71599,25,0,……どうもです。,[],……안녕하세요.
0x117E2,71650,82,0,お元気そうでなによりです、その後お変わりありませんか？,[],건강해 보이셔서 다행입니다. 그 뒤로 별일은 없으셨나요?
0x118AF,71855,19,0,ええ、特に。,[],"네, 딱히요."
0x118E6,71910,122,0,"少年は親しげな口ぶりでネコネに話しかけるが、
ネコネの返事は素っ気ないものだった。",[],"소년은 친근한 말투로 네코네에게 말을 걸었지만,
네코네의 대답은 퍽 무심했다."
0x11A0B,72203,141,0,"結構あからさまな態度なのだが、
少年はそれに気付いた様子は無く、
嬉しそうな笑顔を浮かべている。",[],"꽤 노골적인 태도인데도
소년은 눈치채지 못한 듯,
기쁜 미소를 짓고 있다."
0x11B54,72532,71,0,"知り合いか。
にしては、妙にネコネが刺々しいな。",[],"아는 사이인가.
그런데 네코네가 유난히 날이 서 있네."
0x11C0F,72719,116,0,"見た目はいかにも人の良さそうな少年って感じだ。
嫌われそうには見えないんだが。",[],"겉보기엔 정말 순해 보이는 소년이다.
미움받을 타입으로는 안 보이는데."
0x11D26,72998,125,0,"それどころか美形とも言っていい、やわらかな容姿だ。
その手の年上にはさぞモテそうだ。",[],"오히려 미남이라 해도 될 만큼, 부드러운 인상이다.
그런 타입이니 연상한테도 꽤 인기 있겠지."
0x11E85,73349,77,0,"紹介しますです。
この方はキウルという同郷の者です。",[],"소개하겠습니다.
이쪽은 고향 사람인 키우루입니다."
0x11F43,73539,125,0,"ネコネの簡潔な紹介に少年は少し残念そうな顔を浮かべ、
微苦笑しつつ自分達へ礼をした。",[],"네코네의 간단한 소개에 소년은 조금 아쉬운 얼굴을 짓더니,
쓴웃음을 띠며 우리에게 예를 갖추었다."
0x1209B,73883,165,0,"ネコネさんのお知り合いの方ですか？
申し遅れました、私はエンナカムイのキウルと申します。
よろしくお願いします。",[],"네코네 씨의 지인이신가요?
늦었지만 소개드리겠습니다. 저는 엔나카무이의 키우루라고 합니다.
잘 부탁드립니다."
0x12225,74277,67,0,初めましてクオンです、よろしくお願いします。,[],"처음 뵙겠습니다, 쿠온입니다. 잘 부탁드려요."
0x122BE,74430,100,0,姉さまは薬師をなさっている、とても聡明な方なのです。,[],"누님은 약사이시고, 아주 총명하신 분입니다."
0x1239B,74651,94,0,そうですか、薬師様でしたか……え？　姉……さま？,[],"그렇군요, 약사님이셨군요…… 네? 누……누님?"
0x1246E,74862,113,0,"本当の姉さまではないのです。
姉さまとお慕いしている方なのです。",[],"진짜 누님은 아닙니다.
누님처럼 모시는 분입니다."
0x1257D,75133,104,0,"そ、そうですよね、吃驚した。
でも、ネコネさんが……ですか。",[],"그, 그렇죠. 깜짝 놀랐어요.
그런데 네코네 씨가……인가요."
0x12680,75392,43,0,少年がチラリとクオンを見る。,[],소년이 힐끗 쿠온을 본다.
0x126E5,75493,122,0,"その視線にクオンが少年に微笑み返すと、
少年は見惚れたかのように呆けていた。",[],"그 시선을 받은 쿠온이 소년에게 미소로 답하자,
소년은 넋을 잃은 듯 멍해졌다."
0x127EB,75755,22,0,…………ハッ？,[],…………응?
0x12817,75799,79,0,が、しばらくして我に返ったのか、慌てて視線をそらす。,[],"하지만 이내 정신을 차렸는지, 허둥지둥 시선을 피한다."
0x128DA,75994,112,0,成程、猫をかぶった穏やかな佇まいのクオンに見惚れていたか。,[],그렇군. 얌전한 척한 채 온화하게 서 있는 쿠온에게 홀린 거였나.
0x129D1,76241,122,0,"だがその外面に騙されるな。
ソレは、お前が思っているようなモノでは{{LOCK_AT_DASH}}","[""{{LOCK_AT_DASH}}""]","하지만 그 겉모습에 속지 마.
그건 네가 생각하는 것 같은 사람이{{LOCK_AT_DASH}}"
0x12AD7,76503,16,0,ふゴッ！？,[],후걱!?
0x12AFB,76539,97,0,何故かクオンに肘撃ちを喰らい、ネコネに臑を蹴られた。,[],"왜인지 쿠온의 팔꿈치가 날아오고, 네코네에게 정강이를 걷어차였다."
0x12C08,76808,110,0,"こちらの方がルルティエさまです。
わけあって、ご一緒していただいてるです。",[],"이쪽 분은 루루티에 님입니다.
사정이 있어서 함께하고 있는 겁니다."
0x12D01,77057,101,0,"あ……その、クジュウリのルルティエです……
よろしくお願いします……",[],"아…… 그, 쿠쥬우리의 루루티에입니다……
잘 부탁드립니다……"
0x12E01,77313,73,0,クジュウリ……ルルティエ……様？　もしかして……,[],쿠쥬우리…… 루루티에…… 님? 혹시……
0x12F97,77719,91,0,あの……エンナカムイのキウルさまということは、もしかして……,[],"저기…… 엔나카무이의 키우루 님이라면, 혹시……"
0x13077,77943,52,0,え、ええと……やっぱりそちらも……,[],"어, 그러니까…… 역시 그쪽도……"
0x1313F,78143,43,0,よ、よろしくお願いします……,[],"요, 잘 부탁드립니다……"
0x131A0,78240,64,0,い、いえ、こちらこそよろしくお願いします。,[],"아, 아니요, 저야말로 잘 부탁드립니다."
0x13225,78373,82,0,何だ？　何か妙な空気が……っと、次の紹介は自分の番か。,[],뭐지? 뭔가 묘한 분위긴데…… 그럼 다음 소개는 내 차례인가.
0x13305,78597,40,0,姿勢を正して挨拶に備える。,[],자세를 고쳐 잡고 인사할 준비를 한다.
0x133C1,78785,37,0,このヒトはハクなのです。,[],이쪽은 하쿠입니다.
0x1340A,78858,22,0,……以上です。,[],……이상입니다.
0x13420,78880,16,0,……以上。,[],……이상.
0x13440,78912,13,0,……え？,[],……응?
0x1345F,78943,56,0,"おい、短すぎだろ。
何でそこで止める。",[],"야, 너무 짧잖아.
왜 거기서 끝내."
