section,index,id_hex,off1,off2,off3,off4,text1,text2,text3,text4
0,13,174240F8,7084,7084,7097,7098,"是這回事
嗎。因為是他的事，我沒有認真在聽。","是這回事
嗎。因為是他的事，我沒有認真在聽。",嗎。因為是他的事，我沒有認真在聽。,\x97\x8E。因為是他的事，我沒有認真在聽。
0,14,7F1DA397,7100,7100,7119,7120,。因為是他的事，我沒有認真在聽。,。因為是他的事，我沒有認真在聽。,\xBA\x8B，我沒有認真在聽。,\x8B，我沒有認真在聽。
0,15,2D482188,7122,7122,7156,7157,\xBC\x8C我沒有認真在聽。,\xBC\x8C我沒有認真在聽。," think of it, what was it that
Maroro was supposed to do, again?
I wasn't paying attention...","think of it, what was it that
Maroro was supposed to do, again?
I wasn't paying attention..."
0,16,35392A4E,7159,7159,7229,7230,"ink of it, what was it that
Maroro was supposed to do, again?
I wasn't paying attention...","ink of it, what was it that
Maroro was supposed to do, again?
I wasn't paying attention...", paying attention...,paying attention...
0,17,FE65F9EB,7232,7232,7260,7261,ying attention...,ying attention...,\x81\x9Dんなことより、呪法？,\x9Dんなことより、呪法？
0,18,E1F8DAFF,7263,7263,7348,7349,\x82\x93なことより、呪法？,\x82\x93なことより、呪法？,?,
0,19,2AA4095A,7351,7351,7406,7407,\x81\xBEさかそんな魔法みたいなことが出来るはずが……,\x81\xBEさかそんな魔法みたいなことが出来るはずが……,\xAFずが……,ずが……
0,20,D9AF58CE,7409,7409,7443,7468,\x9Aが……,\x9Aが……,\xAE像魔法一樣的事……,…
0,21,FCFDEA47,7498,7498,7517,7536, he can just..., he can just...,ょほぉ#@－－#んっ！！,\x82\x93っ！！
0,22,9467F9C5,7544,7544,7581,7609,！,！,\x80\xA6,\x97ゃ、よくやった！
0,23,B1354B4C,7647,7647,7660,7673,好！,好！,ll done!,\x80\x81後は任せたでおじゃる。もうヘトヘトでおじゃるよ……
0,24,4063F999,7677,7677,7696,7712,\x8Cは任せたでおじゃる。もうヘトヘトでおじゃるよ……,\x8Cは任せたでおじゃる。もうヘトヘトでおじゃるよ……,じゃる。もうヘトヘトでおじゃるよ……,\x81\x86ヘトヘトでおじゃるよ……
0,25,8B3F2A3C,7723,7723,7790,7842,トでおじゃるよ……,トでおじゃるよ……,\x82已經累到站不起來了是也……,", o friends, allies, my beleaguered soul
leaveth unto you. This labor hath sapped my spirit."
0,26,3A17590B,7889,7889,7917,7942,h unto you. This labor hath sapped my spirit.,h unto you. This labor hath sapped my spirit.,sapped my spirit.,\x81\xAB……魔法だと……？
0,27,F14B8AAE,7978,7978,8073,8137,真的是……魔法……？,真的是……魔法……？,\x82\x8Bぞ！　続けぇ！！,"\x8E\x89哦！
接著上！！"
0,28,D010C062,8236,8236,8355,8431,\x81\x89ぉぉぉぉぉぉぉッ！！,\x81\x89ぉぉぉぉぉぉぉッ！！,\x97>達も行こっか。,\x82あ……
0,29,F54272EB,8523,8523,8554,8576,\x81今はこっちに集中だ。,\x81今はこっちに集中だ。,,想吐槽的地方，現在先集中精神。
0,30,0124E766,8613,8613,8647,8669,\xB2\xBE神。,\xB2\xBE神。,"rmation to unpack
here, but I guess there are more important
things first.",", but I guess there are more important
things first."
0,31,729F1591,8703,8703,8819,8901,"tant
things first.","tant
things first.",\xA1、ハァ……ゼェ、そ、そうか……,\xA6…
0,32,CA7834C3,8991,8991,9116,9216,\x82\x93でな,\x82\x93でな,\x83\xA1ェ等、仕留めた獲物を回収するぞ！　大事な金ヅルだ、取り残すんじゃねぇぞ！,\xADぇぞ！
0,33,4B818274,9292,9292,9326,9357,\x90\xABみつつ男達が応える。,\x90\xABみつつ男達が応える。,-,\x93ろか、大きな怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか
0,34,19D4006B,9375,9375,9400,9413,\xAA怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,\xAA怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,もいないようだ。さすがは手練れ揃いというところか,\x82\x88うだ。さすがは手練れ揃いというところか
0,35,718BE304,9438,9438,9478,9518,\x8B練れ揃いというところか,\x8B練れ揃いというところか,\x8Fク、左腕を見せて,\x81\xB4に来ていたクオンが、そっと手を取ってくる。
0,36,23DE611B,9560,9560,9691,9794,\x89\x8Bを取ってくる。,\x89\x8Bを取ってくる。,ったか、どこかに引っかけたのか、痛みがなかったのでクオンに手を取られるまで気付かなかった。,\x82\x8Bまで気付かなかった。
0,37,3BAF6ADD,9887,9887,9897,9907,\xA1く傷口に唇をあて、そこから血を吸い出し始めた。,\xA1く傷口に唇をあて、そこから血を吸い出し始めた。,に唇をあて、そこから血を吸い出し始めた。,\x81\x82て、そこから血を吸い出し始めた。
0,38,69FAE8C2,9918,9918,10022,10132,こから血を吸い出し始めた。,こから血を吸い出し始めた。,,
0,39,710A0FCF,10252,10252,10325,10380,のイヤな予感……,のイヤな予感……,ゥゥゥゥゥゥゥゥゥ#@－－#,だだだだッ！？
0,40,5335795F,10462,10462,10523,10557,\x8Dで声を上げては駄目だよ,\x8Dで声を上げては駄目だよ,\xBEにわざとだろ,\xB9難を他所に、クオンは手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。
0,41,A03E28CB,10587,10587,10736,10873,\xAF手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。,\xAF手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。,－－#,\x82\xAAンの笑顔にその気も失せた
0,42,6B62FB6E,10974,10974,11017,11057,\xA6いたから。,\xA6いたから。,\x92,\xAFオンに差し出す。
0,43,EDF689C0,11074,11074,11144,11196,\x87\xBAす。,\x87\xBAす。,いよ。それはまだ、ハクが持ってて,うん？
0,44,21C79E7C,11238,11238,11272,11288,\xBFだろうし、もう少しハクに預けておくね,\xBFだろうし、もう少しハクに預けておくね,に預けておくね,\x81\x8Fね
0,45,D7FCE8B0,11298,11298,11308,11318,\x81\x84いのか？　大切な物なんだろう,\x81\x84いのか？　大切な物なんだろう,\x8B？　大切な物なんだろう,切な物なんだろう
0,46,F2AE5A39,11325,11325,11359,11378,\x89\xA9なんだろう,\x89\xA9なんだろう,\x81\xA3ても大切なものかな。とっても、とってもね……,\x82のかな。とっても、とってもね……
0,47,F965904A,11393,11393,11475,11555,\xA8っても、とってもね……,\xA8っても、とってもね……,\x92何でまた……,クが持ってて
0,48,355487F6,11659,11659,11696,11733,ん。貸すだけだから、何時かちゃんと返してもらうから,ん。貸すだけだから、何時かちゃんと返してもらうから,\x81\x8Bちゃんと返してもらうから,\x89
0,49,5DCE9474,11754,11754,11824,11886,\xAE\xBF、マロの呪法を見てくれたでおじゃるか！？,\xAE\xBF、マロの呪法を見てくれたでおじゃるか！？,\x80\xA6…,\xAAんてチョチョイのチョイでおじゃるよ
0,50,DF531E9F,11947,11947,11993,12030,\xB1したせいか、妙に懐かれたな。この男に別に<含:ふく>むものは無いが、こうも纏わり付かれると少々うっとうしい,\xB1したせいか、妙に懐かれたな。この男に別に<含:ふく>むものは無いが、こうも纏わり付かれると少々うっとうしい,の男に別に<含:ふく>むものは無いが、こうも纏わり付かれると少々うっとうしい,\x81\xAF無いが、こうも纏わり付かれると少々うっとうしい
0,51,FC9047FF,12045,12045,12103,12128,\x81\x93うも纏わり付かれると少々うっとうしい,\x81\x93うも纏わり付かれると少々うっとうしい,-,\xA1ゃん。やけに不安がってたが、大したこと無かったろ？
0,52,AEC5C5E0,12147,12147,12166,12182,不安がってたが、大したこと無かったろ？,不安がってたが、大したこと無かったろ？,\x81\x8C、大したこと無かったろ？,\x93と無かったろ？
0,53,2851B74E,12197,12197,12279,12346,\x9Fろ？,\x9Fろ？,\x81\x9C、ついコッチまで不安になっちまったじゃねぇか,\x8B
0,54,80E5B59E,12446,12446,12492,12493,や、あれは……何て言うか、勘違いというかな,や、あれは……何て言うか、勘違いというかな,\x81\x84というかな,\x84というかな
0,55,A5B70717,12495,12495,12535,12536,\x81\xA8いうかな,\x81\xA8いうかな,前に、アレよりもっともっとデカイ奴に襲われたんだ。まぁ、その時は間一髪で助かったが,\x89\x8Dに、アレよりもっともっとデカイ奴に襲われたんだ。まぁ、その時は間一髪で助かったが
0,56,CD2D1495,12538,12538,12590,12591,に、アレよりもっともっとデカイ奴に襲われたんだ。まぁ、その時は間一髪で助かったが,に、アレよりもっともっとデカイ奴に襲われたんだ。まぁ、その時は間一髪で助かったが,\xA5\xB2われたんだ。まぁ、その時は間一髪で助かったが,\xB2われたんだ。まぁ、その時は間一髪で助かったが
0,57,0671C730,12593,12593,12630,12631,\x82\x8Fれたんだ。まぁ、その時は間一髪で助かったが,\x82\x8Fれたんだ。まぁ、その時は間一髪で助かったが,\xAF間一髪で助かったが,間一髪で助かったが
0,58,F57A96A4,12633,12633,12724,12725,\x93一髪で助かったが,\x93一髪で助かったが,\x82\x93なヤツ等だと知ってたら、ここまで慎重にはならかった#@－－#,\x93なヤツ等だと知ってたら、ここまで慎重にはならかった#@－－#
0,59,3E264501,12727,12727,12818,12819,\x81\xAAヤツ等だと知ってたら、ここまで慎重にはならかった#@－－#,\x81\xAAヤツ等だと知ってたら、ここまで慎重にはならかった#@－－#,\x80\xA6ん？　何か急に空気が変わった？,\xA6ん？　何か急に空気が変わった？
0,60,B8B237AF,12821,12821,12951,12952,\x82\x93？　何か急に空気が変わった？,\x82\x93？　何か急に空気が変わった？,,あ、ああ、同じような外見でもっと巨大なヤツだが……
0,61,3A2FBD44,12954,12954,12976,12977,\x82、ああ、同じような外見でもっと巨大なヤツだが……,\x82、ああ、同じような外見でもっと巨大なヤツだが……,うな外見でもっと巨大なヤツだが……,\x81\x86な外見でもっと巨大なヤツだが……
0,62,6B8424D0,12979,12979,13049,13050,な外見でもっと巨大なヤツだが……,な外見でもっと巨大なヤツだが……,胴が甲羅の様に硬そうじゃなかったか？,\x83\xB4が甲羅の様に硬そうじゃなかったか？
0,63,6CB637F3,13052,13052,13197,13198,が甲羅の様に硬そうじゃなかったか？,が甲羅の様に硬そうじゃなかったか？,\x86な？　うん、いかにも硬そうに見えたな,な？　うん、いかにも硬そうに見えたな
0,64,3EE3B5EC,13200,13200,13228,13229,\xAA？　うん、いかにも硬そうに見えたな,\xAA？　うん、いかにも硬そうに見えたな,硬そうに見えたな,\xA1\xACそうに見えたな
0,65,2692BE2A,13231,13231,13238,13239,そうに見えたな,そうに見えたな,\x81\xAB見えたな,\xAB見えたな
0,66,40A97713,13241,13241,13308,13309,\xA6\x8Bえたな,\xA6\x8Bえたな,\x81\xA0がなぁ,\xA0がなぁ
0,67,EDCE6D8F,13311,13311,13333,13334,\x81\x8Cなぁ,\x81\x8Cなぁ,\x80\x80だとしたらヤベエぞ#@－－#,\x80だとしたらヤベエぞ#@－－#
0,68,59B24652,13336,13336,13400,13401,\x81\xA0としたらヤベエぞ#@－－#,\x81\xA0としたらヤベエぞ#@－－#,\x81\xAE……,\xAE……
0,69,16F3D095,13403,13403,13551,13552,\x80\xA6…,\x80\xA6…,EEEEEE!?,EEEEE!?
0,70,F2534E9B,13554,13554,13573,13574,EEE!?,EEE!?,"\x81\xA8だった。
藪の中から巨大な何かが飛び出し、
近くにいた男の前で巨大な<鋏:ハサミ>のようなモノが交差する。","\xA8だった。
藪の中から巨大な何かが飛び出し、
近くにいた男の前で巨大な<鋏:ハサミ>のようなモノが交差する。"
0,71,0FE8E1D4,13576,13576,13682,13683,"\x81\xA0った。
藪の中から巨大な何かが飛び出し、
近くにいた男の前で巨大な<鋏:ハサミ>のようなモノが交差する。","\x81\xA0った。
藪の中から巨大な何かが飛び出し、
近くにいた男の前で巨大な<鋏:ハサミ>のようなモノが交差する。",\x82\xB5ミ>のようなモノが交差する。,\xB5ミ>のようなモノが交差する。
0,72,390F9D3E,13685,13685,13710,13711,\x83\x9F>のようなモノが交差する。,\x83\x9F>のようなモノが交差する。,\xBA\xA4差する。,\xA4差する。
0,73,BD03FC3C,13713,13713,13747,13748,\xB7\xAEする。,\xB7\xAEする。,\xB8\x80瞬間。從草叢中突然竄出某種巨大的東西，落在附近的男人面前，巨大剪刀相互交叉。,\x80瞬間。從草叢中突然竄出某種巨大的東西，落在附近的男人面前，巨大剪刀相互交叉。
0,74,EF567E23,13750,13750,13817,13818,\x9E\xAC間。從草叢中突然竄出某種巨大的東西，落在附近的男人面前，巨大剪刀相互交叉。,\x9E\xAC間。從草叢中突然竄出某種巨大的東西，落在附近的男人面前，巨大剪刀相互交叉。,\x91的男人面前，巨大剪刀相互交叉。,的男人面前，巨大剪刀相互交叉。
0,75,F0CB5D37,13820,13820,13854,13855,\x84男人面前，巨大剪刀相互交叉。,\x84男人面前，巨大剪刀相互交叉。,交叉。,\xBA\xA4叉。
0,76,A29EDF28,13857,13857,13870,13871,叉。,叉。,"it happens before I can blink.
A massive shape bursts from the
bushes, scything toward us#@－－#","t happens before I can blink.
A massive shape bursts from the
bushes, scything toward us#@－－#"
0,77,24C5B217,13873,13873,13964,13965,"happens before I can blink.
A massive shape bursts from the
bushes, scything toward us#@－－#","happens before I can blink.
A massive shape bursts from the
bushes, scything toward us#@－－#",－#,\xBC\x8D#
0,78,CAC13C47,13967,13967,14001,14002,#,#,\x8B間も無く、ナニカが宙に舞い上がった。,間も無く、ナニカが宙に舞い上がった。
0,79,9894BE58,14004,14004,14086,14087,\x93も無く、ナニカが宙に舞い上がった。,\x93も無く、ナニカが宙に舞い上がった。,\x8A叫喚，有什麼東西飛到了半空中。,叫喚，有什麼東西飛到了半空中。
0,80,177AA4B7,14089,14089,14126,14127,\xAB喚，有什麼東西飛到了半空中。,\xAB喚，有什麼東西飛到了半空中。,中。,\xB8\xAD。
0,81,452F26A8,14129,14129,14142,14143,。,。,"'t any time to react as it blurs
past a man nearby, sending something
flying up into the air.","t any time to react as it blurs
past a man nearby, sending something
flying up into the air."
0,82,C3BB5406,14145,14145,14221,14222,"any time to react as it blurs
past a man nearby, sending something
flying up into the air.","any time to react as it blurs
past a man nearby, sending something
flying up into the air.", into the air.,into the air.
0,83,91EED619,14224,14224,14267,14268,to the air.,to the air.,\x81\x81ぁぁぁぁぁぁぁぁぁぁぁぁッ！！,\x81ぁぁぁぁぁぁぁぁぁぁぁぁッ！！
0,84,3DDE8356,14270,14270,14400,14401,\x81\x81ぁぁぁぁぁぁぁぁぁぁぁッ！！,\x81\x81ぁぁぁぁぁぁぁぁぁぁぁッ！！,AAAHH!!,AAHH!!
0,85,15E2B71B,14403,14403,14449,14450,HH!!,HH!!,\x8D#,#
0,86,47B73504,14452,14452,14468,14469,うわっ、小さいのも来るぞ！！,うわっ、小さいのも来るぞ！！,\x81\x95いのも来るぞ！！,\x95いのも来るぞ！！
0,87,BA469F99,14471,14471,14541,14542,\x81\x84のも来るぞ！！,\x81\x84のも来るぞ！！,"e are more little ones coming, too!"," are more little ones coming, too!"
0,88,582A1610,14544,14544,14554,14555,"re more little ones coming, too!","re more little ones coming, too!","ttle ones coming, too!","tle ones coming, too!"
0,89,A35DAED8,14557,14557,14636,14637,"e ones coming, too!","e ones coming, too!",t's happening?,'s happening?
0,90,735D7FA6,14639,14639,14715,14716, happening?, happening?,斉にかかるぞ！！,\x96\x89にかかるぞ！！
0,91,0A7F940F,14718,14718,14743,14744,にかかるぞ！！,にかかるぞ！！,開距離！重整架式，全員一起上！！,\x96\x8B距離！重整架式，全員一起上！！
0,92,6A464EE7,14746,14746,14807,14808,距離！重整架式，全員一起上！！,距離！重整架式，全員一起上！！,"nce! Fall back and
regroup#@－－#
we'll attack it all at once!","ce! Fall back and
regroup#@－－#
we'll attack it all at once!"
0,93,FB2926DA,14810,14810,14856,14857,"! Fall back and
regroup#@－－#
we'll attack it all at once!","! Fall back and
regroup#@－－#
we'll attack it all at once!",it all at once!,t all at once!
0,94,A97CA4C5,14859,14859,14917,14918,all at once!,all at once!,武器を取る。,\xAD\xA6器を取る。
0,95,B10DAF03,14920,14920,14930,14931,器を取る。,器を取る。,\x82\x8B。,\x8B。
0,96,E3582D1C,14933,14933,15018,15019,\x80\x82,\x80\x82,"y take up arms
at Ukon's command..."," take up arms
at Ukon's command..."
0,97,FCC50E08,15021,15021,15067,15068,"ake up arms
at Ukon's command...","ake up arms
at Ukon's command...","\x8D#、
辺りから次から次へとギギリが這いでてきた。","#、
辺りから次から次へとギギリが這いでてきた。"
0,98,AE908C17,15070,15070,15152,15153,"\x80\x81
辺りから次から次へとギギリが這いでてきた。","\x80\x81
辺りから次から次へとギギリが這いでてきた。",奇奇利卻從一旁接連不斷湧過來。,\xA5\x87奇利卻從一旁接連不斷湧過來。
0,99,2A9CED15,15155,15155,15219,15220,奇利卻從一旁接連不斷湧過來。,奇利卻從一旁接連不斷湧過來。,"iri swarm out of
the shadows nearby, pouring forth in
a ceaseless horde.","ri swarm out of
the shadows nearby, pouring forth in
a ceaseless horde."
0,100,78C96F0A,15222,15222,15298,15299," swarm out of
the shadows nearby, pouring forth in
a ceaseless horde."," swarm out of
the shadows nearby, pouring forth in
a ceaseless horde.",気をつけろ、コイツ等#@－－#ガァァァッ！？,\xB0\x97をつけろ、コイツ等#@－－#ガァァァッ！？
0,101,67544C1E,15301,15301,15377,15378,をつけろ、コイツ等#@－－#ガァァァッ！？,をつけろ、コイツ等#@－－#ガァァァッ！？,牠們來了啊#@－－#啊啊啊！？,\x89\xA0們來了啊#@－－#啊啊啊！？
0,102,3501CE01,15380,15380,15459,15460,們來了啊#@－－#啊啊啊！？,們來了啊#@－－#啊啊啊！？,"皆:みんな>が武器を構える余裕もなく、
追い回され、襲われていく。","\x9A\x86:みんな>が武器を構える余裕もなく、
追い回され、襲われていく。"
0,103,5A33E977,15462,15462,15541,15542,":みんな>が武器を構える余裕もなく、
追い回され、襲われていく。",":みんな>が武器を構える余裕もなく、
追い回され、襲われていく。",\x81\xA6いく。,\xA6いく。
0,104,9602FECB,15544,15544,15554,15555,\x81\x84く。,\x81\x84く。,\xA4\xA7家連拿起武器的時間都沒有，就被四處追著跑，受到襲擊。,\xA7家連拿起武器的時間都沒有，就被四處追著跑，受到襲擊。
0,105,73C75594,15557,15557,15663,15664,\xAE\xB6連拿起武器的時間都沒有，就被四處追著跑，受到襲擊。,\xAE\xB6連拿起武器的時間都沒有，就被四處追著跑，受到襲擊。,"r weapons,
the gigiri lay into Ukon's men with
a vengeance."," weapons,
the gigiri lay into Ukon's men with
a vengeance."
0,106,BFF64228,15666,15666,15826,15827,"eapons,
the gigiri lay into Ukon's men with
a vengeance.","eapons,
the gigiri lay into Ukon's men with
a vengeance.",歉，得救了……,\xAD\x89，得救了……
0,107,D76C51AA,15829,15829,15929,15930,，得救了……,，得救了……,った。ハクが言ってたのはアレだったんだ……,\x81\xA3た。ハクが言ってたのはアレだったんだ……
0,108,416B1D24,15932,15932,15990,15991,た。ハクが言ってたのはアレだったんだ……,た。ハクが言ってたのはアレだったんだ……,\x80\xA6,\xA6
0,109,55F1DB41,15993,15993,16072,16073,唉……我還在想彼此的想法有點對不上。哈克原來是指那種生物啊……,唉……我還在想彼此的想法有點對不上。哈克原來是指那種生物啊……,\x94\x9F物啊……,\x9F物啊……
0,110,48F4EBF9,16075,16075,16115,16116,\x89\xA9啊……,\x89\xA9啊……,"r stories weren't
meshing. You were talking about this thing..."," stories weren't
meshing. You were talking about this thing..."
0,111,58702C65,16118,16118,16164,16165,"tories weren't
meshing. You were talking about this thing...","tories weren't
meshing. You were talking about this thing...", this thing...,this thing...
0,112,2467003E,16167,16167,16234,16235,is thing...,is thing...,\x81\xAEか？,\xAEか？
0,113,4CFD13BC,16237,16237,16250,16251,\x81\x8B？,\x81\x8B？,\xBC\x99應該……很不妙吧？,\x99應該……很不妙吧？
0,114,69AFA135,16253,16253,16383,16384,\x87\x89該……很不妙吧？,\x87\x89該……很不妙吧？,,"テメェ等、一旦退くぞっ！！
まだ無事な奴は、動けない奴を担いで逃げろ！！
今すぐにだ！！"
0,115,98F913E0,16386,16386,16441,16442,"\x86メェ等、一旦退くぞっ！！
まだ無事な奴は、動けない奴を担いで逃げろ！！
今すぐにだ！！","\x86メェ等、一旦退くぞっ！！
まだ無事な奴は、動けない奴を担いで逃げろ！！
今すぐにだ！！","\xB4は、動けない奴を担いで逃げろ！！
今すぐにだ！！","は、動けない奴を担いで逃げろ！！
今すぐにだ！！"
0,116,53A5C045,16444,16444,16535,16536,"\xAF、動けない奴を担いで逃げろ！！
今すぐにだ！！","\xAF、動けない奴を担いで逃げろ！！
今すぐにだ！！","\xB2\x92事的人趕快帶著無法動彈的人逃走！！
馬上逃離！！","\x92事的人趕快帶著無法動彈的人逃走！！
馬上逃離！！"
0,117,D2DD9A39,16538,16538,16590,16591,"\xBA\x8B的人趕快帶著無法動彈的人逃走！！
馬上逃離！！","\xBA\x8B的人趕快帶著無法動彈的人逃走！！
馬上逃離！！",\xA6\xAC上逃離！！,\xAC上逃離！！
0,118,F78F28B0,16593,16593,16618,16619,\xB8\x8A逃離！！,\xB8\x8A逃離！！,"
Carry the wounded if you can still stand!
MOVE!","Carry the wounded if you can still stand!
MOVE!"
0,119,711B5A1E,16621,16621,16673,16674,"rry the wounded if you can still stand!
MOVE!","rry the wounded if you can still stand!
MOVE!",とも何してる、早く逃げろ！,\x81\xA8も何してる、早く逃げろ！
0,120,5449E897,16676,16676,16752,16753,も何してる、早く逃げろ！,も何してる、早く逃げろ！,"u two! What are you doing, standing there like
that!? Get moving!"," two! What are you doing, standing there like
that!? Get moving!"
0,121,A742B903,16755,16755,16828,16829,"wo! What are you doing, standing there like
that!? Get moving!","wo! What are you doing, standing there like
that!? Get moving!",\x81\x82#@－－#,\x82#@－－#
0,122,82100B8A,16831,16831,16850,16851,@－－#,@－－#,@－－#,－－#
0,123,04847924,16853,16853,16977,16978,\x8D－#,\x8D－#,\xA6噫……嗚嗚……噫噫……,噫……嗚嗚……噫噫……
0,124,CFD8AA81,16980,16980,17044,17045,\xAB……嗚嗚……噫噫……,\xAB……嗚嗚……噫噫……,\x80\xA6………なっ！？　オイ、なに人の足にしがみついてんだ！！,\xA6………なっ！？　オイ、なに人の足にしがみついてんだ！！
0,125,D0807978,17047,17047,17096,17097,\x80\xA6……なっ！？　オイ、なに人の足にしがみついてんだ！！,\x80\xA6……なっ！？　オイ、なに人の足にしがみついてんだ！！,\xABしがみついてんだ！！,しがみついてんだ！！
0,126,F5D2CBF1,17099,17099,17133,17134,\x97がみついてんだ！！,\x97がみついてんだ！！,\xA6……什麼！？喂，你怎麼抱著別人的腳啊！！,……什麼！？喂，你怎麼抱著別人的腳啊！！
0,127,E45844BD,17136,17136,17146,17147,\xA6…什麼！？喂，你怎麼抱著別人的腳啊！！,\xA6…什麼！？喂，你怎麼抱著別人的腳啊！！,！？喂，你怎麼抱著別人的腳啊！！,\xBC\x81？喂，你怎麼抱著別人的腳啊！！
0,128,2F049718,17149,17149,17213,17268,？喂，你怎麼抱著別人的腳啊！！,？喂，你怎麼抱著別人的腳啊！！,e you clinging to my legs for!?,\x8Fわわ……
0,129,1731BAA2,17284,17284,17449,17588,\x9A哇哇……哇啊啊啊啊啊……,\x9A哇哇……哇啊啊啊啊啊……,-,\x81\x84てるから動けないんだ！　いいから立て！
0,130,0E2A8BE3,17693,17693,17781,17857,おじゃる、置いてかないでほしいでおじゃるぅぅぅ！！,おじゃる、置いてかないでほしいでおじゃるぅぅぅ！！,立てと言ってるだろうが、死にたいのか！！,れじゃあ身動きがとれん
0,131,093219CD,17960,17960,18039,18109,,,\x82らら、囲まれちゃったかな,\x8C、何か手立てがあるのか？
0,132,65A1F20A,18132,18132,18145,18158,\x81\x82るのか？,\x81\x82るのか？,\x9F,\xA6というか、<私:わたくし>だけ逃げるなら、どうとでもなるかなって
0,133,DF6BFAD0,18176,18176,18219,18256,\xA7\x81:わたくし>だけ逃げるなら、どうとでもなるかなって,\xA7\x81:わたくし>だけ逃げるなら、どうとでもなるかなって,うとでもなるかなって,オンだけなら？
0,134,B3F81117,18301,18301,18332,18357,くし>だけなら,くし>だけなら,\x81は？,\xB0っちゃったね
0,135,DB620295,18375,18375,18464,18516,\xAD,\xAD,\x82はは、大丈夫だよ。このくらいで見捨てるのなら、とっくに見限ってたってば,てるのなら、とっくに見限ってたってば
0,136,2507D820,18596,18596,18660,18718,\x81\x86したらいいかな……,\x81\x86したらいいかな……,ちっ、しょうがねぇ。気は進まねぇが……,
0,137,3C1CE961,18778,18778,18861,18922,。ここは俺がなんとかするから、他の連中を率いて、できるだけ遠くに離れてくれ。,。ここは俺がなんとかするから、他の連中を率いて、できるだけ遠くに離れてくれ。,\xA0け遠くに離れてくれ。,\x80\xA6ちょっと待ってほしいかな
0,138,59FF887E,19016,19016,19083,19141,\x81\x97ておきたかったけど,\x81\x97ておきたかったけど,\xA0\xB4口を作るから、合図をしたら一瞬だけ耳を塞いで目を閉じて,\x92塞いで目を閉じて
