"row_no","rep_id_hex","group_key","over_by_bytes","span_bytes","needed_bytes","ja_preview","kr_preview"
"148","","乙女の恋路の邪魔はさせない！ それがいい女というものだ！","30","83","113","乙女の恋路の邪魔はさせない！\nそれがいい女というものだ！","처녀의 사랑길을 방해하게 두진 않겠어!\n그게 바로 좋은 여자라는 거지!"
"479","","先手必勝。 即時回収します。","30","41","71","先手必勝。\n即時回収します。","선수를 치는 게 이기는 길.\n즉시 회수합니다."
"20","","ええ、さすがは姉上。 力任せの魅力に思わず見とれてしまいました。","28","95","123","ええ、さすがは姉上。\n力任せの魅力に思わず見とれてしまいました。","예, 역시 언니네요.\n힘으로 밀어붙이는 그 매력에 저도 모르게 넋을 잃었어요."
"377","","タタリを倒しきることは不可能かな。","28","52","80","タタリを倒しきることは不可能かな。","타타리를 완전히 쓰러뜨리는 건 불가능할지도 몰라."
"483","","そろそろ年貢の納め時かな？","28","40","68","そろそろ年貢の納め時かな？","슬슬 관두고 털어놓을 때가 된 거 아니야?"
"151","","彼らを捕らえた後…… ハクさんは、もう一仕事ありますね。","27","83","110","彼らを捕らえた後……\nハクさんは、もう一仕事ありますね。","그들을 붙잡은 뒤……\n하쿠 씨에겐, 아직 할 일이 하나 더 있겠네요."
"340","","まて！ 後詰の重兵が邪魔で退けぬわ！","27","53","80","まて！\n後詰の重兵が邪魔で退けぬわ！","멈춰라!\n후방의 중병이 막고 있어 물러설 수 없다!"
"43","","くっ、なにをやっておるのだ！？ ええい、逃げ戻るものに命は不要！！ 重兵！ つき進め！！","26","129","155","くっ、なにをやっておるのだ！？\nええい、逃げ戻るものに命は不要！！\n重兵！　つき進め！！","큭, 뭐 하는 것이냐!?\n에잇, 도망쳐 돌아오는 자에겐 목숨 따위 필요 없다!!\n중병! 밀고 나아가라!!"
"140","","詮索は後だ。 今はこのデカブツを倒すことに集中しないと……","26","86","112","詮索は後だ。\n今はこのデカブツを倒すことに集中しないと……","캐묻는 건 나중이다.\n지금은 이 괴물을 쓰러뜨리는 데 집중해야 해……"
"165","","既に死んでいる彼らを攻撃して、 倒せるのでしょうか！？","25","80","105","既に死んでいる彼らを攻撃して、\n倒せるのでしょうか！？","이미 죽어 있는 저들을 공격해서,\n정말 쓰러뜨릴 수 있는 건가요!?"
"209","","とびきりの酒でもおごって貰わねば、割に合わんな……","25","76","101","とびきりの酒でもおごって貰わねば、割に合わんな……","끝내주는 술이라도 한잔 사 주지 않으면, 본전이 안 맞겠군……"
"284","","莫迦ナ……！ アレヲ喰ラッテ動ケルダト！？","25","62","87","莫迦ナ……！\nアレヲ喰ラッテ動ケルダト！？","말도 안 돼……!\n저걸 맞고도 움직일 수 있단 말인가!?"
"627","","不勝喜悅。","25","16","41","不勝喜悅。","기쁨을 금치 못하겠습니다."
"627","","不勝喜悅。","25","16","41","不勝喜悅。","기쁨을 금치 못하겠습니다."
"637","","貓音小姐似乎很生氣呢……","25","37","62","貓音小姐似乎很生氣呢……","네코네 씨, 많이 화나신 모양이군요……"
"57","","あのクロウとかいう男、ヤバすぎるな…… 防御に自信の無い奴は下がった方がいい！","24","116","140","あのクロウとかいう男、ヤバすぎるな……\n防御に自信の無い奴は下がった方がいい！","저 크로우라는 남자, 너무 위험하군……\n방어에 자신 없는 녀석은 뒤로 빠지는 게 좋아!"
"73","","軟弱者の出る幕ではないわ！ か弱き女など、遠巻きでさえずっておればよい！","24","107","131","軟弱者の出る幕ではないわ！\nか弱き女など、遠巻きでさえずっておればよい！","연약한 자가 나설 판이 아니야!\n가냘픈 여자 따위는 멀찍이서 지저귀기나 하면 돼!"
"104","","小生もだ。 其方の武、しかとこの目に焼き付け、 勉強させて頂く所存。 よろしく頼む。","24","123","147","小生もだ。\n其方の武、しかとこの目に焼き付け、\n勉強させて頂く所存。　よろしく頼む。","소생도 그렇소.\n그대의 무공을 이 눈에 똑똑히 새기고,\n배움으로 삼을 생각이오. 잘 부탁하오."
"188","","闇雲に突っ込まれたら面倒だと思っただけなんだが……","24","76","100","闇雲に突っ込まれたら面倒だと思っただけなんだが……","아무 생각 없이 들이받으면 귀찮아질 거라 생각했을 뿐인데……"
"327","","雑魚は去れ！ 退かぬ者には死あるのみ。","24","56","80","雑魚は去れ！\n退かぬ者には死あるのみ。","잡것들은 물러가라!\n비키지 않는 자에겐 죽음뿐이다."
"476","","またウコンのムチャ振りか……","24","43","67","またウコンのムチャ振りか……","또 우콘이 말도 안 되는 요구를 했나……"
"46","","数多くの同胞が散った…… されど、この信念は未だ揺るぐことはない。","23","98","121","数多くの同胞が散った……\nされど、この信念は未だ揺るぐことはない。","수많은 동포가 흩어져 쓰러졌다……\n허나 이 신념만은 아직 흔들리지 않는다."
"110","","なんか釈然としないのです…… でも終わったら、ちゃんと屋敷に戻るのですよ！ 仕事も溜まっているですから！","23","153","176","なんか釈然としないのです……\nでも終わったら、ちゃんと屋敷に戻るのですよ！\n仕事も溜まっているですから！","뭔가 납득이 안 가는 거다냐모……\n그래도 끝나면, 제대로 저택으로 돌아가는거다냐모!\n일도 잔뜩 쌓여 있다…"
"270","","頼りない男を支えるのが、いい女というものだ。","23","67","90","頼りない男を支えるのが、いい女というものだ。","미덥지 못한 남자를 받쳐 주는 게, 좋은 여자라는 거지."
"314","","あぁ。 今日こそ引導を渡してやる……！","23","58","81","あぁ。　今日こそ引導を渡してやる……！","그래. 오늘이야말로 네놈들에게 끝장을 내 주마……!"
"685","","主人，有沒有受傷？","23","28","51","主人，有沒有受傷？","주인님, 다치신 데는 없으신가요?"
"133","","ミカヅチ殿、これでいく度目の手合わせか…… いつになく凄まじい気迫だ。 某、此度の戦いも負けられはせぬ！ いざ参れ！！","22","174","196","ミカヅチ殿、これでいく度目の手合わせか……\nいつになく凄まじい気迫だ。\n某、此度の戦いも負けられはせぬ！　いざ参れ！…","미카즈치 공, 이걸로 몇 번째 겨룸인가……\n오늘은 유난히 기세가 흉흉하군.\n나 또한 이번 싸움만큼은 질 …"
"265","","ガッハハハハッ！ 小娘の分際で我に挑むかッ！","22","65","87","ガッハハハハッ！\n小娘の分際で我に挑むかッ！","가하하하하!\n하찮은 꼬마 계집이 감히 나에게 덤비느냐!!"
"271","","今こそ鍛えた腕を見せる時だ！ 行くぞオウギ！","22","65","87","今こそ鍛えた腕を見せる時だ！\n行くぞオウギ！","지금이야말로 단련한 실력을 보여줄 때다!\n간다, 오우기!"
"519","","汝ハ……何故動ケル……！","22","37","59","汝ハ……何故動ケル……！","너는…… 어째서 움직일 수 있지……!"
"624","","不可能……！ 必須重整態勢才行！！","22","50","72","不可能……！\n必須重整態勢才行！！","불가능……!\n우선 태세를 다시 갖추지 않으면!!"
"633","","好想趕快結束 回去泡澡喔……","22","41","63","好想趕快結束\n回去泡澡喔……","빨리 끝내고\n돌아가서 목욕하고 싶어……"
"762","","遵命。","22","10","32","遵命。","명령대로 하겠습니다."
"160","","……？ 頭に血が上りすぎてて、 バレてないようだな……","21","80","101","……？　頭に血が上りすぎてて、\nバレてないようだな……","……? 머리에 피가 너무 올라서,\n들킨 줄도 모르는 모양이군……"
"625","","呵呵呵…… 沒用沒用沒用沒用！！","21","47","68","呵呵呵……\n沒用沒用沒用沒用！！","후후후……\n헛수고, 헛수고, 헛수고, 헛수고!!"
"701","","吾竟無計可施……","21","25","46","吾竟無計可施……","나는 어찌할 도리가 없다……"
"163","","なんだ……これは……！？ こんな現実がありえるのか！？","20","80","100","なんだ……これは……！？\nこんな現実がありえるのか！？","뭐야…… 이건……!?\n이런 일이 현실에 있을 수가 있단 말인가!?"
"294","","ノスリ旅団を名乗った罪、償ってもらうぞ！","20","61","81","ノスリ旅団を名乗った罪、償ってもらうぞ！","노스리 여단을 사칭한 죄, 대가를 치르게 해 주마!"
"350","","足リヌ足リヌ足リヌ足リヌ足リヌゥ！！","20","55","75","足リヌ足リヌ足リヌ足リヌ足リヌゥ！！","모자라… 모자라… 모자라… 모자라… 모자라아!!"
"2","","マロは接近戦が苦手でおじゃる…… 注意してほしいでおじゃるよ……","19","95","114","マロは接近戦が苦手でおじゃる……\n注意してほしいでおじゃるよ……","마로는 근접전이 서툴러서 그렇사옵니다……\n조심해 주셨으면 하옵니다……"
"49","","ここからだ……！ 我はウズールッシャの戦士ゼグニ！ 渾身の力をもって、貴様を討つ！！","19","123","142","ここからだ……！\n我はウズールッシャの戦士ゼグニ！\n渾身の力をもって、貴様を討つ！！","여기서부터다……!\n나는 우즈울샤의 전사 제그니!\n혼신의 힘으로, 네놈을 베어 쓰러뜨리겠다!!"
"86","","ルルティエ殿、先日お借りした例のアレなのだが…… いや、実に良かった！ 小生、まだまだ勉強不足と感服致しました。","19","165","184","ルルティエ殿、先日お借りした例のアレなのだが……\nいや、実に良かった！\n小生、まだまだ勉強不足と感服致しました。","루루티에 공, 지난번에 빌린 그 예의 그거 말인데……\n아니, 정말 좋더군!\n소생, 아직도 공부가 부족하다…"
"201","","ありがとう、ハク…… 大丈夫、なんとか戦えるかな。","19","74","93","ありがとう、ハク……\n大丈夫、なんとか戦えるかな。","고마워, 하쿠……\n괜찮아, 어떻게든 싸울 수 있을 것 같아."
"205","","力なき者に、 正義や理想を振りかざす資格はないッ！","19","74","93","力なき者に、\n正義や理想を振りかざす資格はないッ！","힘 없는 자에게는,\n정의나 이상을 내세울 자격 따윈 없다!!"
"226","","明日から本気出す…… ってわけにはいかないか……","19","71","90","明日から本気出す……\nってわけにはいかないか……","내일부터 진짜 열심히 한다……\n는 건 통하지 않겠지……"
"336","","へらず口がきけるのも、今のうちかな？","19","55","74","へらず口がきけるのも、今のうちかな？","말대꾸할 수 있는 것도 지금뿐일지도 모르겠네?"
"647","","嗚嗚……好不舒服……！","19","34","53","嗚嗚……好不舒服……！","우으…… 속이 너무 안 좋아……!"
"683","","我們會保護主人的。","19","28","47","我們會保護主人的。","저희가 주인님을 지키겠습니다."
"61","","（…フッ、見透かされているか…… だが、小生には今この場を守りきる義務がある…！！）","18","128","146","（…フッ、見透かされているか……\n　だが、小生には今この場を守りきる義務がある…！！）","(…후, 꿰뚫어 보고 있는 건가……\n하지만 소생에겐 지금 이 자리를 지켜낼 의무가 있다…!!)"
"166","","仮面の力を使われると、 どうにもできなくなるかな……！","18","80","98","仮面の力を使われると、\nどうにもできなくなるかな……！","가면의 힘을 쓰게 되면,\n도저히 손을 쓸 수 없게 될지도……!"
"194","","わたし達は主様の盾。 この命をかけてお守りします。","18","74","92","わたし達は主様の盾。\nこの命をかけてお守りします。","우리는 주인님의 방패.\n이 목숨을 걸고 지켜 드리겠습니다."
"321","","あっという間に皆を丸のみしそうだな……","18","58","76","あっという間に皆を丸のみしそうだな……","순식간에 모두를 통째로 삼켜 버릴 것 같군……"
"449","","アトゥイ！ 闇雲に突っ込むな！","18","44","62","アトゥイ！\n闇雲に突っ込むな！","아투이!\n앞뒤 가리지 말고 돌진하지 마!"
"584","","死ぬのは本望。","18","22","40","死ぬのは本望。","""죽는 것도 바라던 바다."""
"629","","嗚嗚……肚子……肚子好痛……","18","43","61","嗚嗚……肚子……肚子好痛……","으으…… 배가…… 배가 너무 아파……"
"253","","もう十分だろ…… これ以上の戦いは無意味だ。","17","65","82","もう十分だろ……\nこれ以上の戦いは無意味だ。","이제 충분하잖아……\n이 이상 싸우는 건 의미 없어."
"77","","ほう、先ほどまでの兵とは腕が違いますね。 これは……なかなか楽しめそうです。","16","113","129","ほう、先ほどまでの兵とは腕が違いますね。\nこれは……なかなか楽しめそうです。","호오, 방금 전까지의 병사들과는 솜씨가 다르군요.\n이건…… 꽤 즐길 수 있겠네요."
"134","","初仕事の相手がコイツらとは…… 幸先が良いのか悪いのか……","16","86","102","初仕事の相手がコイツらとは……\n幸先が良いのか悪いのか……","첫 임무 상대가 이놈들이라니……\n길조인지 흉조인지 모르겠군……"
"207","","フッ、任せるがいい！ いい女は期待を裏切らぬもの！","16","74","90","フッ、任せるがいい！\nいい女は期待を裏切らぬもの！","후, 맡겨 둬!\n좋은 여자는 기대를 저버리지 않는 법이지!"
"293","","兄さまに迷惑をかけるのは許さないのです！","16","61","77","兄さまに迷惑をかけるのは許さないのです！","오라버니께 폐 끼치는 건 용납 못 하는 거예요!"
"295","","しかしあの顔……どこかで見たような……？","16","61","77","しかしあの顔……どこかで見たような……？","근데 저 얼굴…… 어딘가에서 본 것 같은데……?"
"645","","反應也差太多了吧……？","16","34","50","反應也差太多了吧……？","반응이 너무 다른 거 아냐……?"
"684","","請把這裡交給我們。","16","28","44","請把這裡交給我們。","여긴 저희에게 맡겨 주세요."
"16","","私の弓は、遠く離れた敵に有効です。 ですので、前衛はお任せします！","15","98","113","私の弓は、遠く離れた敵に有効です。\nですので、前衛はお任せします！","제 활은 멀리 떨어진 적에게 효과적입니다.\n그러니 전위는 맡기겠습니다!"
"74","","駄目だ！ 時間を掛ければ相手の思う壺だ！ ここは危険でも、一気に叩かなくては！","15","114","129","駄目だ！\n時間を掛ければ相手の思う壺だ！\nここは危険でも、一気に叩かなくては！","안 돼!\n시간 끌면 상대가 바라는 대로야!\n여긴 위험해도, 단숨에 두들겨 패야 해!"
"107","","フッ……そなたの言うとおりではあるが、 執務ばかりでは腕が鈍るのでな。 少しだけ、某にも働かせて頂こう。","15","153","168","フッ……そなたの言うとおりではあるが、\n執務ばかりでは腕が鈍るのでな。\n少しだけ、某にも働かせて頂こう。","후…… 네 말이 틀린 것은 아니나,\n서류일만 하다 보면 팔이 무뎌지니.\n조금만, 나도 힘을 보태도록 하지…"
"109","","たまには妹の勇姿を間近で見ておこうと思ってな。 今日は、よろしく頼むぞ。","15","107","122","たまには妹の勇姿を間近で見ておこうと思ってな。\n今日は、よろしく頼むぞ。","가끔은 여동생의 활약상을 가까이서 보고 싶어서 말이지.\n오늘은 잘 부탁한다."
"111","","義弟の成長ぶりが気になってな。 たまには某も参加することにした。","15","95","110","義弟の成長ぶりが気になってな。\nたまには某も参加することにした。","의제의 성장한 모습이 궁금해서 말이지.\n가끔은 나도 참가하기로 했다."
"117","","兄様！？ またそんな格好して…… だらしがないから、もっとしっかりするですよ！","15","114","129","兄様！？\nまたそんな格好して……\nだらしがないから、もっとしっかりするですよ！","오라버니!?\n또 그런 차림을 하고……\n꼴이 말이 아니니까, 좀 제대로 하는 거예요!"
"128","","くっ……！ これ程の相手は久々だぞ！ しかし、いい女とは絶対にひかぬもの！！ こいっ！！","15","129","144","くっ……！\nこれ程の相手は久々だぞ！\nしかし、いい女とは絶対にひかぬもの！！　こいっ！！","크읏……!\n이 정도 상대는 오랜만이군!\n하지만, 좋은 여자는 절대 물러서지 않는다!! 덤벼라!!"
"146","","罠まであともう少しだ……！ それまで逃げ切らないと……！","15","83","98","罠まであともう少しだ……！\nそれまで逃げ切らないと……！","함정까지 이제 조금만 더……!\n그때까지 어떻게든 따돌려야……!"
"180","","さすがだな、オウギ。 今のは良い男に一歩近付いたぞ。","15","77","92","さすがだな、オウギ。\n今のは良い男に一歩近付いたぞ。","역시 오우기다.\n방금은 좋은 남자에 한 걸음 더 다가섰군."
"461","","馬鹿な…… ありえん……！！","15","41","56","馬鹿な……\nありえん……！！","말도 안 돼……\n있을 수 없어……!!"
"643","","嘻嘻嘻 人家搶先立功啦！","15","41","56","嘻嘻嘻\n人家搶先立功啦！","히히히{{L000}}\n내가 먼저 공을 세웠다~!"
"650","","阿圖依！ 不要亂攻擊！","15","32","47","阿圖依！\n不要亂攻擊！","아투이!\n막무가내로 덤비지 마!"
"666","","前方一定有東西……","15","28","43","前方一定有東西……","앞에는 분명 뭔가 있어……"
"677","","屋頂好難站穩啊……","15","28","43","屋頂好難站穩啊……","지붕은 발판이 안 좋네……"
"52","","色々と悩む所もあるだろうけど…… 今は生き延びる事を優先してほしいかな。","14","107","121","色々と悩む所もあるだろうけど……\n今は生き延びる事を優先してほしいかな。","이것저것 고민되는 점도 있겠지만……\n지금은 살아남는 걸 우선해 줬으면 해."
"122","","左近衛大将ミカヅチ…… こいつ…マジでヤバイぞ……！！ 一瞬でも気を抜いたら死ぬ……！","14","126","140","左近衛大将ミカヅチ……\nこいつ…マジでヤバイぞ……！！\n一瞬でも気を抜いたら死ぬ……！","좌근위대장 미카즈치……\n이 자식… 진짜로 위험해……!!\n한순간이라도 방심하면 죽는다……!"
"237","","（そうか……クオン殿が言ったのはこういう……）","14","70","84","（そうか……クオン殿が言ったのはこういう……）","(그렇구나…… 쿠온 공이 말한 건 이런 의미였군……)"
"268","","では、勝った方がハクの晩飯を貰うという事で。","14","67","81","では、勝った方がハクの晩飯を貰うという事で。","그럼, 이긴 쪽이 하쿠의 저녁밥을 받는 걸로 하지."
"306","","お、この三人が任務で集まるのも珍しいな。","14","61","75","お、この三人が任務で集まるのも珍しいな。","오, 이 셋이 임무 때문에 모이는 것도 드문데."
"383","","耐えますか…… 流石はヤマトの将。","14","50","64","耐えますか……\n流石はヤマトの将。","버티는 건가……\n역시 야마토의 장수로군."
"657","","老爺，你臉色很糟喔？","14","31","45","老爺，你臉色很糟喔？","주인장, 얼굴빛이 안 좋은데?"
"680","","嗯，感覺很奇怪呢。","14","28","42","嗯，感覺很奇怪呢。","응, 뭔가 이상한 느낌이야."
"7","","よし、一旦巻いたか……？ あとはこの先の崖まで全力で走るぞ！","13","89","102","よし、一旦巻いたか……？\nあとはこの先の崖まで全力で走るぞ！","좋아, 일단 따돌렸나……?\n이제 저 앞 절벽까지 전력으로 달린다!"
"25","","無駄口叩いてる暇があったら、 早くあの像を取り返すにゃも！！","13","89","102","無駄口叩いてる暇があったら、\n早くあの像を取り返すにゃも！！","쓸데없는 소리할 시간 있으면,\n어서 저 조각상을 되찾는거다냐모!!"
"98","","ご存知でしたか！ 私は右近衛大将オシュトルが弟分、キウルと申します。 僭越ながら、エンナカムイの皇子を務めております。","13","174","187","ご存知でしたか！\n私は右近衛大将オシュトルが弟分、キウルと申します。\n僭越ながら、エンナカムイの皇子を務めております…","알고 계셨군요!\n저는 우근위대장 오슈토르의 동생뻘, 키우루라고 합니다.\n송구하오나, 엔나카무이의 황자도 …"
"113","","アトゥイ殿か。 某も一度手合わせ願いたいものだが、 もし何かあればソヤンケクル殿に合わせる顔がない。 申し訳ないが、また別の機会に。","13","195","208","アトゥイ殿か。　某も一度手合わせ願いたいものだが、\nもし何かあればソヤンケクル殿に合わせる顔がない。\n申し訳ないが、…","아투이 공이로군. 나도 한번 맞붙어 보고 싶지만,\n무슨 일이라도 생기면 소얀케쿠루 공을 뵐 면목이 없소.\…"
"152","","しかし…… まさか帝都でこいつと闘うことになるとはな……","13","83","96","しかし……\nまさか帝都でこいつと闘うことになるとはな……","하지만……\n설마 황도에서 저 녀석이랑 싸우게 될 줄이야……"
"203","","いざ、参られよ！！ 今こそ、ヤマトの武を示す刻！！","13","74","87","いざ、参られよ！！\n今こそ、ヤマトの武を示す刻！！","자, 덤벼라!!\n지금이야말로, 야마토의 무를 드러낼 때다!!"
"240","","まったく…… 影とは別の意味で厄介じゃない……","13","68","81","まったく……\n影とは別の意味で厄介じゃない……","정말……\n그림자랑은 또 다른 의미로 성가시잖아……"
"282","","おかしい…… コイツらがこんな戦い方を……","13","62","75","おかしい……\nコイツらがこんな戦い方を……","이상하군……\n저놈들이 이런 싸움법을 쓰다니……"
"334","","僕はただ、姉上を支えるだけですから……","13","58","71","僕はただ、姉上を支えるだけですから……","저는 그저, 언니를 받쳐 드릴 뿐이니까요……"
"354","","あはは、楽しみで歌い出しそうやわぁ♪","13","55","68","あはは、楽しみで歌い出しそうやわぁ♪","아하하, 신나서 노래라도 나올 것 같네ぇ♪"
"402","","ぞ、像？ さて、何のことやら……","13","47","60","ぞ、像？\nさて、何のことやら……","조, 조각상?\n글쎄요, 무슨 말씀인지……"
"409","","このヒトには全力で行ってええの？","13","49","62","このヒトには全力で行ってええの？","이 사람한텐 전력으로 가도 되는 거야?"
"464","","あぁ、妙に禍々しい連中だ……","13","43","56","あぁ、妙に禍々しい連中だ……","아아, 어쩐지 흉흉한 녀석들이야……"
"487","","相変わらず雑な扱いだな……","13","40","53","相変わらず雑な扱いだな……","여전하네, 취급이 너무 거칠어……"
"511","","反応、違いすぎねぇ……？","13","37","50","反応、違いすぎねぇ……？","반응이 너무 다른 거 아냐……?"
"661","","不准……妨礙……吾！","13","31","44","不准……妨礙……吾！","방해…… 하지 마…… 나를!"
"664","","鄙人這次也打算加入。","13","31","44","鄙人這次也打算加入。","이번엔 저도 함께하겠습니다."
"688","","死是我們的宿願。","13","25","38","死是我們的宿願。","죽음은 우리의 숙원이다."
"718","","恕我鄭重拒絕。","13","22","35","恕我鄭重拒絕。","정중히 사양하겠습니다."
"12","","なに俺様を見てやがる！！ ……まさかテメェ、俺様に気が……！？","12","92","104","なに俺様を見てやがる！！\n……まさかテメェ、俺様に気が……！？","뭘 그렇게 나를 쳐다보는 거야!!\n……설마 너, 나한테 마음이……!?"
"58","","（何と迂闊な…… 小生は何時からこのような慢心をするようになった……）","12","107","119","（何と迂闊な……\n　小生は何時からこのような慢心をするようになった……）","(어찌나 경솔했던가……\n소생은 언제부터 이렇게 자만하게 되었단 말인가……)"
"100","","うむ！ オウギ！！ 背後は私に任せて、奴らを切り刻んでやれ！","12","89","101","うむ！　オウギ！！\n背後は私に任せて、奴らを切り刻んでやれ！","음! 오우기!!\n뒤는 나에게 맡기고, 놈들을 갈기갈기 찢어 버려라!"
"141","","見事な守りです。 で、あるからこそ攻めの戦に慣れていない。","12","86","98","見事な守りです。\nで、あるからこそ攻めの戦に慣れていない。","훌륭한 방어입니다.\n그러니 공격적인 싸움에는 익숙하지 않군요."
"154","","ネコやん、どうかしたん？ 早よせんと、全部うちが貰うえ！","12","83","95","ネコやん、どうかしたん？\n早よせんと、全部うちが貰うえ！","네코야, 무슨 일 있니?\n빨리 안 하면, 전부 내가 가져간다~!"
"159","","大丈夫も何も、 こうなったら最後までやるしかあるまい！","12","80","92","大丈夫も何も、\nこうなったら最後までやるしかあるまい！","괜찮고 말고,\n이렇게 된 이상 끝까지 해내는 수밖에 없지!"
"248","","なんだ、この鉄扇……？ 妙に使いやすいな……","12","65","77","なんだ、この鉄扇……？\n妙に使いやすいな……","뭐야, 이 철선……?\n이상할 만큼 쓰기 편한데……"
"339","","だ、そうだ… 増援が来る前に叩くぞ！","12","53","65","だ、そうだ…\n増援が来る前に叩くぞ！","그, 그렇지…\n증원이 오기 전에 쳐부수자!"
"358","","あ、この山菜、 ハク様がお好きな……","12","53","65","あ、この山菜、\nハク様がお好きな……","아, 이 산나물,\n하쿠 님이 좋아하시는……"
"360","","クククッ…… 無駄無駄無駄無駄ッ！！","12","53","65","クククッ……\n無駄無駄無駄無駄ッ！！","크크……\n헛수고, 헛수고, 헛수고, 헛수고!!"
"440","","さてな？ どう思おうと勝手だ。","12","44","56","さてな？\nどう思おうと勝手だ。","글쎄?\n어떻게 생각하든 네 마음이지."
"502","","いや、ぜ、全力で戦います！","12","40","52","いや、ぜ、全力で戦います！","아니, 저, 전력으로 싸우겠습니다!"
"638","","好！ 剛剛那樣很有效吧？","12","35","47","好！\n剛剛那樣很有效吧？","좋아!\n방금 건 꽤 먹힌 거지?"
"686","","麻呂也有同感……","12","25","37","麻呂也有同感……","마로도 동감인 데다……"
"723","","多說無用……","12","19","31","多說無用……","말이 필요 없다……"
"14","","どうか逃げないでください… この子の事をじっくり教えて差し上げたいのです。","11","110","121","どうか逃げないでください…\nこの子の事をじっくり教えて差し上げたいのです。","부디 도망치지 말아 주세요…\n이 아이에 대해 차근차근 알려드리고 싶습니다."
"51","","ちょっと、寝覚めがわるかっただけだ…… ま、なんとか戦えるだろ……","11","98","109","ちょっと、寝覚めがわるかっただけだ……\nま、なんとか戦えるだろ……","그냥 잠이 좀 덜 깼을 뿐이야……\n뭐, 어떻게든 싸울 수 있겠지……"
"75","","仮面ヨ！ 我ハサラニ求ム！ 我ガ魂ヲ喰ライテ、天元ヲ超エシ、 天外ノ力ヲ示セッ！！","11","120","131","仮面ヨ！　我ハサラニ求ム！\n我ガ魂ヲ喰ライテ、天元ヲ超エシ、\n天外ノ力ヲ示セッ！！","가면이여! 나는 더 바라노라!\n내 혼을 먹어치워, 천원을 넘어,\n천외의 힘을 보여라!!"
"153","","あのクオンが、こんなに焦っているとは…… 何かあるのか？","11","83","94","あのクオンが、こんなに焦っているとは……\n何かあるのか？","그 쿠온이 이렇게까지 초조해하다니……\n무슨 일 있는 건가?"
"196","","すまねえが、 こっちにも事情ってやつがあってね……","11","74","85","すまねえが、\nこっちにも事情ってやつがあってね……","미안하지만,\n우리 쪽도 사정이란 게 있어서 말이야……"
"224","","そういう、何でもかんでも力任せって嫌われるかな！","11","73","84","そういう、何でもかんでも力任せって嫌われるかな！","그렇게 뭐든 힘으로 밀어붙이면, 미움받는 거 아니야!"
"251","","どうしてこうなった…… もう……やけくそだ！","11","65","76","どうしてこうなった……\nもう……やけくそだ！","어쩌다 이렇게 됐지……\n젠장…… 될 대로 되라!"
"267","","これ程とは…… 倒すのは骨が折れそうですね。","11","65","76","これ程とは……\n倒すのは骨が折れそうですね。","이 정도라니……\n쓰러뜨리려면 꽤 애를 먹겠군요."
"302","","倒せなけりゃ、俺たち全員ここで終わりだ！","11","61","72","倒せなけりゃ、俺たち全員ここで終わりだ！","쓰러뜨리지 못하면, 우리 전원 여기서 끝이야!"
