start_offset_hex,start_offset_dec,byte_budget,ref_count,ja,locks,kr,,
0x27DE,10206,104,70,"印を結び、想念を力に変えるの。
比較的、弱くて根暗な人に向いてるかな。",[],"인을맺고 상념을 힘으로 바꿔.
약하고 음침한 사람에게 잘 맞지.",,
0x292C,10540,73,12,う…、マロの繊細な心はグサッときたでおじゃるよ。,[],우… 마로의 섬세한 마음에 비수가 꽂혔다오.,,
0x29FE,10750,61,61,ネェちゃん、何気に辛辣だな……,[],"누님, 은근히 독하네……",,
0x2A7B,10875,149,56,"そう言えば、最初にマロロが何かするって言ってたが、この事か。
コイツがすることだからと聞き流してた。",[],"그러고 보니, 마로로가 뭔가 하겠다던 게 이거였나.
저 녀석 이니까 하고 대충 흘려들었지.",,
0x2BFE,11262,43,55,いや、そんなことより、呪法？,[],"아니, 그보다 주법?",,
0x2C62,11362,70,7,まさかそんな魔法みたいなことが出来るはずが……,[],그런 마법 같은 걸 할 수 있을 리가……,,
0x2D06,11526,34,5,にょほぉ{{LOCK_AT_DASH}}んっ！！,"[""{{LOCK_AT_DASH}}""]",뇨호오{{LOCK_AT_DASH}}옹!!,,
0x2D5D,11613,34,3,よっしゃ、よくやった！,[],"좋았어, 잘했다!",,
0x2DA1,11681,82,9,あ、後は任せたでおじゃる。もうヘトヘトでおじゃるよ……,[],"아, 뒤는 맡기겠사옵니다. 완전 녹초이옵니다……",,
0x2EAB,11947,37,4,本当に……魔法だと……？,[],정말… 마법이라고…?,,
0x2F0A,12042,70,6,テメェ等、残りのヤツを片付けるぞ！　続けぇ！！,[],"너희들, 남은 놈들 정리한다! 따라와!!",,
0x2FCB,12235,46,6,うぉぉぉぉぉぉぉぉぉぉぉッ！！,[],우오오오오오오오오오오오오!!,,
0x302D,12333,58,40,それじゃあ、私達も行こっか。,[],그럼 우리도 가자.,,
0x3093,12435,19,3,あ、ああ……,[],"아, 아아…",,
0x30C5,12485,82,94,ええい、いろいろとツッコミたいが、今はこっちに集中だ。,[],이것저것 태클 걸고 싶지만 일단 여기에 집중이다.,,
0x31BE,12734,46,6,ハッ、ハァ、ハァ、ハァ{{LOCK_AT_DASH}}！,"[""{{LOCK_AT_DASH}}""]","헉, 하아, 하아{{LOCK_AT_DASH}}!",,
0x31EF,12783,40,484,やるじゃねぇの、アンちゃん,[],"제법 하는구만, 형씨.",,
0x321A,12826,52,14,ハァ、ハァ……ゼェ、そ、そうか……,[],"하아, 하아… 켁, 그, 그런가…",,
0x3251,12881,37,4,な、何とか……なった……,[],"어, 어떻게든…… 됐다……",,
0x3279,12921,91,10,ま、ヘトヘトみてぇだし、後は俺達に任せてアンちゃんは休んでな,[],"뭐, 녹초가 된 것 같으니 뒤는 우리한테 맡기고 형씨는 좀 쉬어.",,
0x32D7,13015,91,174,こういったのは初めてだったんだろ？　そのくれえは多目に見るさ,[],이런 건 처음이었겠지? 그 정도는 넉넉히 봐주마.,,
0x3335,13109,130,15,よォし……テメェ等、仕留めた獲物を回収するぞ！　大事な金ヅルだ、取り残すんじゃねぇぞ！,[],"좋아…… 너희들, 잡은 놈들 회수한다! 소중한 돈줄이니 하나도 놓치지 마!",,
0x33BA,13242,22,2,ウィ～ッス！！,[],옛~!!,,
0x33D3,13267,70,88,ウコンの号令に、笑い声を含みつつ男達が応える。,[],"우콘의 호령에, 남자들이 웃음을 섞어 대답했다.",,
0x341C,13340,145,16,やれやれ、犠牲者どころか、大きな怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,[],"휴우, 희생자는커녕 크게 다친 놈도 없는 모양이다. 역시 다들 노련해.",,
0x34B0,13488,28,2,ハク、左腕を見せて,[],"하쿠, 왼팔 보여줘.",,
0x34D9,13529,67,236,側に来ていたクオンが、そっと手を取ってくる。,[],곁에 있던 쿠온이 살며시 손을 잡아끈다.,,
0x351F,13599,22,3,痛ゥ……？,[],아야……?,,
0x3538,13624,64,4,いつの間にか二の腕を浅く切り裂かれていた。,[],어느새 위팔이 얕게 찢겨 있었다.,,
0x357B,13691,148,57,牙がかすったか、どこかに引っかけたのか、痛みがなかったのでクオンに手を取られるまで気付かなかった。,[],"이빨에 스쳤는지, 어딘가에 긁혔는지, 아프지 않아서 쿠온이 손을 잡을 때까지도 알아채지 못했다.",,
0x3612,13842,19,2,そのまま、ね,[],그대로 있어.,,
0x3628,13864,106,13,するとクオンは躊躇う事無く傷口に唇をあて、そこから血を吸い出し始めた。,[],"쿠온은 망설임도 없이 상처에 입술을 대고, 거기서 피를 빨아내기 시작했다.",,
0x3695,13973,25,4,んく……ペッ……,[],쪽…… 퉤……,,
0x36B1,14001,34,1,んな━━！？　何を……,[],뭣━!? 지금 뭐 하는……,,
0x36D6,14038,67,166,毒が入り込んだかもしれないから。念のためだよ,[],독이 들어갔을지도 모르니까. 혹시 몰라서.,,
0x371C,14108,34,6,いや、何もそこまで……,[],"아니, 그렇게까지는……",,
0x3751,14161,91,6,チラリと、クオンと目が合う。気のせいか、その目が笑っている。,[],"힐끗, 쿠온과 눈이 마주친다. 기분 탓인지 그 눈이 웃고 있다.",,
0x37AF,14255,34,2,何だこのイヤな予感……,[],뭔데 이 불길한 예감……,,
0x37D4,14292,82,39,ヂュゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",지이이이이이이이이이이이이이이이이이이이이이이이{{LOCK_AT_DASH}},,
0x3829,14377,37,3,いだだだだだだだだッ！？,[],아야야야야야야야야!!?,,
0x3861,14433,76,6,あはは、男子たるもの、この位で声を上げては駄目だよ,[],"아하하, 남자라면 이 정도로 소리 지르면 안 되지.",,
0x38B0,14512,43,2,おま……今の絶対にわざとだろ,[],너…… 방금 일부러 한 거지.,,
0x38DE,14558,130,39,そんな批難を他所に、クオンは手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。,[],"그런 비난은 아랑곳않고, 쿠온은 익숙한 손놀림으로 상처에 연고를 바르고 천으로 감아 준다.",,
0x3963,14691,46,2,ハイ、お終い。これで大丈夫かな,[],"자, 끝. 이걸로 괜찮겠지?",,
0x3994,14740,16,1,いッ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",이잇{{LOCK_AT_DASH}},,
0x39A7,14759,70,5,そしてトドメとばかりに、そこを軽く叩いてきた。,[],"그리고 마무리라는 듯, 거길 가볍게 톡 쳤다.",,
0x39FD,14845,79,30,文句を言ってやりたいが、クオンの笑顔にその気も失せた,[],"불평하고 싶지만, 쿠온의 미소에 그럴 마음도 사라졌다.",,
0x3A4F,14927,76,6,笑顔にはこちらが無事だった安堵がこもっていたから。,[],그 미소엔 내가 무사하다는 안도가 담겨 있었으니까.,,
0x3A9E,15006,25,1,そうだ、コイツを,[],"아, 이거.",,
0x3ABA,15034,61,3,戦いの前に借りた鉄扇をクオンに差し出す。,[],싸우기 전에 빌렸던 철선을 쿠온에게 내민다.,,
0x3AFA,15098,46,24,おかげで助かった、ありがとうな,[],덕분에 살았어. 고마워.,,
0x3B2B,15147,58,4,……いいよ。それはまだ、ハクが持ってて,[],……괜찮아. 그건 하쿠가 가지고 있어.,,
0x3B75,15221,85,6,何も持ってないと不便だろうし、もう少しハクに預けておくね,[],아무것도 없으면 불편하잖아. 조금 더 하쿠한테 맡겨 둘게.,,
0x3BCD,15309,46,2,いいのか？　大切な物なんだろう,[],괜찮겠어? 소중한 물건 아니야?,,
0x3BFE,15358,82,441,うん、とっても大切なものかな。とっても、とってもね……,[],"응, 엄청 소중한 거야. 정말, 정말로……",,
0x3C53,15443,64,4,そこまでなのか？　そんなものを何でまた……,[],그 정도야? 그런 걸 왜 또……,,
0x3C96,15510,76,5,今はハクが必要としているから。だからハクが持ってて,[],지금은 하쿠에게 필요 하니까. 하쿠가 가지고 있어.,,
0x3CE5,15589,76,68,……そうか。そこまで言うなら、ありがたく借りとくよ,[],"……그래. 그렇게까지 말한다면, 고맙게 빌릴게.",,
0x3D34,15668,79,5,うん。貸すだけだから、何時かちゃんと返してもらうから,[],"응. 빌려주는 거니까, 언젠가 제대로 돌려줘.",,
0x3D86,15750,79,4,ハク殿ハク殿、マロの呪法を見てくれたでおじゃるか！？,[],"하쿠님 하쿠님, 마로의 주법을 보셨사옵니까!?",,
0x3DE5,15845,106,26,マロの呪法にかかれば、あんなギギリなんてチョチョイのチョイでおじゃるよ,[],"마로의 주법만 있으면, 저런 기기리 따위야 식은 죽 먹기이옵니다!",,
0x3E52,15954,160,22,介抱したせいか、妙に懐かれたな。この男に別に含むものは無いが、こうも纏わり付かれると少々うっとうしい,[],"간호해 준 탓인지, 괜히 정이 붙었나. 이 사내에게 딱히 악감정은 없지만, 이렇게 들러붙으니 조금 귀찮다.",,
0x3EF5,16117,100,34,どうでぃ、アンちゃん。やけに不安がってたが、大したこと無かったろ？,[],"어때, 형씨. 그렇게 불안해하더니 별거 없었지?",,
0x3F5C,16220,58,8,指示を終えたウコンが、声を掛けてきた。,[],지시를 마친 우콘이 말을 걸어왔다.,,
0x3F99,16281,79,9,そうだぜ、ついコッチまで不安になっちまったじゃねぇか,[],그러게 말이다. 괜히 우리까지 불안해졌잖아.,,
0x3FEB,16363,40,143,「「ワハハハハハ{{LOCK_AT_DASH}}」」,"[""{{LOCK_AT_DASH}}""]",「「와하하하하{{LOCK_AT_DASH}}」」,,
0x4016,16406,46,5,男達から一斉に笑い声が上がる。,[],웃음이 터져 나온다.,,
0x4047,16455,67,8,いや、あれは……何て言うか、勘違いというかな,[],"아니, 그건…… 뭐랄까, 착각이라 해야 하나.",,
0x408D,16525,13,2,勘違い？,[],착각?,,
0x409D,16541,130,119,少し前に、アレよりもっともっとデカイ奴に襲われたんだ。まぁ、その時は間一髪で助かったが,[],"조금 전에, 저것보다 훨씬 훨씬 큰 놈한테 습격당했거든. 뭐, 그땐 간발의 차로 살아났지만.",,
0x4122,16674,55,6,つい、その巨大なヤツだと勘違いしてな,[],그래서 그 거대한 놈인 줄 착각했지.,,
0x415C,16732,91,10,こんなヤツ等だと知ってたら、ここまで慎重にはならかった{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]","이 정도인 줄 알았으면, 이렇게까지 조심하진 않았을 텐데{{LOCK_AT_DASH}}",,
0x41BA,16826,52,5,……ん？　何か急に空気が変わった？,[],……응? 갑자기 분위기가 바뀐 건가?,,
0x41F1,16881,25,18,……何……だと？,[],……뭐……라고?,,
0x420D,16909,52,8,今……もっと巨大なヤツと言ったか？,[],방금…… 더 거대한 놈이라고 했나?,,
0x4244,16964,76,10,あ、ああ、同じような外見でもっと巨大なヤツだが……,[],"아, 아아. 비슷한 생김새인데 더 거대한 놈이었어……",,
0x4293,17043,73,9,もしかして、胴が甲羅の様に硬そうじゃなかったか？,[],혹시 몸통이 등딱지처럼 단단해 보이진 않았나?,,
0x42DF,17119,19,2,そうだな……,[],그랬지……,,
0x42F5,17141,124,32,そう言われれば胴体は全体的に黒く光っていたような？　うん、いかにも硬そうに見えたな,[],"그러고 보니 몸통이 전체적으로 검게 번뜩였던 것 같아. 응, 딱 봐도 단단해 보였어.",,
0x4374,17268,64,6,あと、もっと角は長かった気がしたんだがなぁ,[],그리고 뿔도 더 길었던 것 같은데……,,
0x43B7,17335,49,5,オイ！　だとしたらヤベエぞ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",이봐! 그럼 큰일이다{{LOCK_AT_DASH}},,
0x43EB,17387,34,23,ああ、こんな感じの……,[],"아, 이런 느낌의……",,
0x441D,17437,64,6,キヒィィィィィィィィィィィィィィィィィ！？,[],키히이이이이이이이이이이이이이이이이이!?,,
0x44A4,17572,165,44,"突然のことだった。
藪の中から巨大な何かが飛び出し、
近くにいた男の前で巨大な鋏のようなモノが交差する。",[],"갑자기,
덤불 속에서 무언가가 튀어나오더니,
근처에 있던 남자 앞에서 거대한 집게 같은 것이 엇갈렸다.",,
0x463D,17981,88,10,動くことも、声を掛ける間も無く、ナニカが宙に舞い上がった。,[],"움직일 틈도, 소리칠 틈도 없이 무언가가 허공으로 날아올랐다.",,
0x4748,18248,79,10,ぅ……うわぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁッ！！,[],으……우와아아아아아아아아아아아아아아아아아!!,,
0x47F4,18420,13,17,何だ……,[],뭐야……,,
0x4801,18433,13,1,什麼……,[],뭐…뭣…,,
0x4820,18464,43,4,うわっ、小さいのも来るぞ！！,[],"우왓, 작은 놈들도 온다!!",,
0x489D,18589,31,2,何が起こっている……,[],대체 무슨 일이야……,,
0x48E7,18663,89,21,"距離を取れ！
体勢を立て直してから、全員で一斉にかかるぞ！！",[],"거리를 벌려라!
자세를 가다듬고 나서, 전원이 한꺼번에 덤벼!!",,
0x49C4,18884,64,25,ウコンの号令に、何人かの男達が武器を取る。,[],우콘의 호령에 몇몇이 무기를 집어 든다.,,
0x4A7A,19066,83,10,"だが{{LOCK_AT_DASH}}、
辺りから次から次へとギギリが這いでてきた。","[""{{LOCK_AT_DASH}}""]","하지만{{LOCK_AT_DASH}}，
주변에서 기기리가 잇달아 기어 나온다.",,
0x4B68,19304,67,4,き、気をつけろ、コイツ等{{LOCK_AT_DASH}}ガァァァッ！？,"[""{{LOCK_AT_DASH}}""]","조, 조심해, 이놈들{{LOCK_AT_DASH}}가아아앗!?",,
0x4C0E,19470,95,5,"皆が武器を構える余裕もなく、
追い回され、襲われていく。",[],"모두가 무기를 겨눌 틈도 없이,
쫓기고, 습격당해 쓰러져 간다.",,
0x4D17,19735,13,1,ハク！！,[],하쿠!!,,
0x4D37,19767,13,1,ッ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",읏{{LOCK_AT_DASH}},,
0x4D5F,19807,28,1,悪い、助かった……,[],"미안, 살았다……",,
0x4DB2,19890,115,21,ハァ……道理で話が噛み合わないと思った。ハクが言ってたのはアレだったんだ……,[],하아……어쩐지 말이 안 통한다 했더니. 하쿠가 말한 건 저거였구나……,,
0x4EDF,20191,64,16,こいつは、もしかしなくてもマズイ……のか？,[],"이건, 아무래도……위험한 거지?",,
0x4F5E,20318,34,2,でりゃあああああッ！！,[],으랴아아아아아앗!!,,
0x4FAC,20396,129,52,"テメェ等、一旦退くぞっ！！
まだ無事な奴は、動けない奴を担いで逃げろ！！
今すぐにだ！！",[],"너희들, 일단 물러선다!!
아직 멀쩡한 놈들은, 다친 놈을 들쳐 업고 도망쳐!!
지금 당장이다!!",,
0x50C7,20679,46,3,二人とも何してる、早く逃げろ！,[],"너희 둘 뭐 해, 빨리 도망쳐!",,
0x515E,20830,22,2,あ、ああ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]","아, 아아{{LOCK_AT_DASH}}",,
0x51C1,20929,52,3,ひ……ひ……はひ……はひぃぃぃ……,[],히……히……하히……하히이이이……,,
0x523F,21055,85,5,…………なっ！？　オイ、なに人の足にしがみついてんだ！！,[],"…………뭐야!? 야, 남의 다리에 왜 매달려!!",,
0x5309,21257,37,2,あわわ……あわわわわ……,[],아와와……아와와와와……,,
0x5370,21360,100,6,う、動けん！？　何してる、はやく自分の足で立て！　逃げられんだろ！,[],"우, 움직일 수 없소!? 뭐 하는 거요, 어서 제 발로 서시오! 그래야 도망치지!",,
0x53D7,21463,100,21,むむむむ無理でおぢゃる、腰が抜けて動けないでおじゃるよ#@～～～#ッ！,[],"무무무 무리옵니다, 허리가 풀려 움직일 수 없사옵니다#@～～～#ッ！",,
0x543E,21566,94,5,こっちはお前がしがみついてるから動けないんだ！　いいから立て！,[],이쪽은 네가 매달려 있어서 못 움직이는 거야! 됐으니 일어나!,,
0x549F,21663,118,17,いいいイヤでおじゃる、願いでおじゃる、置いてかないでほしいでおじゃるぅぅぅ！！,[],"시시싫사옵니다, 부탁이옵니다, 두고 가지 말아 주시옵소서으으으!!",,
0x55D8,21976,64,12,どう見たらこれが遊んでるようにみえるんだ！,[],어딜 봐서 이게 장난치는 것처럼 보이냐!,,
0x56F9,22265,25,11,クオンだけなら？,[],쿠온 혼자라면?,,
0x5778,22392,79,2,オォイ、まさか見捨てて逃げるとか言わないだろうな！？,[],"야, 설마 우리 버리고 도망치겠다는 소리는 아니겠지!?",,
0x57CA,22474,109,11,あはは、大丈夫だよ。このくらいで見捨てるのなら、とっくに見限ってたってば,[],"아하하, 괜찮아. 이 정도로 버릴 거였으면 진작에 질렸을걸.",,
0x5890,22672,58,1,ちっ、しょうがねぇ。気は進まねぇが……,[],"쳇, 어쩔 수 없지. 내키진 않지만……",,
0x58CD,22733,172,11,アンちゃん、ネェちゃん、少し頼みがある。ここは俺がなんとかするから、他の連中を率いて、できるだけ遠くに離れてくれ。,[],"형씨, 누님, 부탁이 하나 있다. 여긴 내가 어떻게든 할 테니, 다른 놈들을 이끌고 가능한 한 멀리 떨어져 줘.",,
0x59C0,22976,82,32,最期の一つだったから、なるべく温存しておきたかったけど,[],"마지막 한 발이라, 되도록 아껴 두고 싶었는데.",,
0x5AEA,23274,34,14,そうか、閃光弾か{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]","음, 섬광탄인가{{LOCK_AT_DASH}}",,
0x5BC9,23497,67,12,ほぎゃ{{LOCK_AT_DASH}}ッ、目がっ、目が{{LOCK_AT_DASH}}っ！？,"[""{{LOCK_AT_DASH}}""]","호갸{{LOCK_AT_DASH}}ッ, 눈이! 눈이{{LOCK_AT_DASH}}っ!?",,
0x602C,24620,158,9,"命からがら逃げてきたハクたち。
安堵するも束の間、蟲を引き連れたボロギギリが、血の匂いをたどり追ってきた。",[],"죽을힘을 다해 달아난 하쿠 일행.
안도할 틈도 없이, 벌레들을 거느린 보로기기리가 피 냄새를 따라 뒤쫓아 왔다.",,
0x61E9,25065,155,21,"このままでは、蟲達を里まで誘き寄せてしまう。
それを防ぐには、何としてもここで食い止めねばならなかった。",[],"이대로면 벌레들을 마을까지 유인해 버린다.
그걸 막으려면, 무슨 일이 있어도 여기서 저지해야 했다.",,
0x6380,25472,125,7,"そこでハクは、クオン、ウコンと分かれ、
怯えるマロロと共にボロギギリを待ち伏せする。",[],"하쿠는 쿠온, 우콘과 갈라져,
겁에 질린 마로로와 함께 보로기기리를 매복해 기다린다.",,
0x64CF,25807,100,18,そう、ハクが思いついたのは、自らを囮にした捨て身の撃退作戦だった。,[],"그래, 하쿠가 떠올린 건 자신을 미끼로 한 목숨 건 격퇴 작전이었다.",,
0x65E4,26084,52,15,おおっ、動いて行くでおじゃるよ！？,[],"오오, 움직이기 시작했사옵니다요!?",,
0x6695,26261,34,1,囮に引っかかったな……,[],미끼에 걸렸군……,,
0x66DD,26333,53,14,"居た……
雑魚達と上手く離れている。",[],"있다……
잡것들과는 잘 떨어져 있다.",,
0x678D,26509,91,5,ところで、肝心のボロギギリをどうやって誘いだすでおじゃるか？,[],그런데 정작 보로기기리를 어떻게 유인해 내는 것이옵니까?,,
0x6883,26755,19,1,ぶちかませ。,[],갈겨.,,
0x68C7,26823,13,2,ほにょ？,[],호뇨?,,
0x68E4,26852,76,17,あの呪法ってヤツを、全力でボロギギリにぶちかませ。,[],"그 주법이란 걸, 전력으로 보로기기리한테 갈겨.",,
0x69B8,27064,73,15,上手くいけば、アイツだけ釣り上げることが出来る。,[],잘만 하면 저놈만 낚아챌 수 있어.,,
0x6A74,27252,37,3,マ、マロがでおじゃるか？,[],"마, 마로가 말이옵니까?",,
0x6AC7,27335,116,27,"他に誰が居るんだ。
急げ、グズグズしてたら囮になった連中が喰われる羽目になる。",[],"다른 누가 있겠어.
서둘러. 꾸물거리다간 미끼가 된 놈들이 잡아먹히게 된다.",,
0x6BFC,27644,110,9,"しししかし、そんなことをしたら、
マロに向かってくるのではおじゃらぬか！？",[],"하, 하, 하지만 그런 짓을 하면,
마로 쪽으로 달려오는 것 아니옵니까!?",,
0x6DC6,28102,80,17,"今の間は……。
ホントに、ホントに大丈夫でおじゃるか？",[],"지금 틈에…….
정말로, 정말로 괜찮은 것이옵니까?",,
0x7066,28774,56,4,"判ったでおじゃる。
やるでおじゃるよ！",[],"알겠사옵니다.
해 보겠사옵니다요!",,
0x7118,28952,25,1,いるだけだがな。,[],있을 뿐이지만.,,
0x719A,29082,67,4,まぁ、何かあったらウコン達が何とかするだろ。,[],"뭐, 무슨 일 있으면 우콘 일행이 어떻게든 하겠지.",,
0x7278,29304,25,1,にゅおおおおお。,[],뉴오오오오오.,,
0x72B3,29363,76,4,ううぅ……くらうでおじゃる、にょほぉ{{LOCK_AT_DASH}}んっ！！,"[""{{LOCK_AT_DASH}}""]","우우…… 받아랏사옵니다, 뇨호오{{LOCK_AT_DASH}}옹!!",,
0x7386,29574,64,3,……術を出す時の掛け声は何とかならんのか？,[],……술을 쓸 때 그 기합은 좀 어떻게 안 되나?,,
0x744B,29771,31,1,どうだ、来るか{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]","어때, 오나{{LOCK_AT_DASH}}",,
0x74B3,29875,52,2,何匹か一緒に来る……巻き込んだか。,[],몇 놈이 같이 온다…… 휘말린 건가.,,
0x7578,30072,37,3,だが、あれくらいなら……,[],"하지만, 저 정도면……",,
0x75F9,30201,64,13,みんな、作戦通り無理をせず引きつけてくれ。,[],"다들, 작전대로 무리하지 말고 끌어줘.",,
0x76E2,30434,16,1,やった……,[],됐다……,,
0x76F5,30453,40,9,いや、まだだぜ、アンちゃん,[],"아냐, 아직이야, 형씨.",,
0x7720,30496,40,2,なんて、しぶといでおじゃる,[],참 질기기도 하옵니다요.,,
0x774B,30539,37,2,残念、これで終わりだよ！,[],"아쉽지만, 이걸로 끝이야!",,
0x7773,30579,22,1,……来たかッ！,[],……왔나!,,
0x778C,30604,58,3,ただいまっと。ハク、怪我とかしてない？,[],"다녀왔어. 하쿠, 다친 데 없어?",,
0x77C9,30665,55,3,いや、こっちよりそっちは大丈夫なのか,[],"아니, 난 됐고 너야말로 괜찮아?",,
0x7803,30723,67,4,平気だよ。言ったでしょ、逃げるのは得意だって,[],"괜찮아. 말했잖아, 도망치는 건 특기라고.",,
0x7849,30793,82,4,やれやれ、あんなのを連れて来るたぁ、大したネェちゃんだ,[],"휴우, 저런 걸 끌고 오다니 대단하네, 누님.",,
0x78D4,30932,22,1,終わったな……,[],끝났군……,,
0x78EA,30954,16,1,結束了……,[],끝났어……,,
0x7907,30983,28,1,ああ、終わった……,[],"그래, 끝났어……",,
