group_key,priority,group_size,jp_type,rep_offset,rep_end,ja,ja_tpl,ja_clean,locks,kr_tpl,kr_tpl_encoded,kr_detok_from_cat,kr_detok_from_cat_encoded,has_kr
なに俺様を見てやがる！！ ……まさかテメェ、俺様に気が……！？,70,1,normal,52180,52272,"なに俺様を見てやがる！！
……まさかテメェ、俺様に気が……！？","なに俺様を見てやがる！！
……まさかテメェ、俺様に気が……！？","なに俺様を見てやがる！！
……まさかテメェ、俺様に気が……！？",[],"뭘　그렇게　쳐다보는　거야!!
……너,　나한테　마음이……!?","伏　加紹映　光愛永位　過因!!
……稀,　詠易起　維暇挨……!?","뭘　그렇게　쳐다보는　거야!!
……너,　나한테　마음이……!?","伏　加紹映　光愛永位　過因!!
……稀,　詠易起　維暇挨……!?",1
しかし、ルルティエがあんなに大きな声を出すなんて…… 珍しいな……,70,1,normal,52752,52850,"しかし、ルルティエがあんなに大きな声を出すなんて……
珍しいな……","しかし、ルルティエがあんなに大きな声を出すなんて……
珍しいな……","しかし、ルルティエがあんなに大きな声を出すなんて……
珍しいな……",[],"루루티에가　저렇게　큰소리를　내다니……
드문　일이네……","餌餌棺綾安　敢紹映　軽怨以扱　笠愛依……
割鬼　泳挨拐……","루루티에가　저렇게　큰소리를　내다니……
드문　일이네……","餌餌棺綾安　敢紹映　軽怨以扱　笠愛依……
割鬼　泳挨拐……",1
どうか逃げないでください… この子の事をじっくり教えて差し上げたいのです。,70,1,normal,53855,53965,"どうか逃げないでください…
この子の事をじっくり教えて差し上げたいのです。","どうか逃げないでください…
この子の事をじっくり教えて差し上げたいのです。","どうか逃げないでください…
この子の事をじっくり教えて差し上げたいのです。",[],"도망치지　말아　주세요…
이　아이에　대해　차근히　알려드리겠습니다.","雨供越移　訓違　遠禍俄…
挨　違挨綾　域井　虚恭蓋　掬闇割以間隠依愛.","도망치지　말아　주세요…
이　아이에　대해　차근히　알려드리겠습니다.","雨供越移　訓違　遠禍俄…
挨　違挨綾　域井　虚恭蓋　掬闇割以間隠依愛.",1
シャバでバカ騒ぎしたかったのによ！ ぶっとばしてやるじゃん！,70,1,normal,54683,54772,"シャバでバカ騒ぎしたかったのによ！
ぶっとばしてやるじゃん！","シャバでバカ騒ぎしたかったのによ！
ぶっとばしてやるじゃん！","シャバでバカ騒ぎしたかったのによ！
ぶっとばしてやるじゃん！",[],"안그래도　근질근질　했는데　말이지!
한　방　먹여　주겠어!","貫加吃雨　恭記恭記　火位戒　訓挨移!
易　殴　傘各　遠間羽!","안그래도　근질근질　했는데　말이지!
한　방　먹여　주겠어!","貫加吃雨　恭記恭記　火位戒　訓挨移!
易　殴　傘各　遠間羽!",1
私の弓は、遠く離れた敵に有効です。 ですので、前衛はお任せします！,70,1,normal,55338,55436,"私の弓は、遠く離れた敵に有効です。
ですので、前衛はお任せします！","私の弓は、遠く離れた敵に有効です。
ですので、前衛はお任せします！","私の弓は、遠く離れた敵に有効です。
ですので、前衛はお任せします！",[],"제　활은　원거리의　적에게　효과적입니다.
전위는　맡기겠습니다!","応　吉宴　活過以哀　印綾映　芽汚印迦依愛.
鋭仮位　具握間隠依愛!","제　활은　원거리의　적에게　효과적입니다.
전위는　맡기겠습니다!","応　吉宴　活過以哀　印綾映　芽汚印迦依愛.
鋭仮位　具握間隠依愛!",1
早く皇女さんを連れ戻さないと…… 大事になった場合を考えると、恐ろしすぎる！,70,1,normal,57041,57154,"早く皇女さんを連れ戻さないと……
大事になった場合を考えると、恐ろしすぎる！","早く皇女さんを連れ戻さないと……
大事になった場合を考えると、恐ろしすぎる！","早く皇女さんを連れ戻さないと……
大事になった場合を考えると、恐ろしすぎる！",[],"어서　황녀님을　모셔　와야……
큰일이　났을　때를　생각하면,　너무　무서워!","羽溢　既芸攻逢　逸賞　穏因……
軽泳挨　劫逢　還扱　絵回圧延,　稀異　異溢技!","어서　황녀님을　모셔　와야……
큰일이　났을　때를　생각하면,　너무　무서워!","羽溢　既芸攻逢　逸賞　穏因……
軽泳挨　劫逢　還扱　絵回圧延,　稀異　異溢技!",1
それにしても……オシュトル？ どこかで聞いたことがある名だな…？,70,1,normal,58121,58216,"それにしても……オシュトル？
どこかで聞いたことがある名だな…？","それにしても……オシュトル？
どこかで聞いたことがある名だな…？","それにしても……オシュトル？
どこかで聞いたことがある名だな…？",[],"그런데……　오슈토르?
어디선가　들어본　이름　같은데…?","加佐戒……　遺巨謁押?
羽喜快安　塊羽玉　挨頑　堅宴戒…?","그런데……　오슈토르?
어디선가　들어본　이름　같은데…?","加佐戒……　遺巨謁押?
羽喜快安　塊羽玉　挨頑　堅宴戒…?",1
いいのです。 こんなのはタダのわがまま、 茶番なのです……！,70,1,normal,58546,58633,"いいのです。
こんなのはタダのわがまま、
茶番なのです……！","いいのです。
こんなのはタダのわがまま、
茶番なのです……！","いいのです。
こんなのはタダのわがまま、
茶番なのです……！",[],"괜찮습니다.
이건　그저　제　고집,
한낱　연극일　뿐……!","此頃隠依愛.
挨虐　加敢　応　渦角,
易苔　雲館泳　約……!","괜찮습니다.
이건　그저　제　고집,
한낱　연극일　뿐……!","此頃隠依愛.
挨虐　加敢　応　渦角,
易苔　雲館泳　約……!",1
ええ、さすがは姉上。 力任せの魅力に思わず見とれてしまいました。,70,1,normal,59906,60001,"ええ、さすがは姉上。
力任せの魅力に思わず見とれてしまいました。","ええ、さすがは姉上。
力任せの魅力に思わず見とれてしまいました。","ええ、さすがは姉上。
力任せの魅力に思わず見とれてしまいました。",[],"에에,　역시　누님.
힘으로　밀어붙이는　매력에　넋을　잃었어요.","綾綾,　脅畏　経依.
狭園偉　勧羽険挨位　急威綾　択逢　悉覚羽俄.","에에,　역시　언니.
힘으로　밀어붙이는　매력에　넋을　잃었어요.","綾綾,　脅畏　経依.
狭園偉　勧羽険挨位　急威綾　択逢　悉覚羽俄.",1
有難うございます、姉上。 ですが姉上の魅力には、まだまだ遠く及びません。,70,1,normal,60369,60476,"有難うございます、姉上。
ですが姉上の魅力には、まだまだ遠く及びません。","有難うございます、姉上。
ですが姉上の魅力には、まだまだ遠く及びません。","有難うございます、姉上。
ですが姉上の魅力には、まだまだ遠く及びません。",[],"감사합니다,　누님.
하지만　누님의　매력에는　아직　한참　못　미쳐요.","汗為王依愛,　経依.
圧移菓　経依哀　急威綾位　違揮　易楽　削　影光俄.","감사합니다,　언니.
하지만　언니의　매력에는　아직　한참　못　미쳐요.","汗為王依愛,　経依.
圧移菓　経依哀　急威綾位　違揮　易楽　削　影光俄.",1
もうちょっとで、仲間と一緒に織物屋がぁ……！ こんな所で、夢を諦める訳にはいかねぇ！！,70,1,normal,62851,62979,"もうちょっとで、仲間と一緒に織物屋がぁ……！
こんな所で、夢を諦める訳にはいかねぇ！！","もうちょっとで、仲間と一緒に織物屋がぁ……！
こんな所で、夢を諦める訳にはいかねぇ！！","もうちょっとで、仲間と一緒に織物屋がぁ……！
こんな所で、夢を諦める訳にはいかねぇ！！",[],"조금만　더　가면,　동료들과　직물가게가……!
이런　데서　꿈을　포기할　순　없어!!","河崖菓　球　安延,　栄救塊汚　揮忌安映安……!
挨佐　戒溢　元逢　海握横　原　緩羽!!","조금만　더　가면,　동료들과　직물가게가……!
이런　데서　꿈을　포기할　순　없어!!","河崖菓　球　安延,　栄救塊汚　揮忌安映安……!
挨佐　戒溢　元逢　海握横　原　緩羽!!",1
（仕方ない…… こうなれば行くとこまで行ってしまおう……！）,70,1,normal,63412,63504,"（仕方ない……
　こうなれば行くとこまで行ってしまおう……！）","（仕方ない……
　こうなれば行くとこまで行ってしまおう……！）","（仕方ない……
　こうなれば行くとこまで行ってしまおう……！）",[],"(어쩔　수　없지……
이렇게　된　이상　끝까지　가　보자……!)","(羽俊　衣　緩移……
挨紹映　画　挨姐　仰垣移　安　永一……!)","(어쩔　수　없지……
이렇게　된　이상　끝까지　가　보자……!)","(羽俊　衣　緩移……
挨紹映　画　挨姐　仰垣移　安　永一……!)",1
デコポンポ様！ 早く逃げなければ、 蟲たちに気付かれてしまいますぞ！？,70,1,normal,64092,64194,"デコポンポ様！
早く逃げなければ、
蟲たちに気付かれてしまいますぞ！？","デコポンポ様！
早く逃げなければ、
蟲たちに気付かれてしまいますぞ！？","デコポンポ様！
早く逃げなければ、
蟲たちに気付かれてしまいますぞ！？",[],"데코폼포님!
어서　도망치지　않으면,
벌레들이　눈치채고　맙니다!!","戒歌朔海攻!
羽溢　雨供越移　慣園延,
去嫁塊挨　欠越僅渦　邪依愛!!","데코폼포님!
어서　도망치지　않으면,
벌레들이　눈치채고　맙니다!!","戒歌朔海攻!
羽溢　雨供越移　慣園延,
去嫁塊挨　欠越僅渦　邪依愛!!",1
無駄口叩いてる暇があったら、 早くあの像を取り返すにゃも！！,70,1,normal,64544,64633,"無駄口叩いてる暇があったら、
早くあの像を取り返すにゃも！！","無駄口叩いてる暇があったら、
早くあの像を取り返すにゃも！！","無駄口叩いてる暇があったら、
早くあの像を取り返すにゃも！！",[],"쓸데없는　소리하지　말고,
어서　조각상을　되찾는거다냐모!!","識戒緩位　怨以圧移　訓渦,
羽溢　河回姐逢　憶競位過愛主逸!!","쓸데없는　소리하지　말고,
어서　조각상을　되찾는거다냐모!!","識戒緩位　怨以圧移　訓渦,
羽溢　河回姐逢　憶競位過愛主逸!!",1
そうだな。 こんなところ、長居は無用だ。 さっさと決めるぜ！ あんちゃん！,70,1,normal,65049,65159,"そうだな。　こんなところ、長居は無用だ。
さっさと決めるぜ！　あんちゃん！","そうだな。　こんなところ、長居は無用だ。
さっさと決めるぜ！　あんちゃん！","そうだな。　こんなところ、長居は無用だ。
さっさと決めるぜ！　あんちゃん！",[],"그러게.　이런　데　오래　있을　필요　없어.
얼른　끝내자고!　형씨!","加暗映.　挨佐　戒　遺吃　英逢　犠俄　緩羽.
敬脚　仰笠一渦!　央商!","그러게.　이런　데　오래　있을　필요　없어.
얼른　끝내자고!　형씨!","加暗映.　挨佐　戒　遺吃　英逢　犠俄　緩羽.
敬脚　仰笠一渦!　央商!",1
どー見ても大丈夫じゃないにゃもッ！！ ボコイナンテ！ おみゃあがしっかり儂を守らないからにゃもよ！！,70,1,normal,65722,65869,"どー見ても大丈夫じゃないにゃもッ！！
ボコイナンテ！
おみゃあがしっかり儂を守らないからにゃもよ！！","どー見ても大丈夫じゃないにゃもッ！！
ボコイナンテ！
おみゃあがしっかり儂を守らないからにゃもよ！！","どー見ても大丈夫じゃないにゃもッ！！
ボコイナンテ！
おみゃあがしっかり儂を守らないからにゃもよ！！",[],"어떻게　봐도　괜찮을　리가　없다냐모!!
보코이나은테!
네가　제대로　지켜주지　않아서다냐모!!","羽諸映　縮雨　此頃逢　以安　緩愛主逸!!
永歌挨詠宴起!
拐安　応域偉　移軍遠移　慣違溢愛主逸!!","어떻게　봐도　괜찮을　리가　없다냐모!!
보코이나은테!
네가　제대로　지켜주지　않아서다냐모!!","羽諸映　縮雨　此頃逢　以安　緩愛主逸!!
永歌挨詠宴起!
拐安　応域偉　移軍遠移　慣違溢愛主逸!!",1
ボコイナンテッ！ 何ぼさっとしてるにゃもかッ！？ さっさとあいつらを、片づけるにゃも～～～ッ！！,70,1,normal,66504,66647,"ボコイナンテッ！　何ぼさっとしてるにゃもかッ！？
さっさとあいつらを、片づけるにゃも～～～ッ！！","ボコイナンテッ！　何ぼさっとしてるにゃもかッ！？
さっさとあいつらを、片づけるにゃも～～～ッ！！","ボコイナンテッ！　何ぼさっとしてるにゃもかッ！？
さっさとあいつらを、片づけるにゃも～～～ッ！！",[],"보코이나은테!　뭐　하고　멍하니　있냐모까!!
어서　저놈들을　치워버리는거다냐모～～～!!","永歌挨詠宴起!　志　圧渦　眉圧依　英主逸垣!!
羽溢　敢雇塊逢　越技丸以位過愛主逸～～～!!","보코이나은테!　뭐　하고　멍하니　있냐모까!!
어서　저놈들을　치워버리는거다냐모～～～!!","永歌挨詠宴起!　志　圧渦　眉圧依　英主逸垣!!
羽溢　敢雇塊逢　越技丸以位過愛主逸～～～!!",1
アンちゃんも、あんときよりは力がついてるはずだ！ いけるぞ！,70,1,normal,67332,67421,"アンちゃんも、あんときよりは力がついてるはずだ！
いけるぞ！","アンちゃんも、あんときよりは力がついてるはずだ！
いけるぞ！","アンちゃんも、あんときよりは力がついてるはずだ！
いけるぞ！",[],"형씨도　그때보단　힘이　붙었을　거야!
할　수　있어!","央商雨　加還永憾　狭挨　険覚逢　過因!
横　衣　英羽!","형씨도　그때보단　힘이　붙었을　거야!
할　수　있어!","央商雨　加還永憾　狭挨　険覚逢　過因!
横　衣　英羽!",1
ま、今回はマロロじゃなくてウコンがついてくれてるし、 なんとかなるだろ！,70,1,normal,67537,67644,"ま、今回はマロロじゃなくてウコンがついてくれてるし、
なんとかなるだろ！","ま、今回はマロロじゃなくてウコンがついてくれてるし、
なんとかなるだろ！","ま、今回はマロロじゃなくてウコンがついてくれてるし、
なんとかなるだろ！",[],"뭐,　이번엔　마로로가　아니라　우콘이　있으니,
어떻게든　되겠지!","志,　挨幹苦　維偉偉安　違依悪　員簡挨　英園依,
羽諸映管　憶間移!","뭐,　이번엔　마로로가　아니라　우콘이　있으니,
어떻게든　되겠지!","志,　挨幹苦　維偉偉安　違依悪　員簡挨　英園依,
羽諸映管　憶間移!",1
ハッハッハッハッ！ その調子だアンちゃん！ いい線いってるぜ！,70,1,normal,67883,67973,"ハッハッハッハッ！
その調子だアンちゃん！
いい線いってるぜ！","ハッハッハッハッ！
その調子だアンちゃん！
いい線いってるぜ！","ハッハッハッハッ！
その調子だアンちゃん！
いい線いってるぜ！",[],"하하하하하!
그　기세다,　형씨!
꽤　하는데!","圧圧圧圧圧!
加　握禍愛,　央商!
承　圧位戒!","하하하하하!
그　기세다,　형씨!
꽤　하는데!","圧圧圧圧圧!
加　握禍愛,　央商!
承　圧位戒!",1
こいつを見ると、 アンちゃんと出会った頃のことを思い出すな！,70,1,normal,68755,68844,"こいつを見ると、
アンちゃんと出会った頃のことを思い出すな！","こいつを見ると、
アンちゃんと出会った頃のことを思い出すな！","こいつを見ると、
アンちゃんと出会った頃のことを思い出すな！",[],"이놈을　보면,
형씨랑　처음　만났을　때가　떠오르네!","挨雇逢　永延,
央商郷　吸暇　菓劫逢　還安　告遺押拐!","이놈을　보면,
형씨랑　처음　만났을　때가　떠오르네!","挨雇逢　永延,
央商郷　吸暇　菓劫逢　還安　告遺押拐!",1
あぁ、全くだ！ こいつにはもう会いたくないと思っていたが、 こんなに早くお目にかかれるとはね！,70,1,normal,68966,69104,"あぁ、全くだ！
こいつにはもう会いたくないと思っていたが、
こんなに早くお目にかかれるとはね！","あぁ、全くだ！
こいつにはもう会いたくないと思っていたが、
こんなに早くお目にかかれるとはね！","あぁ、全くだ！
こいつにはもう会いたくないと思っていたが、
こんなに早くお目にかかれるとはね！",[],"아아,　맞아!
이놈은　다시는　만나고　싶지　않았는데,
이렇게　빨리　또　보게　될　줄이야!","違違,　儀違!
挨雇宴　愛畏位　菓詠渦　検移　慣拳位戒,
挨紹映　織以　飢　永映　晒　局挨因!","아아,　맞아!
이놈은　다시는　만나고　싶지　않았는데,
이렇게　빨리　또　보게　될　줄이야!","違違,　儀違!
挨雇宴　愛畏位　菓詠渦　検移　慣拳位戒,
挨紹映　織以　飢　永映　晒　局挨因!",1
（自然と戦えている…。 これでも、だいぶ強くなったってことか？）,70,1,normal,69277,69375,"（自然と戦えている…。
　これでも、だいぶ強くなったってことか？）","（自然と戦えている…。
　これでも、だいぶ強くなったってことか？）","（自然と戦えている…。
　これでも、だいぶ強くなったってことか？）",[],"(자연스럽게　싸우고　있어…
이래도　꽤　강해졌다는　건가?)","(一雲意讃映　係員渦　英羽…
挨吃雨　承　俺井塞愛位　虐安?)","(자연스럽게　싸우고　있어…
이래도　꽤　강해졌다는　건가?)","(一雲意讃映　係員渦　英羽…
挨吃雨　承　俺井塞愛位　虐安?)",1
アンちゃん、怪我はねぇか？ 危なくなったら遠慮なく回復してくれ！,70,1,normal,69649,69744,"アンちゃん、怪我はねぇか？
危なくなったら遠慮なく回復してくれ！","アンちゃん、怪我はねぇか？
危なくなったら遠慮なく回復してくれ！","アンちゃん、怪我はねぇか？
危なくなったら遠慮なく回復してくれ！",[],"형씨,　다친　데　없지?
위험해지면　사양　말고　회복해!","央商,　愛警　戒　緩移?
仮境井移延　為感　訓渦　演屋井!","형씨,　다친　데　없지?
위험해지면　사양　말고　회복해!","央商,　愛警　戒　緩移?
仮境井移延　為感　訓渦　演屋井!",1
くっ、コイツらどこから……！ 剣奴は使えん、後続の兵を呼べぇ！,70,1,normal,71394,71486,"くっ、コイツらどこから……！
剣奴は使えん、後続の兵を呼べぇ！","くっ、コイツらどこから……！
剣奴は使えん、後続の兵を呼べぇ！","くっ、コイツらどこから……！
剣奴は使えん、後続の兵を呼べぇ！",[],"크윽,　이놈들……!
검노는　쓸모없다,　후속　병력을　불러라!","岡杏,　挨雇塊……!
確益位　識逸緩愛,　環介　液威逢　額暗悪!","크윽,　이놈들……!
검노는　쓸모없다,　후속　병력을　불러라!","岡杏,　挨雇塊……!
確益位　識逸緩愛,　環介　液威逢　額暗悪!",1
わたしには、ココポがついています。 それに……お役に立ちたいんです。,70,1,normal,72243,72344,"わたしには、ココポがついています。
それに……お役に立ちたいんです。","わたしには、ココポがついています。
それに……お役に立ちたいんです。","わたしには、ココポがついています。
それに……お役に立ちたいんです。",[],"저에겐　코코포가　함께　있어요.
그리고……　도움이　되고　싶어요.","敢綾授　歌歌海安　基兄　英羽俄.
加以渦……　雨弓挨　憶渦　検羽俄.","저에겐　코코포가　함께　있어요.
그리고……　도움이　되고　싶어요.","敢綾授　歌歌海安　基兄　英羽俄.
加以渦……　雨弓挨　憶渦　検羽俄.",1
うひひ、優しいおにーさんやぇ。 でも、危ないのはおにーさんの方かもしれへんよ？,70,1,normal,73267,73383,"うひひ、優しいおにーさんやぇ。
でも、危ないのはおにーさんの方かもしれへんよ？","うひひ、優しいおにーさんやぇ。
でも、危ないのはおにーさんの方かもしれへんよ？","うひひ、優しいおにーさんやぇ。
でも、危ないのはおにーさんの方かもしれへんよ？",[],"히히,　다정한　오빠네.
근데　위험한　건　오빠　쪽일지도　몰라요?","蓋蓋,　愛右易　遺駆拐.
恭戒　仮境易　虐　遺駆　向泳移雨　繋悪俄?","히히,　다정한　오빠네.
근데　위험한　건　오빠　쪽일지도　몰라요?","蓋蓋,　愛右易　遺駆拐.
恭戒　仮境易　虐　遺駆　向泳移雨　繋悪俄?",1
早くそいつらを殺せ！ でないとどうなるか、わかってるだろうな！！,70,1,normal,74514,74609,"早くそいつらを殺せ！
でないとどうなるか、わかってるだろうな！！","早くそいつらを殺せ！
でないとどうなるか、わかってるだろうな！！","早くそいつらを殺せ！
でないとどうなるか、わかってるだろうな！！",[],"어서　놈들을　죽여라!
안　그러면　어찌　될지,　알고　있겠지!!","羽溢　雇塊逢　恨各悪!
貫　加暗延　羽始　晒移,　掬渦　英間移!!","어서　놈들을　죽여라!
안　그러면　어찌　될지,　알고　있겠지!!","羽溢　雇塊逢　恨各悪!
貫　加暗延　羽始　晒移,　掬渦　英間移!!",1
いつも前線に駆り出されてるだけあって手ごわいぞ！ ひとりで突っかかるとやられる！ 皆で攻撃するんだ！,70,1,normal,75249,75396,"いつも前線に駆り出されてるだけあって手ごわいぞ！
ひとりで突っかかるとやられる！
皆で攻撃するんだ！","いつも前線に駆り出されてるだけあって手ごわいぞ！
ひとりで突っかかるとやられる！
皆で攻撃するんだ！","いつも前線に駆り出されてるだけあって手ごわいぞ！
ひとりで突っかかるとやられる！
皆で攻撃するんだ！",[],"늘　전선에　끌려나오는　놈들답게　만만치　않아!
혼자　덤비면　당해!
다　같이　공격해!","旗　鋭快綾　鶏闇詠遺位　雇塊鎮映　菓菓越　慣違!
級一　才苑延　義井!
愛　堅挨　引案井!","늘　전선에　끌려나오는　놈들답게　만만치　않아!
혼자　덤비면　당해!
다　같이　공격해!","旗　鋭快綾　鶏闇詠遺位　雇塊鎮映　菓菓越　慣違!
級一　才苑延　義井!
愛　堅挨　引案井!",1
ええい、たかが一人に何をしている！？ 突撃せよ、押しつぶせぃ！！,70,1,normal,76056,76151,"ええい、たかが一人に何をしている！？
突撃せよ、押しつぶせぃ！！","ええい、たかが一人に何をしている！？
突撃せよ、押しつぶせぃ！！","ええい、たかが一人に何をしている！？
突撃せよ、押しつぶせぃ！！",[],"에에잇,　한놈　상대로　뭘　하는　거냐!?
돌격하라,　짓눌러!!","綾綾昆,　易雇　姐域偉　伏　圧位　過主!?
獲案圧悪,　源雑暗!!","에에잇,　한놈　상대로　뭘　하는　거냐!?
돌격하라,　짓눌러!!","綾綾昆,　易雇　姐域偉　伏　圧位　過主!?
獲案圧悪,　源雑暗!!",1
